FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;;;;
250727;0200;;;;
250727;0300;;;;
250727;0400;;;;
250727;0500;;;;
250727;0600;;;;
250727;0700;;;;
250727;0800;;;;
250727;0900;;;;
250727;1000;;;;
250727;1100;;;;
250727;1200;;;;
250727;1300;;;;
250727;1400;;;;
250727;1500;;;;
250727;1600;;;;
250727;1700;;;;
250727;1800;;;;
250727;1900;;;;
250727;2000;;;;
250727;2100;;;;
250727;2200;;;;
250727;2300;;;;
250728;0000;;;;
250728;0100;;;;
250728;0200;;;;
250728;0300;;;;
250728;0400;;;;
250728;0500;;;;
250728;0600;;;;
250728;0700;;;;
250728;0800;;;;
250728;0900;;;;
250728;1000;;;;
250728;1100;;;;
250728;1200;;;;
250728;1300;;;;
250728;1400;;;;
250728;1500;;;;
250728;1600;;;;
250728;1700;;;;
250728;1800;;;;
250728;1900;;;;
250728;2000;;;;
250728;2100;;;;
250728;2200;;;;
250728;2300;;;;
250729;0000;;;;
250729;0100;;;;
250729;0200;;;;
250729;0300;;;;
250729;0400;;;;
250729;0500;;;;
250729;0600;;;;
250729;0700;;;;
250729;0800;;;;
250729;0900;;;;
250729;1000;;;;
250729;1100;;;;
250729;1200;;;;
250729;1300;;;;
250729;1400;;;;
250729;1500;;;;
250729;1600;;;;
250729;1700;;;;
250729;1800;;;;
250729;1900;;;;
250729;2000;;;;
250729;2100;;;;
250729;2200;;;;
250729;2300;;;;
250730;0000;;;;
250730;0100;;;;
250730;0200;;;;
250730;0300;;;;
250730;0400;;;;
250730;0500;;;;
250730;0600;;;;
250730;0700;;;;
250730;0800;;;;
250730;0900;;;;
250730;1000;;;;
250730;1100;;;;
250730;1200;;;;
250730;1300;;;;
250730;1400;;;;
250730;1500;;;;
250730;1600;;;;
250730;1700;;;;
250730;1800;;;;
250730;1900;;;;
250730;2000;;;;
250730;2100;;;;
250730;2200;;;;
250730;2300;;;;
250731;0000;;;;
250731;0100;;;;
250731;0200;;;;
250731;0300;;;;
250731;0400;;;;
250731;0500;;;;
250731;0600;;;;
250731;0700;;;;
250731;0800;;;;
250731;0900;;;;
250731;1000;;;;
250731;1100;;;;
250731;1200;;;;
250731;1300;;;;
250731;1400;;;;
250731;1500;;;;
250731;1600;;;;
250731;1700;;;;
250731;1800;;;;
250731;1900;;;;
250731;2000;;;;
250731;2100;;;;
250731;2200;;;;
250731;2300;;;;
250801;0000;;;;
250801;0100;;;;
250801;0200;;;;
250801;0300;;;;
250801;0400;;;;
250801;0500;;;;
250801;0600;;;;
250801;0700;;;;
250801;0800;;;;
250801;0900;;;;
250801;1000;;;;
250801;1100;;;;
250801;1200;;;;
250801;1300;;;;
250801;1400;;;;
250801;1500;;;;
250801;1600;;;;
250801;1700;;;;
250801;1800;;;;
250801;1900;;;;
250801;2000;;;;
250801;2100;;;;
250801;2200;;;;
250801;2300;;;;
250802;0000;;;;
250802;0100;;;;
250802;0200;;;;
250802;0300;;;;
250802;0400;;;;
250802;0500;;;;
250802;0600;;;;
250802;0700;;;;
250802;0800;;;;
250802;0900;;;;
250802;1000;;;;
250802;1100;;;;
250802;1200;;;;
250802;1300;;;;
250802;1400;;;;
250802;1500;;;;
250802;1600;;;;
250802;1700;;;;
250802;1800;;;;
250802;1900;;;;
250802;2000;;;;
250802;2100;;;;
250802;2200;;;;
250802;2300;;;;
250803;0000;;;;
250803;0100;;;;
250803;0200;;;;
250803;0300;;;;
250803;0400;;;;
250803;0500;;;;
250803;0600;;;;
250803;0700;;;;
250803;0800;;;;
250803;0900;;;;
250803;1000;;;;
250803;1100;;;;
250803;1200;;;;
250803;1300;;;;
250803;1400;;;;
250803;1500;;;;
250803;1600;;;;
250803;1700;;;;
250803;1800;;;;
250803;1900;;;;
250803;2000;;;;
250803;2100;;;;
250803;2200;;;;
250803;2300;;;;
250804;0000;;;;
250804;0100;;;;
250804;0200;;;;
250804;0300;;;;
250804;0400;;;;
250804;0500;;;;
