FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;119;;;
250727;0200;101;;;
250727;0300;89;;;
250727;0400;96;;;
250727;0500;103;;;
250727;0600;90;;;
250727;0700;82;;;
250727;0800;84;;;
250727;0900;78;;;
250727;1000;79;;;
250727;1100;78;;;
250727;1200;97;;;
250727;1300;80;;;
250727;1400;76;;;
250727;1500;112;;;
250727;1600;93;;;
250727;1700;80;;;
250727;1800;63;;;
250727;1900;80;;;
250727;2000;87;;;
250727;2100;111;;;
250727;2200;120;;;
250727;2300;124;;;
250728;0000;104;;;
250728;0100;94;;;
250728;0200;87;;;
250728;0300;71;;;
250728;0400;63;;;
250728;0500;57;;;
250728;0600;70;;;
250728;0700;104;;;
250728;0800;132;;;
250728;0900;77;;;
250728;1000;94;;;
250728;1100;82;;;
250728;1200;62;;;
250728;1300;69;;;
250728;1400;;;;
250728;1500;130;;;
250728;1600;119;;;
250728;1700;180;;;
250728;1800;172;;;
250728;1900;239;;;
250728;2000;214;;;
250728;2100;166;;;
250728;2200;151;;;
250728;2300;101;;;
250729;0000;82;;;
250729;0100;64;;;
250729;0200;60;;;
250729;0300;62;;;
250729;0400;55;;;
250729;0500;55;;;
250729;0600;66;;;
250729;0700;96;;;
250729;0800;128;;;
250729;0900;117;;;
250729;1000;119;;;
250729;1100;202;;;
250729;1200;156;;;
250729;1300;128;;;
250729;1400;104;;;
250729;1500;158;;;
250729;1600;187;;;
250729;1700;207;;;
250729;1800;282;;;
250729;1900;277;;;
250729;2000;187;;;
250729;2100;117;;;
250729;2200;157;;;
250729;2300;119;;;
250730;0000;112;;;
250730;0100;87;;;
250730;0200;57;;;
250730;0300;47;;;
250730;0400;38;;;
250730;0500;49;;;
250730;0600;63;;;
250730;0700;107;;;
250730;0800;96;;;
250730;0900;69;;;
250730;1000;63;;;
250730;1100;74;;;
250730;1200;38;;;
250730;1300;41;;;
250730;1400;36;;;
250730;1500;95;;;
250730;1600;86;;;
250730;1700;116;;;
250730;1800;154;;;
