FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;46;;;
250727;0200;38;;;
250727;0300;35;;;
250727;0400;35;;;
250727;0500;42;;;
250727;0600;41;;;
250727;0700;43;;;
250727;0800;47;;;
250727;0900;38;;;
250727;1000;38;;;
250727;1100;59;;;
250727;1200;60;;;
250727;1300;60;;;
250727;1400;52;;;
250727;1500;57;;;
250727;1600;63;;;
250727;1700;60;;;
250727;1800;57;;;
250727;1900;58;;;
250727;2000;59;;;
250727;2100;48;;;
250727;2200;59;;;
250727;2300;53;;;
250728;0000;49;;;
250728;0100;43;;;
250728;0200;19;;;
250728;0300;19;;;
250728;0400;13;;;
250728;0500;7;;;
250728;0600;28;;;
250728;0700;24;;;
250728;0800;16;;;
250728;0900;12;;;
250728;1000;15;;;
250728;1100;5;;;
250728;1200;28;;;
250728;1300;11;;;
250728;1400;17;;;
250728;1500;35;;;
250728;1600;36;;;
250728;1700;35;;;
250728;1800;41;;;
250728;1900;29;;;
250728;2000;29;;;
250728;2100;32;;;
250728;2200;30;;;
250728;2300;20;;;
250729;0000;17;;;
250729;0100;8;;;
250729;0200;10;;;
250729;0300;16;;;
250729;0400;19;;;
250729;0500;24;;;
250729;0600;26;;;
250729;0700;16;;;
250729;0800;22;;;
250729;0900;21;;;
250729;1000;8;;;
250729;1100;19;;;
250729;1200;23;;;
250729;1300;18;;;
250729;1400;21;;;
250729;1500;20;;;
250729;1600;51;;;
250729;1700;48;;;
250729;1800;35;;;
250729;1900;19;;;
250729;2000;51;;;
250729;2100;45;;;
250729;2200;38;;;
250729;2300;36;;;
250730;0000;31;;;
250730;0100;25;;;
250730;0200;15;;;
250730;0300;16;;;
250730;0400;15;;;
250730;0500;8;;;
250730;0600;8;;;
250730;0700;14;;;
250730;0800;27;;;
250730;0900;34;;;
250730;1000;37;;;
250730;1100;32;;;
250730;1200;37;;;
250730;1300;35;;;
250730;1400;35;;;
250730;1500;36;;;
250730;1600;28;;;
250730;1700;32;;;
250730;1800;31;;;
250730;1900;29;;;
250730;2000;36;;;
250730;2100;40;;;
250730;2200;37;;;
250730;2300;18;;;
250731;0000;20;;;
250731;0100;21;;;
250731;0200;18;;;
250731;0300;18;;;
250731;0400;8;;;
250731;0500;4;;;
250731;0600;3;;;
250731;0700;3;;;
250731;0800;3;;;
250731;0900;3;;;
250731;1000;3;;;
250731;1100;14;;;
250731;1200;8;;;
250731;1300;3;;;
250731;1400;3;;;
250731;1500;6;;;
250731;1600;5;;;
250731;1700;7;;;
250731;1800;10;;;
250731;1900;9;;;
250731;2000;6;;;
250731;2100;7;;;
250731;2200;8;;;
250731;2300;5;;;
250801;0000;3;;;
250801;0100;3;;;
250801;0200;2;;;
250801;0300;4;;;
250801;0400;1;;;
250801;0500;1;;;
250801;0600;1;;;
250801;0700;2;;;
250801;0800;1;;;
250801;0900;1;;;
250801;1000;1;;;
250801;1100;1;;;
250801;1200;1;;;
250801;1300;1;;;
250801;1400;1;;;
250801;1500;1;;;
250801;1600;2;;;
250801;1700;5;;;
250801;1800;6;;;
250801;1900;3;;;
250801;2000;1;;;
250801;2100;3;;;
250801;2200;7;;;
250801;2300;7;;;
250802;0000;8;;;
250802;0100;4;;;
250802;0200;1;;;
250802;0300;1;;;
250802;0400;1;;;
250802;0500;1;;;
250802;0600;1;;;
250802;0700;1;;;
250802;0800;1;;;
250802;0900;1;;;
250802;1000;1;;;
250802;1100;1;;;
250802;1200;3;;;
250802;1300;5;;;
250802;1400;8;;;
250802;1500;8;;;
250802;1600;7;;;
250802;1700;10;;;
250802;1800;11;;;
250802;1900;13;;;
250802;2000;19;;;
250802;2100;20;;;
250802;2200;16;;;
250802;2300;9;;;
250803;0000;7;;;
250803;0100;7;;;
250803;0200;6;;;
250803;0300;3;;;
250803;0400;1;;;
250803;0500;1;;;
250803;0600;3;;;
250803;0700;2;;;
250803;0800;6;;;
250803;0900;8;;;
250803;1000;11;;;
250803;1100;7;;;
250803;1200;18;;;
250803;1300;27;;;
250803;1400;15;;;
250803;1500;16;;;
250803;1600;38;;;
250803;1700;34;;;
250803;1800;36;;;
250803;1900;37;;;
250803;2000;33;;;
250803;2100;26;;;
250803;2200;23;;;
250803;2300;24;;;
250804;0000;18;;;
250804;0100;14;;;
250804;0200;11;;;
250804;0300;5;;;
250804;0400;1;;;
250804;0500;1;;;
250804;0600;3;;;
250804;0700;5;;;
250804;0800;6;;;
250804;0900;8;;;
250804;1000;7;;;
250804;1100;4;;;
250804;1200;5;;;
250804;1300;6;;;
250804;1400;4;;;
250804;1500;12;;;
250804;1600;30;;;
250804;1700;40;;;
250804;1800;36;;;
250804;1900;34;;;
250804;2000;32;;;
250804;2100;29;;;
250804;2200;19;;;
250804;2300;20;;;
250805;0000;15;;;
250805;0100;11;;;
250805;0200;8;;;
250805;0300;5;;;
250805;0400;4;;;
250805;0500;7;;;
250805;0600;4;;;
250805;0700;3;;;
250805;0800;10;;;
250805;0900;13;;;
250805;1000;14;;;
250805;1100;18;;;
250805;1200;19;;;
250805;1300;23;;;
250805;1400;31;;;
250805;1500;32;;;
250805;1600;36;;;
250805;1700;27;;;
250805;1800;22;;;
250805;1900;24;;;
250805;2000;28;;;
250805;2100;27;;;
250805;2200;28;;;
250805;2300;22;;;
250806;0000;21;;;
250806;0100;12;;;
250806;0200;11;;;
250806;0300;13;;;
250806;0400;13;;;
250806;0500;11;;;
250806;0600;8;;;
250806;0700;9;;;
250806;0800;11;;;
250806;0900;16;;;
250806;1000;11;;;
250806;1100;25;;;
250806;1200;35;;;
250806;1300;42;;;
250806;1400;31;;;
250806;1500;36;;;
250806;1600;27;;;
250806;1700;19;;;
250806;1800;10;;;
250806;1900;15;;;
250806;2000;11;;;
250806;2100;22;;;
250806;2200;15;;;
250806;2300;18;;;
250807;0000;16;;;
250807;0100;11;;;
250807;0200;11;;;
250807;0300;8;;;
250807;0400;10;;;
250807;0500;15;;;
250807;0600;15;;;
250807;0700;15;;;
250807;0800;19;;;
250807;0900;19;;;
250807;1000;19;;;
250807;1100;20;;;
250807;1200;28;;;
250807;1300;30;;;
250807;1400;37;;;
250807;1500;33;;;
250807;1600;35;;;
250807;1700;37;;;
250807;1800;28;;;
250807;1900;28;;;
250807;2000;27;;;
250807;2100;40;;;
250807;2200;32;;;
250807;2300;34;;;
250808;0000;30;;;
250808;0100;30;;;
250808;0200;23;;;
250808;0300;20;;;
250808;0400;21;;;
250808;0500;20;;;
250808;0600;12;;;
250808;0700;9;;;
250808;0800;10;;;
250808;0900;14;;;
250808;1000;13;;;
250808;1100;13;;;
250808;1200;18;;;
250808;1300;18;;;
250808;1400;18;;;
250808;1500;21;;;
250808;1600;33;;;
250808;1700;35;;;
250808;1800;28;;;
250808;1900;15;;;
250808;2000;19;;;
250808;2100;22;;;
250808;2200;20;;;
250808;2300;18;;;
250809;0000;18;;;
250809;0100;13;;;
250809;0200;13;;;
250809;0300;13;;;
250809;0400;19;;;
250809;0500;20;;;
250809;0600;26;;;
250809;0700;18;;;
250809;0800;23;;;
250809;0900;21;;;
250809;1000;17;;;
250809;1100;22;;;
250809;1200;25;;;
250809;1300;26;;;
250809;1400;34;;;
250809;1500;38;;;
250809;1600;37;;;
250809;1700;38;;;
250809;1800;37;;;
250809;1900;41;;;
250809;2000;35;;;
250809;2100;37;;;
250809;2200;38;;;
250809;2300;35;;;
250810;0000;32;;;
250810;0100;30;;;
250810;0200;31;;;
250810;0300;23;;;
250810;0400;18;;;
250810;0500;20;;;
250810;0600;15;;;
250810;0700;26;;;
250810;0800;31;;;
250810;0900;29;;;
250810;1000;15;;;
250810;1100;41;;;
250810;1200;39;;;
250810;1300;32;;;
250810;1400;30;;;
250810;1500;43;;;
250810;1600;38;;;
250810;1700;38;;;
250810;1800;51;;;
250810;1900;55;;;
250810;2000;52;;;
250810;2100;50;;;
250810;2200;41;;;
250810;2300;30;;;
250811;0000;24;;;
250811;0100;12;;;
250811;0200;11;;;
250811;0300;8;;;
250811;0400;6;;;
250811;0500;7;;;
250811;0600;3;;;
250811;0700;3;;;
250811;0800;6;;;
250811;0900;7;;;
250811;1000;5;;;
250811;1100;21;;;
250811;1200;;;;
250811;1300;22;;;
250811;1400;12;;;
250811;1500;20;;;
250811;1600;34;;;
250811;1700;35;;;
250811;1800;35;;;
250811;1900;21;;;
250811;2000;19;;;
250811;2100;21;;;
250811;2200;11;;;
250811;2300;11;;;
250812;0000;11;;;
250812;0100;8;;;
250812;0200;4;;;
250812;0300;4;;;
250812;0400;3;;;
250812;0500;6;;;
250812;0600;6;;;
250812;0700;12;;;
250812;0800;10;;;
250812;0900;15;;;
250812;1000;24;;;
250812;1100;29;;;
250812;1200;21;;;
250812;1300;16;;;
250812;1400;36;;;
250812;1500;42;;;
250812;1600;33;;;
250812;1700;36;;;
250812;1800;35;;;
250812;1900;40;;;
250812;2000;40;;;
250812;2100;33;;;
250812;2200;26;;;
250812;2300;21;;;
250813;0000;23;;;
250813;0100;15;;;
250813;0200;9;;;
250813;0300;11;;;
250813;0400;8;;;
250813;0500;10;;;
250813;0600;12;;;
250813;0700;11;;;
250813;0800;12;;;
250813;0900;15;;;
250813;1000;8;;;
250813;1100;27;;;
250813;1200;22;;;
250813;1300;23;;;
250813;1400;35;;;
250813;1500;23;;;
250813;1600;39;;;
250813;1700;53;;;
250813;1800;45;;;
250813;1900;45;;;
250813;2000;41;;;
250813;2100;37;;;
250813;2200;33;;;
250813;2300;29;;;
250814;0000;18;;;
250814;0100;14;;;
250814;0200;14;;;
250814;0300;8;;;
250814;0400;4;;;
250814;0500;3;;;
250814;0600;4;;;
250814;0700;4;;;
250814;0800;6;;;
250814;0900;7;;;
250814;1000;8;;;
250814;1100;31;;;
250814;1200;57;;;
250814;1300;51;;;
250814;1400;39;;;
250814;1500;30;;;
250814;1600;37;;;
250814;1700;38;;;
250814;1800;32;;;
250814;1900;25;;;
250814;2000;22;;;
250814;2100;27;;;
250814;2200;27;;;
250814;2300;30;;;
250815;0000;34;;;
250815;0100;34;;;
250815;0200;19;;;
250815;0300;5;;;
250815;0400;2;;;
250815;0500;1;;;
250815;0600;1;;;
250815;0700;3;;;
250815;0800;4;;;
250815;0900;5;;;
250815;1000;8;;;
250815;1100;6;;;
250815;1200;5;;;
250815;1300;6;;;
250815;1400;6;;;
250815;1500;7;;;
250815;1600;9;;;
250815;1700;8;;;
250815;1800;10;;;
250815;1900;10;;;
250815;2000;12;;;
250815;2100;10;;;
250815;2200;13;;;
250815;2300;19;;;
250816;0000;14;;;
250816;0100;12;;;
250816;0200;8;;;
250816;0300;10;;;
250816;0400;8;;;
250816;0500;10;;;
250816;0600;5;;;
250816;0700;2;;;
250816;0800;5;;;
250816;0900;12;;;
250816;1000;8;;;
250816;1100;7;;;
250816;1200;5;;;
250816;1300;2;;;
250816;1400;9;;;
250816;1500;15;;;
250816;1600;20;;;
250816;1700;18;;;
250816;1800;10;;;
250816;1900;16;;;
250816;2000;26;;;
250816;2100;26;;;
250816;2200;20;;;
250816;2300;19;;;
250817;0000;18;;;
250817;0100;13;;;
250817;0200;10;;;
250817;0300;9;;;
250817;0400;7;;;
250817;0500;7;;;
250817;0600;8;;;
250817;0700;8;;;
250817;0800;9;;;
250817;0900;17;;;
250817;1000;19;;;
250817;1100;22;;;
250817;1200;21;;;
250817;1300;18;;;
250817;1400;17;;;
250817;1500;17;;;
250817;1600;15;;;
250817;1700;15;;;
250817;1800;16;;;
250817;1900;12;;;
250817;2000;11;;;
250817;2100;15;;;
250817;2200;18;;;
250817;2300;15;;;
250818;0000;16;;;
250818;0100;13;;;
250818;0200;12;;;
250818;0300;11;;;
250818;0400;12;;;
250818;0500;13;;;
250818;0600;12;;;
250818;0700;14;;;
250818;0800;19;;;
250818;0900;19;;;
250818;1000;22;;;
250818;1100;23;;;
250818;1200;10;;;
250818;1300;15;;;
250818;1400;13;;;
250818;1500;8;;;
250818;1600;4;;;
250818;1700;8;;;
250818;1800;9;;;
250818;1900;9;;;
250818;2000;12;;;
250818;2100;12;;;
250818;2200;14;;;
250818;2300;11;;;
250819;0000;16;;;
250819;0100;8;;;
250819;0200;7;;;
250819;0300;9;;;
250819;0400;10;;;
250819;0500;9;;;
250819;0600;9;;;
250819;0700;11;;;
250819;0800;14;;;
250819;0900;18;;;
250819;1000;18;;;
250819;1100;20;;;
250819;1200;14;;;
250819;1300;15;;;
250819;1400;14;;;
250819;1500;14;;;
250819;1600;16;;;
250819;1700;13;;;
250819;1800;9;;;
250819;1900;6;;;
250819;2000;9;;;
250819;2100;10;;;
250819;2200;7;;;
250819;2300;11;;;
250820;0000;9;;;
250820;0100;9;;;
250820;0200;8;;;
250820;0300;7;;;
250820;0400;12;;;
250820;0500;9;;;
250820;0600;4;;;
250820;0700;4;;;
250820;0800;16;;;
250820;0900;8;;;
250820;1000;8;;;
250820;1100;13;;;
250820;1200;17;;;
250820;1300;25;;;
250820;1400;36;;;
250820;1500;21;;;
250820;1600;20;;;
250820;1700;14;;;
250820;1800;11;;;
250820;1900;5;;;
250820;2000;7;;;
250820;2100;6;;;
250820;2200;6;;;
250820;2300;4;;;
250821;0000;4;;;
250821;0100;3;;;
250821;0200;2;;;
250821;0300;1;;;
250821;0400;1;;;
250821;0500;1;;;
250821;0600;1;;;
250821;0700;1;;;
250821;0800;1;;;
250821;0900;1;;;
250821;1000;1;;;
250821;1100;1;;;
250821;1200;1;;;
250821;1300;1;;;
250821;1400;1;;;
250821;1500;2;;;
250821;1600;4;;;
250821;1700;4;;;
250821;1800;2;;;
250821;1900;2;;;
250821;2000;1;;;
250821;2100;2;;;
250821;2200;3;;;
250821;2300;1;;;
250822;0000;1;;;
250822;0100;3;;;
250822;0200;1;;;
250822;0300;1;;;
250822;0400;1;;;
250822;0500;1;;;
250822;0600;2;;;
250822;0700;2;;;
250822;0800;4;;;
250822;0900;2;;;
250822;1000;4;;;
250822;1100;6;;;
250822;1200;3;;;
250822;1300;2;;;
250822;1400;4;;;
250822;1500;4;;;
250822;1600;6;;;
250822;1700;4;;;
250822;1800;4;;;
250822;1900;4;;;
250822;2000;3;;;
250822;2100;5;;;
250822;2200;9;;;
250822;2300;14;;;
250823;0000;8;;;
250823;0100;1;;;
250823;0200;6;;;
250823;0300;4;;;
250823;0400;5;;;
250823;0500;4;;;
250823;0600;3;;;
250823;0700;4;;;
250823;0800;3;;;
250823;0900;3;;;
250823;1000;4;;;
250823;1100;3;;;
250823;1200;4;;;
250823;1300;5;;;
250823;1400;8;;;
250823;1500;9;;;
250823;1600;12;;;
250823;1700;10;;;
250823;1800;5;;;
250823;1900;1;;;
250823;2000;2;;;
250823;2100;2;;;
250823;2200;5;;;
250823;2300;8;;;
250824;0000;6;;;
250824;0100;3;;;
250824;0200;6;;;
250824;0300;5;;;
250824;0400;6;;;
250824;0500;5;;;
250824;0600;6;;;
250824;0700;4;;;
250824;0800;5;;;
250824;0900;5;;;
250824;1000;1;;;
250824;1100;1;;;
250824;1200;1;;;
250824;1300;7;;;
250824;1400;9;;;
250824;1500;9;;;
250824;1600;18;;;
250824;1700;18;;;
250824;1800;17;;;
250824;1900;18;;;
250824;2000;19;;;
250824;2100;20;;;
250824;2200;15;;;
250824;2300;13;;;
250825;0000;11;;;
250825;0100;10;;;
250825;0200;11;;;
250825;0300;8;;;
250825;0400;8;;;
250825;0500;10;;;
250825;0600;6;;;
250825;0700;8;;;
250825;0800;12;;;
250825;0900;7;;;
250825;1000;3;;;
250825;1100;15;;;
250825;1200;16;;;
250825;1300;17;;;
250825;1400;15;;;
250825;1500;23;;;
250825;1600;30;;;
250825;1700;27;;;
250825;1800;31;;;
250825;1900;23;;;
250825;2000;33;;;
250825;2100;27;;;
250825;2200;19;;;
250825;2300;17;;;
250826;0000;17;;;
250826;0100;11;;;
250826;0200;10;;;
250826;0300;8;;;
250826;0400;8;;;
250826;0500;5;;;
250826;0600;4;;;
250826;0700;1;;;
250826;0800;4;;;
250826;0900;4;;;
250826;1000;7;;;
250826;1100;22;;;
250826;1200;22;;;
250826;1300;17;;;
250826;1400;16;;;
250826;1500;19;;;
250826;1600;29;;;
250826;1700;26;;;
250826;1800;26;;;
250826;1900;25;;;
250826;2000;12;;;
250826;2100;18;;;
250826;2200;22;;;
250826;2300;16;;;
250827;0000;15;;;
250827;0100;15;;;
250827;0200;10;;;
250827;0300;7;;;
250827;0400;7;;;
250827;0500;8;;;
250827;0600;10;;;
250827;0700;11;;;
250827;0800;22;;;
250827;0900;17;;;
250827;1000;15;;;
250827;1100;22;;;
250827;1200;35;;;
250827;1300;43;;;
250827;1400;51;;;
250827;1500;62;;;
250827;1600;44;;;
250827;1700;40;;;
250827;1800;32;;;
250827;1900;31;;;
250827;2000;32;;;
250827;2100;35;;;
250827;2200;29;;;
250827;2300;35;;;
250828;0000;37;;;
250828;0100;26;;;
250828;0200;20;;;
250828;0300;21;;;
250828;0400;17;;;
250828;0500;15;;;
250828;0600;17;;;
250828;0700;23;;;
250828;0800;30;;;
250828;0900;42;;;
250828;1000;53;;;
250828;1100;56;;;
250828;1200;59;;;
250828;1300;64;;;
250828;1400;72;;;
250828;1500;67;;;
250828;1600;55;;;
