FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;159;;;
250727;0200;143;;;
250727;0300;133;;;
250727;0400;109;;;
250727;0500;106;;;
250727;0600;98;;;
250727;0700;99;;;
250727;0800;112;;;
250727;0900;107;;;
250727;1000;97;;;
250727;1100;116;;;
250727;1200;101;;;
250727;1300;109;;;
250727;1400;108;;;
250727;1500;71;;;
250727;1600;61;;;
250727;1700;48;;;
250727;1800;56;;;
250727;1900;63;;;
250727;2000;66;;;
250727;2100;59;;;
250727;2200;87;;;
250727;2300;97;;;
250728;0000;81;;;
250728;0100;89;;;
250728;0200;74;;;
250728;0300;85;;;
250728;0400;91;;;
250728;0500;81;;;
250728;0600;82;;;
250728;0700;89;;;
250728;0800;129;;;
250728;0900;126;;;
250728;1000;152;;;
250728;1100;136;;;
250728;1200;81;;;
250728;1300;71;;;
250728;1400;93;;;
250728;1500;97;;;
250728;1600;111;;;
250728;1700;202;;;
250728;1800;232;;;
250728;1900;266;;;
250728;2000;249;;;
250728;2100;223;;;
250728;2200;194;;;
250728;2300;231;;;
250729;0000;188;;;
250729;0100;112;;;
250729;0200;95;;;
250729;0300;83;;;
250729;0400;72;;;
250729;0500;93;;;
250729;0600;96;;;
250729;0700;116;;;
250729;0800;130;;;
250729;0900;140;;;
250729;1000;197;;;
250729;1100;174;;;
250729;1200;179;;;
250729;1300;189;;;
250729;1400;154;;;
250729;1500;123;;;
250729;1600;139;;;
250729;1700;203;;;
250729;1800;248;;;
250729;1900;280;;;
250729;2000;123;;;
250729;2100;116;;;
250729;2200;111;;;
250729;2300;198;;;
250730;0000;167;;;
250730;0100;123;;;
250730;0200;104;;;
250730;0300;104;;;
250730;0400;110;;;
250730;0500;92;;;
250730;0600;112;;;
250730;0700;121;;;
250730;0800;112;;;
250730;0900;99;;;
250730;1000;77;;;
250730;1100;66;;;
250730;1200;53;;;
250730;1300;40;;;
250730;1400;97;;;
250730;1500;140;;;
250730;1600;131;;;
250730;1700;152;;;
250730;1800;152;;;
250730;1900;118;;;
250730;2000;97;;;
250730;2100;46;;;
250730;2200;23;;;
250730;2300;29;;;
250731;0000;48;;;
250731;0100;46;;;
250731;0200;38;;;
250731;0300;37;;;
250731;0400;38;;;
250731;0500;44;;;
250731;0600;53;;;
250731;0700;85;;;
250731;0800;95;;;
250731;0900;104;;;
250731;1000;110;;;
250731;1100;104;;;
250731;1200;43;;;
250731;1300;21;;;
250731;1400;22;;;
250731;1500;21;;;
250731;1600;26;;;
250731;1700;19;;;
250731;1800;23;;;
250731;1900;11;;;
250731;2000;17;;;
250731;2100;21;;;
250731;2200;7;;;
250731;2300;8;;;
250801;0000;6;;;
250801;0100;14;;;
250801;0200;10;;;
250801;0300;6;;;
250801;0400;3;;;
250801;0500;2;;;
250801;0600;4;;;
250801;0700;14;;;
250801;0800;9;;;
250801;0900;8;;;
250801;1000;8;;;
250801;1100;7;;;
250801;1200;6;;;
250801;1300;8;;;
250801;1400;14;;;
250801;1500;18;;;
250801;1600;14;;;
250801;1700;17;;;
250801;1800;35;;;
250801;1900;24;;;
250801;2000;24;;;
250801;2100;17;;;
250801;2200;21;;;
250801;2300;14;;;
250802;0000;11;;;
250802;0100;8;;;
250802;0200;6;;;
250802;0300;4;;;
250802;0400;5;;;
250802;0500;6;;;
250802;0600;9;;;
250802;0700;9;;;
250802;0800;9;;;
250802;0900;11;;;
250802;1000;12;;;
250802;1100;7;;;
250802;1200;8;;;
250802;1300;21;;;
250802;1400;17;;;
250802;1500;27;;;
250802;1600;34;;;
250802;1700;26;;;
250802;1800;29;;;
250802;1900;42;;;
250802;2000;57;;;
250802;2100;58;;;
250802;2200;50;;;
250802;2300;69;;;
250803;0000;127;;;
250803;0100;120;;;
250803;0200;89;;;
250803;0300;70;;;
250803;0400;77;;;
250803;0500;72;;;
250803;0600;70;;;
250803;0700;65;;;
250803;0800;57;;;
250803;0900;69;;;
250803;1000;61;;;
250803;1100;40;;;
250803;1200;62;;;
250803;1300;43;;;
250803;1400;52;;;
250803;1500;54;;;
250803;1600;39;;;
250803;1700;56;;;
250803;1800;53;;;
250803;1900;61;;;
250803;2000;80;;;
250803;2100;102;;;
250803;2200;101;;;
250803;2300;124;;;
250804;0000;107;;;
250804;0100;96;;;
250804;0200;87;;;
250804;0300;70;;;
250804;0400;74;;;
250804;0500;62;;;
250804;0600;54;;;
250804;0700;86;;;
250804;0800;112;;;
250804;0900;115;;;
250804;1000;104;;;
250804;1100;123;;;
250804;1200;101;;;
250804;1300;102;;;
250804;1400;96;;;
250804;1500;72;;;
250804;1600;61;;;
250804;1700;96;;;
250804;1800;131;;;
250804;1900;143;;;
250804;2000;106;;;
250804;2100;130;;;
250804;2200;230;;;
250804;2300;239;;;
250805;0000;190;;;
250805;0100;144;;;
250805;0200;117;;;
250805;0300;97;;;
250805;0400;73;;;
250805;0500;65;;;
250805;0600;75;;;
250805;0700;102;;;
250805;0800;148;;;
250805;0900;243;;;
250805;1000;109;;;
250805;1100;83;;;
250805;1200;123;;;
250805;1300;99;;;
250805;1400;85;;;
250805;1500;67;;;
250805;1600;71;;;
250805;1700;66;;;
250805;1800;62;;;
250805;1900;112;;;
250805;2000;124;;;
250805;2100;96;;;
250805;2200;77;;;
250805;2300;70;;;
250806;0000;111;;;
250806;0100;132;;;
250806;0200;102;;;
250806;0300;77;;;
250806;0400;81;;;
250806;0500;72;;;
250806;0600;62;;;
250806;0700;82;;;
250806;0800;90;;;
250806;0900;74;;;
250806;1000;164;;;
250806;1100;80;;;
250806;1200;69;;;
250806;1300;78;;;
250806;1400;73;;;
250806;1500;49;;;
250806;1600;38;;;
250806;1700;47;;;
250806;1800;48;;;
250806;1900;106;;;
250806;2000;76;;;
250806;2100;103;;;
250806;2200;58;;;
250806;2300;58;;;
250807;0000;62;;;
250807;0100;62;;;
250807;0200;63;;;
250807;0300;55;;;
250807;0400;50;;;
250807;0500;47;;;
250807;0600;54;;;
250807;0700;72;;;
250807;0800;109;;;
250807;0900;108;;;
250807;1000;112;;;
250807;1100;76;;;
250807;1200;85;;;
250807;1300;63;;;
250807;1400;60;;;
250807;1500;81;;;
250807;1600;84;;;
250807;1700;51;;;
250807;1800;57;;;
250807;1900;77;;;
250807;2000;80;;;
250807;2100;114;;;
250807;2200;74;;;
250807;2300;51;;;
250808;0000;60;;;
250808;0100;73;;;
250808;0200;93;;;
250808;0300;97;;;
250808;0400;81;;;
250808;0500;64;;;
250808;0600;61;;;
250808;0700;116;;;
250808;0800;137;;;
250808;0900;151;;;
250808;1000;115;;;
250808;1100;115;;;
250808;1200;119;;;
250808;1300;106;;;
250808;1400;101;;;
250808;1500;99;;;
250808;1600;109;;;
250808;1700;105;;;
250808;1800;131;;;
250808;1900;176;;;
250808;2000;177;;;
250808;2100;237;;;
250808;2200;223;;;
250808;2300;111;;;
250809;0000;72;;;
250809;0100;26;;;
250809;0200;24;;;
250809;0300;33;;;
250809;0400;29;;;
250809;0500;27;;;
