FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;117;;;
250727;0200;124;;;
250727;0300;121;;;
250727;0400;101;;;
250727;0500;87;;;
250727;0600;89;;;
250727;0700;89;;;
250727;0800;92;;;
250727;0900;107;;;
250727;1000;92;;;
250727;1100;84;;;
250727;1200;77;;;
250727;1300;84;;;
250727;1400;60;;;
250727;1500;59;;;
250727;1600;44;;;
250727;1700;44;;;
250727;1800;54;;;
250727;1900;60;;;
250727;2000;76;;;
250727;2100;74;;;
250727;2200;79;;;
250727;2300;79;;;
250728;0000;77;;;
250728;0100;79;;;
250728;0200;75;;;
250728;0300;71;;;
250728;0400;63;;;
250728;0500;75;;;
250728;0600;79;;;
250728;0700;97;;;
250728;0800;129;;;
250728;0900;102;;;
250728;1000;106;;;
250728;1100;107;;;
250728;1200;84;;;
250728;1300;79;;;
250728;1400;80;;;
250728;1500;68;;;
250728;1600;75;;;
250728;1700;123;;;
250728;1800;140;;;
250728;1900;150;;;
250728;2000;184;;;
250728;2100;190;;;
250728;2200;203;;;
250728;2300;203;;;
250729;0000;106;;;
250729;0100;132;;;
250729;0200;132;;;
250729;0300;128;;;
250729;0400;116;;;
250729;0500;72;;;
250729;0600;61;;;
250729;0700;104;;;
250729;0800;107;;;
250729;0900;162;;;
250729;1000;129;;;
250729;1100;73;;;
250729;1200;84;;;
250729;1300;79;;;
250729;1400;94;;;
250729;1500;60;;;
250729;1600;90;;;
250729;1700;163;;;
250729;1800;218;;;
250729;1900;209;;;
250729;2000;81;;;
250729;2100;97;;;
250729;2200;105;;;
250729;2300;80;;;
250730;0000;88;;;
250730;0100;86;;;
250730;0200;92;;;
250730;0300;86;;;
250730;0400;81;;;
250730;0500;89;;;
250730;0600;88;;;
250730;0700;97;;;
250730;0800;62;;;
250730;0900;51;;;
250730;1000;73;;;
250730;1100;45;;;
250730;1200;49;;;
250730;1300;76;;;
250730;1400;106;;;
250730;1500;100;;;
250730;1600;99;;;
250730;1700;130;;;
250730;1800;105;;;
250730;1900;58;;;
250730;2000;48;;;
250730;2100;35;;;
250730;2200;30;;;
250730;2300;23;;;
250731;0000;26;;;
250731;0100;32;;;
250731;0200;36;;;
250731;0300;35;;;
250731;0400;35;;;
250731;0500;39;;;
250731;0600;53;;;
250731;0700;71;;;
250731;0800;97;;;
250731;0900;97;;;
250731;1000;115;;;
250731;1100;168;;;
250731;1200;52;;;
250731;1300;32;;;
250731;1400;20;;;
250731;1500;18;;;
250731;1600;23;;;
250731;1700;23;;;
250731;1800;16;;;
250731;1900;23;;;
250731;2000;17;;;
250731;2100;20;;;
250731;2200;19;;;
250731;2300;5;;;
250801;0000;7;;;
250801;0100;7;;;
250801;0200;10;;;
250801;0300;6;;;
250801;0400;3;;;
250801;0500;6;;;
250801;0600;4;;;
250801;0700;5;;;
250801;0800;4;;;
250801;0900;8;;;
250801;1000;6;;;
250801;1100;7;;;
250801;1200;5;;;
250801;1300;3;;;
250801;1400;7;;;
250801;1500;7;;;
250801;1600;11;;;
250801;1700;8;;;
250801;1800;15;;;
250801;1900;11;;;
250801;2000;15;;;
250801;2100;13;;;
250801;2200;23;;;
250801;2300;8;;;
250802;0000;4;;;
250802;0100;6;;;
250802;0200;5;;;
250802;0300;4;;;
250802;0400;5;;;
250802;0500;3;;;
250802;0600;4;;;
250802;0700;4;;;
250802;0800;8;;;
250802;0900;5;;;
250802;1000;3;;;
250802;1100;5;;;
250802;1200;6;;;
250802;1300;10;;;
250802;1400;8;;;
250802;1500;11;;;
250802;1600;12;;;
250802;1700;20;;;
250802;1800;34;;;
250802;1900;101;;;
250802;2000;80;;;
250802;2100;101;;;
250802;2200;93;;;
250802;2300;113;;;
250803;0000;101;;;
