FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;131;;;
250727;0200;101;;;
250727;0300;101;;;
250727;0400;93;;;
250727;0500;114;;;
250727;0600;116;;;
250727;0700;117;;;
250727;0800;115;;;
250727;0900;82;;;
250727;1000;77;;;
250727;1100;101;;;
250727;1200;95;;;
250727;1300;105;;;
250727;1400;112;;;
250727;1500;95;;;
250727;1600;96;;;
250727;1700;86;;;
250727;1800;79;;;
250727;1900;76;;;
250727;2000;100;;;
250727;2100;108;;;
250727;2200;111;;;
250727;2300;124;;;
250728;0000;114;;;
250728;0100;104;;;
250728;0200;95;;;
250728;0300;90;;;
250728;0400;89;;;
250728;0500;84;;;
250728;0600;95;;;
250728;0700;125;;;
250728;0800;151;;;
250728;0900;133;;;
250728;1000;94;;;
250728;1100;105;;;
250728;1200;76;;;
250728;1300;92;;;
250728;1400;120;;;
250728;1500;123;;;
250728;1600;114;;;
250728;1700;160;;;
250728;1800;186;;;
250728;1900;150;;;
250728;2000;123;;;
250728;2100;156;;;
250728;2200;128;;;
250728;2300;96;;;
250729;0000;82;;;
250729;0100;79;;;
250729;0200;75;;;
250729;0300;77;;;
250729;0400;77;;;
250729;0500;75;;;
250729;0600;100;;;
250729;0700;125;;;
250729;0800;155;;;
250729;0900;126;;;
250729;1000;137;;;
250729;1100;101;;;
250729;1200;96;;;
250729;1300;88;;;
250729;1400;109;;;
250729;1500;145;;;
250729;1600;166;;;
250729;1700;224;;;
250729;1800;266;;;
250729;1900;328;;;
250729;2000;144;;;
250729;2100;144;;;
250729;2200;196;;;
250729;2300;134;;;
250730;0000;106;;;
250730;0100;94;;;
250730;0200;84;;;
250730;0300;73;;;
250730;0400;69;;;
250730;0500;78;;;
250730;0600;76;;;
250730;0700;130;;;
250730;0800;107;;;
250730;0900;61;;;
250730;1000;112;;;
250730;1100;53;;;
250730;1200;59;;;
250730;1300;49;;;
250730;1400;76;;;
250730;1500;80;;;
250730;1600;132;;;
250730;1700;130;;;
250730;1800;215;;;
250730;1900;170;;;
250730;2000;126;;;
250730;2100;63;;;
250730;2200;40;;;
250730;2300;43;;;
250731;0000;38;;;
250731;0100;33;;;
250731;0200;36;;;
250731;0300;35;;;
250731;0400;33;;;
250731;0500;33;;;
250731;0600;62;;;
250731;0700;91;;;
250731;0800;83;;;
250731;0900;51;;;
250731;1000;107;;;
250731;1100;220;;;
250731;1200;63;;;
250731;1300;29;;;
250731;1400;24;;;
250731;1500;34;;;
250731;1600;44;;;
250731;1700;37;;;
250731;1800;27;;;
250731;1900;28;;;
250731;2000;25;;;
250731;2100;21;;;
250731;2200;16;;;
250731;2300;14;;;
250801;0000;12;;;
250801;0100;16;;;
250801;0200;11;;;
250801;0300;12;;;
250801;0400;12;;;
250801;0500;9;;;
250801;0600;6;;;
250801;0700;8;;;
250801;0800;14;;;
250801;0900;15;;;
250801;1000;15;;;
250801;1100;13;;;
250801;1200;13;;;
250801;1300;16;;;
250801;1400;11;;;
250801;1500;10;;;
250801;1600;27;;;
250801;1700;15;;;
250801;1800;19;;;
250801;1900;16;;;
250801;2000;11;;;
250801;2100;12;;;
250801;2200;11;;;
250801;2300;17;;;
250802;0000;13;;;
250802;0100;11;;;
250802;0200;11;;;
250802;0300;10;;;
250802;0400;11;;;
250802;0500;9;;;
250802;0600;9;;;
250802;0700;6;;;
250802;0800;12;;;
250802;0900;9;;;
250802;1000;11;;;
250802;1100;10;;;
250802;1200;15;;;
250802;1300;16;;;
250802;1400;23;;;
250802;1500;20;;;
250802;1600;28;;;
250802;1700;25;;;
250802;1800;39;;;
250802;1900;82;;;
250802;2000;92;;;
250802;2100;137;;;
250802;2200;112;;;
250802;2300;106;;;
250803;0000;93;;;
250803;0100;90;;;
250803;0200;53;;;
250803;0300;30;;;
250803;0400;32;;;
250803;0500;31;;;
250803;0600;37;;;
250803;0700;49;;;
250803;0800;59;;;
250803;0900;34;;;
250803;1000;41;;;
250803;1100;48;;;
250803;1200;59;;;
250803;1300;48;;;
250803;1400;44;;;
250803;1500;45;;;
250803;1600;44;;;
250803;1700;58;;;
250803;1800;83;;;
250803;1900;113;;;
250803;2000;138;;;
250803;2100;141;;;
250803;2200;110;;;
250803;2300;102;;;
250804;0000;87;;;
250804;0100;77;;;
250804;0200;66;;;
250804;0300;53;;;
250804;0400;38;;;
250804;0500;40;;;
250804;0600;64;;;
250804;0700;84;;;
250804;0800;135;;;
250804;0900;108;;;
250804;1000;49;;;
250804;1100;50;;;
250804;1200;53;;;
250804;1300;56;;;
250804;1400;81;;;
250804;1500;89;;;
250804;1600;86;;;
250804;1700;92;;;
250804;1800;126;;;
250804;1900;367;;;
250804;2000;233;;;
250804;2100;145;;;
250804;2200;125;;;
250804;2300;115;;;
250805;0000;60;;;
250805;0100;59;;;
250805;0200;51;;;
250805;0300;29;;;
250805;0400;33;;;
250805;0500;50;;;
250805;0600;71;;;
250805;0700;115;;;
250805;0800;202;;;
250805;0900;75;;;
250805;1000;54;;;
250805;1100;81;;;
250805;1200;96;;;
250805;1300;132;;;
250805;1400;132;;;
250805;1500;80;;;
250805;1600;47;;;
250805;1700;64;;;
250805;1800;93;;;
250805;1900;256;;;
250805;2000;209;;;
250805;2100;146;;;
250805;2200;63;;;
250805;2300;73;;;
250806;0000;56;;;
250806;0100;58;;;
250806;0200;33;;;
250806;0300;28;;;
250806;0400;28;;;
250806;0500;42;;;
250806;0600;54;;;
250806;0700;98;;;
250806;0800;142;;;
250806;0900;111;;;
250806;1000;76;;;
250806;1100;50;;;
250806;1200;56;;;
250806;1300;64;;;
250806;1400;40;;;
250806;1500;42;;;
250806;1600;43;;;
250806;1700;51;;;
250806;1800;62;;;
250806;1900;207;;;
250806;2000;166;;;
250806;2100;142;;;
250806;2200;140;;;
250806;2300;115;;;
250807;0000;69;;;
250807;0100;56;;;
250807;0200;48;;;
250807;0300;34;;;
250807;0400;37;;;
250807;0500;39;;;
250807;0600;55;;;
250807;0700;90;;;
250807;0800;120;;;
250807;0900;68;;;
250807;1000;76;;;
250807;1100;82;;;
250807;1200;89;;;
250807;1300;104;;;
250807;1400;78;;;
250807;1500;59;;;
250807;1600;66;;;
250807;1700;80;;;
250807;1800;81;;;
250807;1900;86;;;
250807;2000;136;;;
250807;2100;153;;;
250807;2200;97;;;
250807;2300;101;;;
