FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;30;;;
250727;0200;71;;;
250727;0300;47;;;
250727;0400;45;;;
250727;0500;46;;;
250727;0600;51;;;
250727;0700;46;;;
250727;0800;52;;;
250727;0900;52;;;
250727;1000;47;;;
250727;1100;50;;;
250727;1200;54;;;
250727;1300;44;;;
250727;1400;42;;;
250727;1500;28;;;
250727;1600;19;;;
250727;1700;23;;;
250727;1800;41;;;
250727;1900;79;;;
250727;2000;82;;;
250727;2100;103;;;
250727;2200;79;;;
250727;2300;62;;;
250728;0000;73;;;
250728;0100;69;;;
250728;0200;61;;;
250728;0300;63;;;
250728;0400;69;;;
250728;0500;75;;;
250728;0600;85;;;
250728;0700;90;;;
250728;0800;83;;;
250728;0900;114;;;
250728;1000;108;;;
250728;1100;97;;;
250728;1200;86;;;
250728;1300;66;;;
250728;1400;78;;;
250728;1500;70;;;
250728;1600;72;;;
250728;1700;88;;;
250728;1800;88;;;
250728;1900;177;;;
250728;2000;196;;;
250728;2100;158;;;
250728;2200;106;;;
250728;2300;97;;;
250729;0000;115;;;
250729;0100;114;;;
250729;0200;117;;;
250729;0300;95;;;
250729;0400;111;;;
250729;0500;80;;;
250729;0600;96;;;
250729;0700;108;;;
250729;0800;97;;;
250729;0900;114;;;
250729;1000;96;;;
250729;1100;110;;;
250729;1200;70;;;
250729;1300;65;;;
250729;1400;63;;;
250729;1500;69;;;
250729;1600;73;;;
250729;1700;140;;;
250729;1800;121;;;
250729;1900;106;;;
250729;2000;65;;;
250729;2100;75;;;
250729;2200;65;;;
250729;2300;84;;;
250730;0000;68;;;
250730;0100;67;;;
250730;0200;77;;;
250730;0300;65;;;
250730;0400;44;;;
250730;0500;73;;;
250730;0600;57;;;
250730;0700;43;;;
250730;0800;32;;;
250730;0900;24;;;
250730;1000;22;;;
250730;1100;18;;;
250730;1200;47;;;
250730;1300;59;;;
250730;1400;41;;;
250730;1500;73;;;
250730;1600;80;;;
250730;1700;66;;;
250730;1800;57;;;
250730;1900;38;;;
250730;2000;17;;;
250730;2100;19;;;
250730;2200;19;;;
250730;2300;31;;;
250731;0000;26;;;
250731;0100;20;;;
250731;0200;29;;;
250731;0300;28;;;
250731;0400;38;;;
250731;0500;36;;;
250731;0600;29;;;
250731;0700;36;;;
250731;0800;32;;;
250731;0900;29;;;
250731;1000;18;;;
250731;1100;;;56;
250731;1200;16;;;
250731;1300;17;;;
250731;1400;15;;;
250731;1500;15;;;
250731;1600;17;;;
250731;1700;18;;;
250731;1800;26;;;
250731;1900;14;;;
250731;2000;9;;;
250731;2100;28;;;
250731;2200;30;;;
250731;2300;25;;;
250801;0000;27;;;
250801;0100;23;;;
250801;0200;19;;;
250801;0300;20;;;
250801;0400;17;;;
250801;0500;8;;;
250801;0600;12;;;
250801;0700;15;;;
250801;0800;15;;;
250801;0900;20;;;
250801;1000;18;;;
250801;1100;15;;;
250801;1200;11;;;
250801;1300;8;;;
250801;1400;12;;;
250801;1500;9;;;
250801;1600;11;;;
250801;1700;11;;;
250801;1800;18;;;
250801;1900;24;;;
250801;2000;23;;;
250801;2100;28;;;
250801;2200;22;;;
250801;2300;15;;;
250802;0000;15;;;
250802;0100;12;;;
250802;0200;9;;;
250802;0300;8;;;
250802;0400;7;;;
250802;0500;8;;;
250802;0600;8;;;
250802;0700;12;;;
250802;0800;13;;;
250802;0900;14;;;
250802;1000;9;;;
250802;1100;8;;;
250802;1200;10;;;
250802;1300;7;;;
250802;1400;8;;;
250802;1500;9;;;
250802;1600;11;;;
250802;1700;12;;;
250802;1800;18;;;
250802;1900;134;;;
250802;2000;116;;;
250802;2100;113;;;
250802;2200;73;;;
250802;2300;60;;;
250803;0000;88;;;
250803;0100;94;;;
250803;0200;68;;;
250803;0300;71;;;
250803;0400;66;;;
250803;0500;64;;;
250803;0600;68;;;
250803;0700;66;;;
250803;0800;63;;;
250803;0900;63;;;
250803;1000;67;;;
250803;1100;59;;;
250803;1200;29;;;
250803;1300;28;;;
250803;1400;30;;;
250803;1500;35;;;
250803;1600;26;;;
250803;1700;22;;;
250803;1800;29;;;
250803;1900;59;;;
250803;2000;100;;;
250803;2100;89;;;
250803;2200;81;;;
250803;2300;58;;;
250804;0000;48;;;
250804;0100;73;;;
250804;0200;73;;;
250804;0300;67;;;
250804;0400;86;;;
250804;0500;93;;;
250804;0600;95;;;
250804;0700;73;;;
250804;0800;78;;;
250804;0900;85;;;
250804;1000;86;;;
250804;1100;55;;;
250804;1200;51;;;
250804;1300;38;;;
250804;1400;28;;;
250804;1500;31;;;
250804;1600;41;;;
250804;1700;35;;;
250804;1800;51;;;
250804;1900;93;;;
250804;2000;102;;;
250804;2100;97;;;
250804;2200;116;;;
250804;2300;95;;;
250805;0000;83;;;
250805;0100;106;;;
250805;0200;104;;;
250805;0300;126;;;
250805;0400;112;;;
250805;0500;111;;;
250805;0600;101;;;
250805;0700;118;;;
250805;0800;133;;;
250805;0900;115;;;
250805;1000;100;;;
250805;1100;59;;;
250805;1200;31;;;
250805;1300;33;;;
250805;1400;43;;;
250805;1500;20;;;
250805;1600;27;;;
250805;1700;31;;;
250805;1800;73;;;
250805;1900;74;;;
250805;2000;136;;;
250805;2100;109;;;
250805;2200;88;;;
250805;2300;98;;;
250806;0000;85;;;
250806;0100;60;;;
250806;0200;53;;;
250806;0300;44;;;
250806;0400;54;;;
250806;0500;64;;;
250806;0600;78;;;
250806;0700;75;;;
250806;0800;87;;;
250806;0900;115;;;
250806;1000;66;;;
250806;1100;49;;;
250806;1200;34;;;
250806;1300;28;;;
250806;1400;25;;;
250806;1500;38;;;
250806;1600;45;;;
250806;1700;31;;;
250806;1800;95;;;
250806;1900;55;;;
250806;2000;43;;;
250806;2100;53;;;
250806;2200;62;;;
250806;2300;62;;;
250807;0000;42;;;
250807;0100;65;;;
250807;0200;56;;;
250807;0300;44;;;
250807;0400;40;;;
250807;0500;58;;;
250807;0600;49;;;
250807;0700;75;;;
250807;0800;83;;;
250807;0900;55;;;
250807;1000;47;;;
250807;1100;64;;;
250807;1200;52;;;
250807;1300;40;;;
250807;1400;34;;;
250807;1500;33;;;
250807;1600;35;;;
250807;1700;36;;;
250807;1800;37;;;
250807;1900;52;;;
250807;2000;41;;;
250807;2100;36;;;
250807;2200;55;;;
250807;2300;94;;;
250808;0000;78;;;
250808;0100;45;;;
250808;0200;44;;;
250808;0300;36;;;
250808;0400;41;;;
250808;0500;48;;;
250808;0600;67;;;
250808;0700;81;;;
250808;0800;99;;;
250808;0900;109;;;
250808;1000;77;;;
250808;1100;67;;;
250808;1200;62;;;
250808;1300;70;;;
250808;1400;61;;;
250808;1500;59;;;
250808;1600;42;;;
250808;1700;47;;;
250808;1800;44;;;
250808;1900;43;;;
250808;2000;44;;;
250808;2100;28;;;
250808;2200;24;;;
250808;2300;21;;;
250809;0000;21;;;
250809;0100;16;;;
250809;0200;19;;;
250809;0300;18;;;
250809;0400;14;;;
250809;0500;23;;;
250809;0600;18;;;
250809;0700;16;;;
250809;0800;14;;;
250809;0900;16;;;
250809;1000;17;;;
250809;1100;20;;;
250809;1200;21;;;
250809;1300;24;;;
250809;1400;23;;;
250809;1500;26;;;
250809;1600;21;;;
250809;1700;24;;;
250809;1800;36;;;
250809;1900;40;;;
250809;2000;70;;;
250809;2100;77;;;
250809;2200;74;;;
250809;2300;74;;;
250810;0000;67;;;
250810;0100;68;;;
250810;0200;51;;;
250810;0300;64;;;
