Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;185;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;02:00;221;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;03:00;187;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;04:00;142;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;05:00;98;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;06:00;114;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;07:00;111;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;08:00;103;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;09:00;118;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;10:00;111;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;11:00;92;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;12:00;78;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;13:00;79;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;14:00;55;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;15:00;63;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;16:00;48;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;17:00;53;;100.04;76.96;Bueno;191.11;Regular
2025-07-27;18:00;45;105.72;100.04;76.96;Bueno;191.11;Regular
2025-07-27;19:00;63;103.47;100.04;76.96;Bueno;191.11;Regular
2025-07-27;20:00;79;102.25;100.04;76.96;Bueno;191.11;Regular
2025-07-27;21:00;67;100.57;100.04;76.96;Bueno;191.11;Regular
2025-07-27;22:00;88;100.00;100.04;76.96;Bueno;191.11;Regular
2025-07-27;23:00;101;100.04;100.04;76.96;Bueno;191.11;Regular
2025-07-28;00:00;106;100.29;140.88;121.75;Regular;260.03;Alerta
2025-07-28;01:00;108;97.08;140.88;121.75;Regular;260.03;Alerta
2025-07-28;02:00;98;91.96;140.88;121.75;Regular;260.03;Alerta
2025-07-28;03:00;101;88.38;140.88;121.75;Regular;260.03;Alerta
2025-07-28;04:00;96;86.46;140.88;121.75;Regular;260.03;Alerta
2025-07-28;05:00;102;86.62;140.88;121.75;Regular;260.03;Alerta
2025-07-28;06:00;103;86.17;140.88;121.75;Regular;260.03;Alerta
2025-07-28;07:00;135;87.17;140.88;121.75;Regular;260.03;Alerta
2025-07-28;08:00;171;90.00;140.88;121.75;Regular;260.03;Alerta
2025-07-28;09:00;135;90.71;140.88;121.75;Regular;260.03;Alerta
2025-07-28;10:00;110;90.67;140.88;121.75;Regular;260.03;Alerta
