Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;115;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;02:00;141;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;03:00;126;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;04:00;100;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;05:00;73;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;06:00;78;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;07:00;76;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;08:00;73;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;09:00;80;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;10:00;72;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;11:00;65;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;12:00;61;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;13:00;55;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;14:00;40;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;15:00;41;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;16:00;33;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;17:00;34;;63.83;146.09;Regular;207.13;Alerta
2025-07-27;18:00;26;71.61;63.83;146.09;Regular;207.13;Alerta
2025-07-27;19:00;27;69.26;63.83;146.09;Regular;207.13;Alerta
2025-07-27;20:00;33;67.45;63.83;146.09;Regular;207.13;Alerta
2025-07-27;21:00;31;65.71;63.83;146.09;Regular;207.13;Alerta
2025-07-27;22:00;40;64.55;63.83;146.09;Regular;207.13;Alerta
2025-07-27;23:00;48;63.83;63.83;146.09;Regular;207.13;Alerta
2025-07-28;00:00;53;63.38;60.04;133.47;Regular;198.71;Regular
2025-07-28;01:00;61;61.12;60.04;133.47;Regular;198.71;Regular
2025-07-28;02:00;50;57.33;60.04;133.47;Regular;198.71;Regular
2025-07-28;03:00;66;54.83;60.04;133.47;Regular;198.71;Regular
2025-07-28;04:00;67;53.46;60.04;133.47;Regular;198.71;Regular
2025-07-28;05:00;75;53.54;60.04;133.47;Regular;198.71;Regular
2025-07-28;06:00;59;52.75;60.04;133.47;Regular;198.71;Regular
2025-07-28;07:00;68;52.42;60.04;133.47;Regular;198.71;Regular
2025-07-28;08:00;75;52.50;60.04;133.47;Regular;198.71;Regular
2025-07-28;09:00;66;51.92;60.04;133.47;Regular;198.71;Regular
2025-07-28;10:00;64;51.58;60.04;133.47;Regular;198.71;Regular
2025-07-28;11:00;61;51.42;60.04;133.47;Regular;198.71;Regular
2025-07-28;12:00;36;50.38;60.04;133.47;Regular;198.71;Regular
2025-07-28;13:00;39;49.71;60.04;133.47;Regular;198.71;Regular
2025-07-28;14:00;26;49.12;60.04;133.47;Regular;198.71;Regular
2025-07-28;15:00;41;49.12;60.04;133.47;Regular;198.71;Regular
2025-07-28;16:00;47;49.71;60.04;133.47;Regular;198.71;Regular
2025-07-28;17:00;59;50.75;60.04;133.47;Regular;198.71;Regular
2025-07-28;18:00;61;52.21;60.04;133.47;Regular;198.71;Regular
2025-07-28;19:00;73;54.12;60.04;133.47;Regular;198.71;Regular
2025-07-28;20:00;77;55.96;60.04;133.47;Regular;198.71;Regular
2025-07-28;21:00;80;58.00;60.04;133.47;Regular;198.71;Regular
2025-07-28;22:00;71;59.29;60.04;133.47;Regular;198.71;Regular
2025-07-28;23:00;66;60.04;60.04;133.47;Regular;198.71;Regular
2025-07-29;00:00;73;60.88;49.79;99.58;Bueno;175.99;Regular
2025-07-29;01:00;59;60.79;49.79;99.58;Bueno;175.99;Regular
2025-07-29;02:00;53;60.92;49.79;99.58;Bueno;175.99;Regular
2025-07-29;03:00;47;60.12;49.79;99.58;Bueno;175.99;Regular
2025-07-29;04:00;42;59.08;49.79;99.58;Bueno;175.99;Regular
2025-07-29;05:00;51;58.08;49.79;99.58;Bueno;175.99;Regular
2025-07-29;06:00;49;57.67;49.79;99.58;Bueno;175.99;Regular
2025-07-29;07:00;51;56.96;49.79;99.58;Bueno;175.99;Regular
2025-07-29;08:00;51;55.96;49.79;99.58;Bueno;175.99;Regular
2025-07-29;09:00;55;55.50;49.79;99.58;Bueno;175.99;Regular
2025-07-29;10:00;56;55.17;49.79;99.58;Bueno;175.99;Regular
2025-07-29;11:00;54;54.88;49.79;99.58;Bueno;175.99;Regular
2025-07-29;12:00;34;54.79;49.79;99.58;Bueno;175.99;Regular
2025-07-29;13:00;38;54.75;49.79;99.58;Bueno;175.99;Regular
2025-07-29;14:00;43;55.46;49.79;99.58;Bueno;175.99;Regular
2025-07-29;15:00;42;55.50;49.79;99.58;Bueno;175.99;Regular
2025-07-29;16:00;49;55.58;49.79;99.58;Bueno;175.99;Regular
2025-07-29;17:00;57;55.50;49.79;99.58;Bueno;175.99;Regular
2025-07-29;18:00;62;55.54;49.79;99.58;Bueno;175.99;Regular
2025-07-29;19:00;66;55.25;49.79;99.58;Bueno;175.99;Regular
2025-07-29;20:00;37;53.58;49.79;99.58;Bueno;175.99;Regular
2025-07-29;21:00;37;51.79;49.79;99.58;Bueno;175.99;Regular
2025-07-29;22:00;44;50.67;49.79;99.58;Bueno;175.99;Regular
2025-07-29;23:00;45;49.79;49.79;99.58;Bueno;175.99;Regular
2025-07-30;00:00;51;48.88;34.38;68.75;Bueno;142.11;Regular
2025-07-30;01:00;50;48.50;34.38;68.75;Bueno;142.11;Regular
2025-07-30;02:00;54;48.54;34.38;68.75;Bueno;142.11;Regular
2025-07-30;03:00;57;48.96;34.38;68.75;Bueno;142.11;Regular
2025-07-30;04:00;52;49.38;34.38;68.75;Bueno;142.11;Regular
2025-07-30;05:00;36;48.75;34.38;68.75;Bueno;142.11;Regular
2025-07-30;06:00;46;48.62;34.38;68.75;Bueno;142.11;Regular
2025-07-30;07:00;44;48.33;34.38;68.75;Bueno;142.11;Regular
2025-07-30;08:00;28;47.38;34.38;68.75;Bueno;142.11;Regular
2025-07-30;09:00;24;46.08;34.38;68.75;Bueno;142.11;Regular
2025-07-30;10:00;26;44.83;34.38;68.75;Bueno;142.11;Regular
2025-07-30;11:00;26;43.67;34.38;68.75;Bueno;142.11;Regular
2025-07-30;12:00;13;42.79;34.38;68.75;Bueno;142.11;Regular
2025-07-30;13:00;15;41.83;34.38;68.75;Bueno;142.11;Regular
2025-07-30;14:00;25;41.08;34.38;68.75;Bueno;142.11;Regular
2025-07-30;15:00;45;41.21;34.38;68.75;Bueno;142.11;Regular
2025-07-30;16:00;44;41.00;34.38;68.75;Bueno;142.11;Regular
2025-07-30;17:00;45;40.50;34.38;68.75;Bueno;142.11;Regular
2025-07-30;18:00;40;39.58;34.38;68.75;Bueno;142.11;Regular
2025-07-30;19:00;28;38.00;34.38;68.75;Bueno;142.11;Regular
2025-07-30;20:00;27;37.58;34.38;68.75;Bueno;142.11;Regular
2025-07-30;21:00;21;36.92;34.38;68.75;Bueno;142.11;Regular
2025-07-30;22:00;16;35.75;34.38;68.75;Bueno;142.11;Regular
2025-07-30;23:00;12;34.38;34.38;68.75;Bueno;142.11;Regular
2025-07-31;00:00;12;32.75;15.62;31.25;Bueno;101.35;Regular
2025-07-31;01:00;25;31.71;15.62;31.25;Bueno;101.35;Regular
2025-07-31;02:00;21;30.33;15.62;31.25;Bueno;101.35;Regular
2025-07-31;03:00;25;29.00;15.62;31.25;Bueno;101.35;Regular
2025-07-31;04:00;19;27.62;15.62;31.25;Bueno;101.35;Regular
2025-07-31;05:00;25;27.17;15.62;31.25;Bueno;101.35;Regular
2025-07-31;06:00;29;26.46;15.62;31.25;Bueno;101.35;Regular
2025-07-31;07:00;28;25.79;15.62;31.25;Bueno;101.35;Regular
2025-07-31;08:00;17;25.33;15.62;31.25;Bueno;101.35;Regular
2025-07-31;09:00;16;25.00;15.62;31.25;Bueno;101.35;Regular
2025-07-31;10:00;12;24.42;15.62;31.25;Bueno;101.35;Regular
2025-07-31;11:00;10;23.75;15.62;31.25;Bueno;101.35;Regular
2025-07-31;12:00;9;23.58;15.62;31.25;Bueno;101.35;Regular
2025-07-31;13:00;7;23.25;15.62;31.25;Bueno;101.35;Regular
2025-07-31;14:00;5;22.42;15.62;31.25;Bueno;101.35;Regular
2025-07-31;15:00;7;20.83;15.62;31.25;Bueno;101.35;Regular
2025-07-31;16:00;10;19.42;15.62;31.25;Bueno;101.35;Regular
2025-07-31;17:00;13;18.08;15.62;31.25;Bueno;101.35;Regular
2025-07-31;18:00;13;16.96;15.62;31.25;Bueno;101.35;Regular
2025-07-31;19:00;15;16.42;15.62;31.25;Bueno;101.35;Regular
2025-07-31;20:00;18;16.04;15.62;31.25;Bueno;101.35;Regular
2025-07-31;21:00;16;15.83;15.62;31.25;Bueno;101.35;Regular
2025-07-31;22:00;12;15.67;15.62;31.25;Bueno;101.35;Regular
2025-07-31;23:00;11;15.62;15.62;31.25;Bueno;101.35;Regular
2025-08-01;00:00;9;15.50;7.83;15.67;Bueno;52.22;Bueno
2025-08-01;01:00;7;14.75;7.83;15.67;Bueno;52.22;Bueno
2025-08-01;02:00;9;14.25;7.83;15.67;Bueno;52.22;Bueno
2025-08-01;03:00;9;13.58;7.83;15.67;Bueno;52.22;Bueno
