Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;152;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;02:00;143;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;03:00;136;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;04:00;110;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;05:00;89;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;06:00;91;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;07:00;91;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;08:00;100;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;09:00;113;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;10:00;93;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;11:00;87;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;12:00;97;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;13:00;95;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;14:00;64;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;15:00;60;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;16:00;49;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;17:00;38;;90.61;69.70;Bueno;175.35;Regular
2025-07-27;18:00;50;92.11;90.61;69.70;Bueno;175.35;Regular
2025-07-27;19:00;66;90.74;90.61;69.70;Bueno;175.35;Regular
2025-07-27;20:00;79;90.15;90.61;69.70;Bueno;175.35;Regular
2025-07-27;21:00;86;89.95;90.61;69.70;Bueno;175.35;Regular
2025-07-27;22:00;104;90.59;90.61;69.70;Bueno;175.35;Regular
2025-07-27;23:00;91;90.61;90.61;69.70;Bueno;175.35;Regular
2025-07-28;00:00;84;90.33;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;01:00;92;87.83;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;02:00;85;85.42;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;03:00;79;83.04;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;04:00;72;81.46;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;05:00;78;81.00;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;06:00;81;80.58;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;07:00;119;81.75;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;08:00;130;83.00;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;09:00;114;83.04;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;10:00;118;84.08;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;11:00;108;84.96;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;12:00;93;84.79;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;13:00;92;84.67;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;14:00;93;85.88;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;15:00;67;86.17;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;16:00;81;87.50;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;17:00;132;91.42;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;18:00;129;94.71;126.46;97.28;Bueno;235.57;Alerta
2025-07-28;19:00;242;102.04;126.46;97.28;Bueno;235.57;Alerta
