Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;119;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;02:00;101;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;03:00;89;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;04:00;96;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;05:00;103;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;06:00;90;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;07:00;82;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;08:00;84;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;09:00;78;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;10:00;79;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;11:00;78;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;12:00;97;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;13:00;80;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;14:00;76;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;15:00;112;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;16:00;93;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;17:00;80;;92.26;70.97;Bueno;178.10;Regular
2025-07-27;18:00;63;88.89;92.26;70.97;Bueno;178.10;Regular
2025-07-27;19:00;80;88.42;92.26;70.97;Bueno;178.10;Regular
2025-07-27;20:00;87;88.35;92.26;70.97;Bueno;178.10;Regular
2025-07-27;21:00;111;89.43;92.26;70.97;Bueno;178.10;Regular
2025-07-27;22:00;120;90.82;92.26;70.97;Bueno;178.10;Regular
2025-07-27;23:00;124;92.26;92.26;70.97;Bueno;178.10;Regular
2025-07-28;00:00;104;92.75;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;01:00;94;91.71;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;02:00;87;91.12;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;03:00;71;90.38;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;04:00;63;89.00;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;05:00;57;87.08;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;06:00;70;86.25;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;07:00;104;87.17;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;08:00;132;89.17;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;09:00;77;89.12;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;10:00;94;89.75;114.70;88.23;Bueno;215.71;Alerta
2025-07-28;11:00;82;89.92;114.70;88.23;Bueno;215.71;Alerta
