Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;86;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;02:00;74;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;03:00;69;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;04:00;68;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;05:00;71;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;06:00;64;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;07:00;61;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;08:00;59;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;09:00;57;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;10:00;56;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;11:00;63;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;12:00;74;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;13:00;60;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;14:00;56;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;15:00;70;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;16:00;67;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;17:00;48;;63.61;145.36;Regular;206.65;Alerta
2025-07-27;18:00;32;63.06;63.61;145.36;Regular;206.65;Alerta
2025-07-27;19:00;46;62.16;63.61;145.36;Regular;206.65;Alerta
2025-07-27;20:00;54;61.75;63.61;145.36;Regular;206.65;Alerta
2025-07-27;21:00;65;61.90;63.61;145.36;Regular;206.65;Alerta
2025-07-27;22:00;79;62.68;63.61;145.36;Regular;206.65;Alerta
2025-07-27;23:00;84;63.61;63.61;145.36;Regular;206.65;Alerta
2025-07-28;00:00;74;64.04;51.13;103.77;Regular;178.95;Regular
2025-07-28;01:00;72;63.46;51.13;103.77;Regular;178.95;Regular
2025-07-28;02:00;65;63.08;51.13;103.77;Regular;178.95;Regular
2025-07-28;03:00;54;62.46;51.13;103.77;Regular;178.95;Regular
2025-07-28;04:00;49;61.67;51.13;103.77;Regular;178.95;Regular
2025-07-28;05:00;47;60.67;51.13;103.77;Regular;178.95;Regular
2025-07-28;06:00;50;60.08;51.13;103.77;Regular;178.95;Regular
2025-07-28;07:00;51;59.67;51.13;103.77;Regular;178.95;Regular
2025-07-28;08:00;60;59.71;51.13;103.77;Regular;178.95;Regular
