Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;159;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;02:00;143;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;03:00;133;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;04:00;109;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;05:00;106;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;06:00;98;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;07:00;99;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;08:00;112;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;09:00;107;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;10:00;97;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;11:00;116;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;12:00;101;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;13:00;109;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;14:00;108;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;15:00;71;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;16:00;61;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;17:00;48;;95.87;73.75;Bueno;184.13;Regular
2025-07-27;18:00;56;101.83;95.87;73.75;Bueno;184.13;Regular
2025-07-27;19:00;63;99.79;95.87;73.75;Bueno;184.13;Regular
2025-07-27;20:00;66;98.10;95.87;73.75;Bueno;184.13;Regular
2025-07-27;21:00;59;96.24;95.87;73.75;Bueno;184.13;Regular
2025-07-27;22:00;87;95.82;95.87;73.75;Bueno;184.13;Regular
2025-07-27;23:00;97;95.87;95.87;73.75;Bueno;184.13;Regular
2025-07-28;00:00;81;95.25;136.04;112.08;Regular;251.81;Alerta
2025-07-28;01:00;89;92.33;136.04;112.08;Regular;251.81;Alerta
2025-07-28;02:00;74;89.46;136.04;112.08;Regular;251.81;Alerta
2025-07-28;03:00;85;87.46;136.04;112.08;Regular;251.81;Alerta
2025-07-28;04:00;91;86.71;136.04;112.08;Regular;251.81;Alerta
2025-07-28;05:00;81;85.67;136.04;112.08;Regular;251.81;Alerta
2025-07-28;06:00;82;85.00;136.04;112.08;Regular;251.81;Alerta
2025-07-28;07:00;89;84.58;136.04;112.08;Regular;251.81;Alerta
2025-07-28;08:00;129;85.29;136.04;112.08;Regular;251.81;Alerta
2025-07-28;09:00;126;86.08;136.04;112.08;Regular;251.81;Alerta
2025-07-28;10:00;152;88.38;136.04;112.08;Regular;251.81;Alerta
2025-07-28;11:00;136;89.21;136.04;112.08;Regular;251.81;Alerta
2025-07-28;12:00;81;88.38;136.04;112.08;Regular;251.81;Alerta
2025-07-28;13:00;71;86.79;136.04;112.08;Regular;251.81;Alerta
2025-07-28;14:00;93;86.17;136.04;112.08;Regular;251.81;Alerta
2025-07-28;15:00;97;87.25;136.04;112.08;Regular;251.81;Alerta
2025-07-28;16:00;111;89.33;136.04;112.08;Regular;251.81;Alerta
2025-07-28;17:00;202;95.75;136.04;112.08;Regular;251.81;Alerta
2025-07-28;18:00;232;103.08;136.04;112.08;Regular;251.81;Alerta
2025-07-28;19:00;266;111.54;136.04;112.08;Regular;251.81;Alerta
2025-07-28;20:00;249;119.17;136.04;112.08;Regular;251.81;Alerta
2025-07-28;21:00;223;126.00;136.04;112.08;Regular;251.81;Alerta
2025-07-28;22:00;194;130.46;136.04;112.08;Regular;251.81;Alerta
2025-07-28;23:00;231;136.04;136.04;112.08;Regular;251.81;Alerta
2025-07-29;00:00;188;140.50;148.29;136.58;Regular;272.68;Alerta
2025-07-29;01:00;112;141.46;148.29;136.58;Regular;272.68;Alerta
2025-07-29;02:00;95;142.33;148.29;136.58;Regular;272.68;Alerta
2025-07-29;03:00;83;142.25;148.29;136.58;Regular;272.68;Alerta
2025-07-29;04:00;72;141.46;148.29;136.58;Regular;272.68;Alerta
2025-07-29;05:00;93;141.96;148.29;136.58;Regular;272.68;Alerta
2025-07-29;06:00;96;142.54;148.29;136.58;Regular;272.68;Alerta
2025-07-29;07:00;116;143.67;148.29;136.58;Regular;272.68;Alerta
2025-07-29;08:00;130;143.71;148.29;136.58;Regular;272.68;Alerta
2025-07-29;09:00;140;144.29;148.29;136.58;Regular;272.68;Alerta
2025-07-29;10:00;197;146.17;148.29;136.58;Regular;272.68;Alerta
2025-07-29;11:00;174;147.75;148.29;136.58;Regular;272.68;Alerta
2025-07-29;12:00;179;151.83;148.29;136.58;Regular;272.68;Alerta
2025-07-29;13:00;189;156.75;148.29;136.58;Regular;272.68;Alerta
2025-07-29;14:00;154;159.29;148.29;136.58;Regular;272.68;Alerta
2025-07-29;15:00;123;160.38;148.29;136.58;Regular;272.68;Alerta
2025-07-29;16:00;139;161.54;148.29;136.58;Regular;272.68;Alerta
2025-07-29;17:00;203;161.58;148.29;136.58;Regular;272.68;Alerta
2025-07-29;18:00;248;162.25;148.29;136.58;Regular;272.68;Alerta
2025-07-29;19:00;280;162.83;148.29;136.58;Regular;272.68;Alerta
2025-07-29;20:00;123;157.58;148.29;136.58;Regular;272.68;Alerta
2025-07-29;21:00;116;153.12;148.29;136.58;Regular;272.68;Alerta
2025-07-29;22:00;111;149.67;148.29;136.58;Regular;272.68;Alerta
2025-07-29;23:00;198;148.29;148.29;136.58;Regular;272.68;Alerta
2025-07-30;00:00;167;147.42;98.54;75.80;Bueno;188.60;Regular
2025-07-30;01:00;123;147.88;98.54;75.80;Bueno;188.60;Regular
2025-07-30;02:00;104;148.25;98.54;75.80;Bueno;188.60;Regular
2025-07-30;03:00;104;149.12;98.54;75.80;Bueno;188.60;Regular
2025-07-30;04:00;110;150.71;98.54;75.80;Bueno;188.60;Regular
