Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;94;;52.57;108.55;Regular;182.12;Regular
2025-07-27;02:00;86;;52.57;108.55;Regular;182.12;Regular
2025-07-27;03:00;79;;52.57;108.55;Regular;182.12;Regular
2025-07-27;04:00;69;;52.57;108.55;Regular;182.12;Regular
2025-07-27;05:00;64;;52.57;108.55;Regular;182.12;Regular
2025-07-27;06:00;69;;52.57;108.55;Regular;182.12;Regular
2025-07-27;07:00;67;;52.57;108.55;Regular;182.12;Regular
2025-07-27;08:00;72;;52.57;108.55;Regular;182.12;Regular
2025-07-27;09:00;61;;52.57;108.55;Regular;182.12;Regular
2025-07-27;10:00;56;;52.57;108.55;Regular;182.12;Regular
2025-07-27;11:00;62;;52.57;108.55;Regular;182.12;Regular
2025-07-27;12:00;53;;52.57;108.55;Regular;182.12;Regular
2025-07-27;13:00;56;;52.57;108.55;Regular;182.12;Regular
2025-07-27;14:00;54;;52.57;108.55;Regular;182.12;Regular
2025-07-27;15:00;34;;52.57;108.55;Regular;182.12;Regular
2025-07-27;16:00;30;;52.57;108.55;Regular;182.12;Regular
2025-07-27;17:00;25;;52.57;108.55;Regular;182.12;Regular
2025-07-27;18:00;24;58.61;52.57;108.55;Regular;182.12;Regular
2025-07-27;19:00;29;57.05;52.57;108.55;Regular;182.12;Regular
2025-07-27;20:00;29;55.65;52.57;108.55;Regular;182.12;Regular
2025-07-27;21:00;28;54.33;52.57;108.55;Regular;182.12;Regular
2025-07-27;22:00;35;53.45;52.57;108.55;Regular;182.12;Regular
2025-07-27;23:00;33;52.57;52.57;108.55;Regular;182.12;Regular
2025-07-28;00:00;37;51.92;49.96;99.92;Bueno;176.36;Regular
2025-07-28;01:00;42;49.75;49.96;99.92;Bueno;176.36;Regular
2025-07-28;02:00;37;47.71;49.96;99.92;Bueno;176.36;Regular
2025-07-28;03:00;50;46.50;49.96;99.92;Bueno;176.36;Regular
2025-07-28;04:00;52;45.79;49.96;99.92;Bueno;176.36;Regular
2025-07-28;05:00;48;45.12;49.96;99.92;Bueno;176.36;Regular
2025-07-28;06:00;48;44.25;49.96;99.92;Bueno;176.36;Regular
2025-07-28;07:00;48;43.46;49.96;99.92;Bueno;176.36;Regular
2025-07-28;08:00;55;42.75;49.96;99.92;Bueno;176.36;Regular
2025-07-28;09:00;62;42.79;49.96;99.92;Bueno;176.36;Regular
2025-07-28;10:00;65;43.17;49.96;99.92;Bueno;176.36;Regular
2025-07-28;11:00;53;42.79;49.96;99.92;Bueno;176.36;Regular
2025-07-28;12:00;38;42.17;49.96;99.92;Bueno;176.36;Regular
2025-07-28;13:00;30;41.08;49.96;99.92;Bueno;176.36;Regular
2025-07-28;14:00;32;40.17;49.96;99.92;Bueno;176.36;Regular
2025-07-28;15:00;29;39.96;49.96;99.92;Bueno;176.36;Regular
2025-07-28;16:00;32;40.04;49.96;99.92;Bueno;176.36;Regular
