Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;78;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;02:00;82;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;03:00;81;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;04:00;67;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;05:00;64;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;06:00;58;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;07:00;60;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;08:00;58;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;09:00;62;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;10:00;52;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;11:00;51;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;12:00;49;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;13:00;42;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;14:00;33;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;15:00;27;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;16:00;19;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;17:00;17;;47.57;95.13;Bueno;171.08;Regular
2025-07-27;18:00;25;51.39;47.57;95.13;Bueno;171.08;Regular
2025-07-27;19:00;21;49.79;47.57;95.13;Bueno;171.08;Regular
2025-07-27;20:00;38;49.20;47.57;95.13;Bueno;171.08;Regular
2025-07-27;21:00;32;48.38;47.57;95.13;Bueno;171.08;Regular
2025-07-27;22:00;34;47.73;47.57;95.13;Bueno;171.08;Regular
2025-07-27;23:00;44;47.57;47.57;95.13;Bueno;171.08;Regular
2025-07-28;00:00;41;47.29;48.83;97.67;Bueno;173.88;Regular
2025-07-28;01:00;42;45.79;48.83;97.67;Bueno;173.88;Regular
2025-07-28;02:00;46;44.29;48.83;97.67;Bueno;173.88;Regular
2025-07-28;03:00;45;42.79;48.83;97.67;Bueno;173.88;Regular
2025-07-28;04:00;43;41.79;48.83;97.67;Bueno;173.88;Regular
2025-07-28;05:00;49;41.17;48.83;97.67;Bueno;173.88;Regular
2025-07-28;06:00;43;40.54;48.83;97.67;Bueno;173.88;Regular
2025-07-28;07:00;44;39.88;48.83;97.67;Bueno;173.88;Regular
2025-07-28;08:00;50;39.54;48.83;97.67;Bueno;173.88;Regular
2025-07-28;09:00;50;39.04;48.83;97.67;Bueno;173.88;Regular
2025-07-28;10:00;56;39.21;48.83;97.67;Bueno;173.88;Regular
2025-07-28;11:00;58;39.50;48.83;97.67;Bueno;173.88;Regular
