Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;131;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;02:00;101;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;03:00;101;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;04:00;93;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;05:00;114;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;06:00;116;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;07:00;117;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;08:00;115;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;09:00;82;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;10:00;77;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;11:00;101;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;12:00;95;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;13:00;105;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;14:00;112;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;15:00;95;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;16:00;96;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;17:00;86;;101.52;78.09;Bueno;193.58;Regular
2025-07-27;18:00;79;100.89;101.52;78.09;Bueno;193.58;Regular
2025-07-27;19:00;76;99.58;101.52;78.09;Bueno;193.58;Regular
2025-07-27;20:00;100;99.60;101.52;78.09;Bueno;193.58;Regular
2025-07-27;21:00;108;100.00;101.52;78.09;Bueno;193.58;Regular
2025-07-27;22:00;111;100.50;101.52;78.09;Bueno;193.58;Regular
2025-07-27;23:00;124;101.52;101.52;78.09;Bueno;193.58;Regular
2025-07-28;00:00;114;102.04;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;01:00;104;100.92;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;02:00;95;100.67;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;03:00;90;100.21;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;04:00;89;100.04;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;05:00;84;98.79;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;06:00;95;97.92;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;07:00;125;98.25;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;08:00;151;99.75;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;09:00;133;101.88;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;10:00;94;102.58;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;11:00;105;102.75;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;12:00;76;101.96;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;13:00;92;101.42;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;14:00;120;101.75;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;15:00;123;102.92;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;16:00;114;103.67;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;17:00;160;106.75;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;18:00;186;111.21;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;19:00;150;114.29;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;20:00;123;115.25;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;21:00;156;117.25;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;22:00;128;117.96;116.79;89.84;Bueno;219.24;Alerta
2025-07-28;23:00;96;116.79;116.79;89.84;Bueno;219.24;Alerta
2025-07-29;00:00;82;115.46;135.38;110.75;Regular;250.68;Alerta
