Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;72;;53.35;111.16;Regular;183.86;Regular
2025-07-27;02:00;59;;53.35;111.16;Regular;183.86;Regular
2025-07-27;03:00;54;;53.35;111.16;Regular;183.86;Regular
2025-07-27;04:00;51;;53.35;111.16;Regular;183.86;Regular
2025-07-27;05:00;74;;53.35;111.16;Regular;183.86;Regular
2025-07-27;06:00;62;;53.35;111.16;Regular;183.86;Regular
2025-07-27;07:00;64;;53.35;111.16;Regular;183.86;Regular
2025-07-27;08:00;65;;53.35;111.16;Regular;183.86;Regular
2025-07-27;09:00;52;;53.35;111.16;Regular;183.86;Regular
2025-07-27;10:00;40;;53.35;111.16;Regular;183.86;Regular
2025-07-27;11:00;56;;53.35;111.16;Regular;183.86;Regular
2025-07-27;12:00;56;;53.35;111.16;Regular;183.86;Regular
2025-07-27;13:00;54;;53.35;111.16;Regular;183.86;Regular
2025-07-27;14:00;55;;53.35;111.16;Regular;183.86;Regular
2025-07-27;15:00;52;;53.35;111.16;Regular;183.86;Regular
2025-07-27;16:00;48;;53.35;111.16;Regular;183.86;Regular
2025-07-27;17:00;44;;53.35;111.16;Regular;183.86;Regular
2025-07-27;18:00;36;55.22;53.35;111.16;Regular;183.86;Regular
2025-07-27;19:00;38;54.32;53.35;111.16;Regular;183.86;Regular
2025-07-27;20:00;38;53.50;53.35;111.16;Regular;183.86;Regular
2025-07-27;21:00;45;53.10;53.35;111.16;Regular;183.86;Regular
2025-07-27;22:00;50;52.95;53.35;111.16;Regular;183.86;Regular
2025-07-27;23:00;62;53.35;53.35;111.16;Regular;183.86;Regular
2025-07-28;00:00;59;53.58;45.17;90.33;Bueno;165.79;Regular
2025-07-28;01:00;62;53.17;45.17;90.33;Bueno;165.79;Regular
2025-07-28;02:00;51;52.83;45.17;90.33;Bueno;165.79;Regular
2025-07-28;03:00;51;52.71;45.17;90.33;Bueno;165.79;Regular
2025-07-28;04:00;48;52.58;45.17;90.33;Bueno;165.79;Regular
2025-07-28;05:00;48;51.50;45.17;90.33;Bueno;165.79;Regular
2025-07-28;06:00;50;51.00;45.17;90.33;Bueno;165.79;Regular
2025-07-28;07:00;59;50.79;45.17;90.33;Bueno;165.79;Regular
2025-07-28;08:00;59;50.54;45.17;90.33;Bueno;165.79;Regular
2025-07-28;09:00;56;50.71;45.17;90.33;Bueno;165.79;Regular
2025-07-28;10:00;47;51.00;45.17;90.33;Bueno;165.79;Regular
2025-07-28;11:00;45;50.54;45.17;90.33;Bueno;165.79;Regular
2025-07-28;12:00;30;49.46;45.17;90.33;Bueno;165.79;Regular
2025-07-28;13:00;32;48.54;45.17;90.33;Bueno;165.79;Regular
2025-07-28;14:00;40;47.92;45.17;90.33;Bueno;165.79;Regular
2025-07-28;15:00;33;47.12;45.17;90.33;Bueno;165.79;Regular
2025-07-28;16:00;28;46.29;45.17;90.33;Bueno;165.79;Regular
2025-07-28;17:00;30;45.71;45.17;90.33;Bueno;165.79;Regular
2025-07-28;18:00;40;45.88;45.17;90.33;Bueno;165.79;Regular
2025-07-28;19:00;43;46.08;45.17;90.33;Bueno;165.79;Regular
2025-07-28;20:00;39;46.12;45.17;90.33;Bueno;165.79;Regular
2025-07-28;21:00;47;46.21;45.17;90.33;Bueno;165.79;Regular
2025-07-28;22:00;45;46.00;45.17;90.33;Bueno;165.79;Regular
2025-07-28;23:00;42;45.17;45.17;90.33;Bueno;165.79;Regular
2025-07-29;00:00;40;44.38;36.71;73.42;Bueno;147.21;Regular
2025-07-29;01:00;35;43.25;36.71;73.42;Bueno;147.21;Regular
2025-07-29;02:00;33;42.50;36.71;73.42;Bueno;147.21;Regular
2025-07-29;03:00;34;41.79;36.71;73.42;Bueno;147.21;Regular
2025-07-29;04:00;33;41.17;36.71;73.42;Bueno;147.21;Regular
2025-07-29;05:00;33;40.54;36.71;73.42;Bueno;147.21;Regular
2025-07-29;06:00;34;39.88;36.71;73.42;Bueno;147.21;Regular
2025-07-29;07:00;38;39.00;36.71;73.42;Bueno;147.21;Regular
2025-07-29;08:00;37;38.08;36.71;73.42;Bueno;147.21;Regular
2025-07-29;09:00;40;37.42;36.71;73.42;Bueno;147.21;Regular
2025-07-29;10:00;32;36.79;36.71;73.42;Bueno;147.21;Regular
2025-07-29;11:00;28;36.08;36.71;73.42;Bueno;147.21;Regular
2025-07-29;12:00;22;35.75;36.71;73.42;Bueno;147.21;Regular
2025-07-29;13:00;20;35.25;36.71;73.42;Bueno;147.21;Regular
2025-07-29;14:00;27;34.71;36.71;73.42;Bueno;147.21;Regular
2025-07-29;15:00;24;34.33;36.71;73.42;Bueno;147.21;Regular
2025-07-29;16:00;33;34.54;36.71;73.42;Bueno;147.21;Regular
2025-07-29;17:00;46;35.21;36.71;73.42;Bueno;147.21;Regular
2025-07-29;18:00;46;35.46;36.71;73.42;Bueno;147.21;Regular
2025-07-29;19:00;62;36.25;36.71;73.42;Bueno;147.21;Regular
2025-07-29;20:00;37;36.17;36.71;73.42;Bueno;147.21;Regular
2025-07-29;21:00;46;36.12;36.71;73.42;Bueno;147.21;Regular
2025-07-29;22:00;55;36.54;36.71;73.42;Bueno;147.21;Regular
2025-07-29;23:00;46;36.71;36.71;73.42;Bueno;147.21;Regular
2025-07-30;00:00;43;36.83;26.96;53.92;Bueno;125.93;Regular
2025-07-30;01:00;35;36.83;26.96;53.92;Bueno;125.93;Regular
2025-07-30;02:00;28;36.62;26.96;53.92;Bueno;125.93;Regular
2025-07-30;03:00;32;36.54;26.96;53.92;Bueno;125.93;Regular
2025-07-30;04:00;27;36.29;26.96;53.92;Bueno;125.93;Regular
2025-07-30;05:00;22;35.83;26.96;53.92;Bueno;125.93;Regular
2025-07-30;06:00;22;35.33;26.96;53.92;Bueno;125.93;Regular
2025-07-30;07:00;36;35.25;26.96;53.92;Bueno;125.93;Regular
2025-07-30;08:00;34;35.12;26.96;53.92;Bueno;125.93;Regular
2025-07-30;09:00;23;34.42;26.96;53.92;Bueno;125.93;Regular
2025-07-30;10:00;28;34.25;26.96;53.92;Bueno;125.93;Regular
2025-07-30;11:00;15;33.71;26.96;53.92;Bueno;125.93;Regular
2025-07-30;12:00;16;33.46;26.96;53.92;Bueno;125.93;Regular
2025-07-30;13:00;14;33.21;26.96;53.92;Bueno;125.93;Regular
2025-07-30;14:00;14;32.67;26.96;53.92;Bueno;125.93;Regular
2025-07-30;15:00;19;32.46;26.96;53.92;Bueno;125.93;Regular
2025-07-30;16:00;23;32.04;26.96;53.92;Bueno;125.93;Regular
2025-07-30;17:00;27;31.25;26.96;53.92;Bueno;125.93;Regular
2025-07-30;18:00;53;31.54;26.96;53.92;Bueno;125.93;Regular
2025-07-30;19:00;47;30.92;26.96;53.92;Bueno;125.93;Regular
2025-07-30;20:00;37;30.92;26.96;53.92;Bueno;125.93;Regular
2025-07-30;21:00;17;29.71;26.96;53.92;Bueno;125.93;Regular
2025-07-30;22:00;18;28.17;26.96;53.92;Bueno;125.93;Regular
2025-07-30;23:00;17;26.96;26.96;53.92;Bueno;125.93;Regular
2025-07-31;00:00;18;25.92;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;01:00;16;25.12;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;02:00;16;24.62;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;03:00;18;24.04;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;04:00;13;23.46;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;05:00;11;23.00;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;06:00;11;22.54;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;07:00;15;21.67;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;08:00;9;20.62;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;09:00;4;19.83;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;10:00;11;19.12;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;11:00;15;19.12;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;12:00;9;18.83;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;13:00;10;18.67;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;14:00;8;18.42;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;15:00;9;18.00;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;16:00;21;17.92;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;17:00;24;17.79;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;18:00;12;16.08;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;19:00;20;14.96;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;20:00;16;14.08;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;21:00;10;13.79;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;22:00;9;13.42;13.08;26.17;Bueno;87.22;Bueno
2025-07-31;23:00;9;13.08;13.08;26.17;Bueno;87.22;Bueno
2025-08-01;00:00;11;12.79;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;01:00;9;12.50;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;02:00;6;12.08;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;03:00;2;11.42;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;04:00;1;10.92;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;05:00;7;10.75;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;06:00;5;10.50;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;07:00;6;10.12;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;08:00;7;10.04;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;09:00;7;10.17;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;10:00;9;10.08;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;11:00;7;9.75;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;12:00;7;9.67;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;13:00;6;9.50;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;14:00;5;9.38;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;15:00;5;9.21;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;16:00;10;8.75;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;17:00;10;8.17;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;18:00;5;7.88;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;19:00;13;7.58;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;20:00;8;7.25;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;21:00;8;7.17;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;22:00;8;7.12;7.12;14.25;Bueno;47.50;Bueno
2025-08-01;23:00;9;7.12;7.12;14.25;Bueno;47.50;Bueno
2025-08-02;00:00;8;7.00;16.29;32.58;Bueno;102.79;Regular
2025-08-02;01:00;5;6.83;16.29;32.58;Bueno;102.79;Regular
2025-08-02;02:00;4;6.75;16.29;32.58;Bueno;102.79;Regular
2025-08-02;03:00;3;6.79;16.29;32.58;Bueno;102.79;Regular
2025-08-02;04:00;3;6.88;16.29;32.58;Bueno;102.79;Regular
2025-08-02;05:00;3;6.71;16.29;32.58;Bueno;102.79;Regular
2025-08-02;06:00;4;6.67;16.29;32.58;Bueno;102.79;Regular
2025-08-02;07:00;5;6.62;16.29;32.58;Bueno;102.79;Regular
2025-08-02;08:00;6;6.58;16.29;32.58;Bueno;102.79;Regular
2025-08-02;09:00;6;6.54;16.29;32.58;Bueno;102.79;Regular
2025-08-02;10:00;9;6.54;16.29;32.58;Bueno;102.79;Regular
