Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;93;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;02:00;94;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;03:00;97;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;04:00;93;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;05:00;72;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;06:00;70;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;07:00;75;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;08:00;79;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;09:00;90;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;10:00;72;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;11:00;81;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;12:00;72;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;13:00;78;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;14:00;81;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;15:00;63;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;16:00;54;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;17:00;47;;71.91;55.32;Bueno;144.29;Regular
2025-07-27;18:00;40;75.06;71.91;55.32;Bueno;144.29;Regular
2025-07-27;19:00;51;73.79;71.91;55.32;Bueno;144.29;Regular
2025-07-27;20:00;59;73.05;71.91;55.32;Bueno;144.29;Regular
2025-07-27;21:00;65;72.67;71.91;55.32;Bueno;144.29;Regular
2025-07-27;22:00;65;72.32;71.91;55.32;Bueno;144.29;Regular
2025-07-27;23:00;63;71.91;71.91;55.32;Bueno;144.29;Regular
2025-07-28;00:00;59;71.38;105.17;80.90;Bueno;199.69;Regular
2025-07-28;01:00;67;70.29;105.17;80.90;Bueno;199.69;Regular
2025-07-28;02:00;59;68.83;105.17;80.90;Bueno;199.69;Regular
2025-07-28;03:00;62;67.38;105.17;80.90;Bueno;199.69;Regular
2025-07-28;04:00;73;66.54;105.17;80.90;Bueno;199.69;Regular
2025-07-28;05:00;64;66.21;105.17;80.90;Bueno;199.69;Regular
2025-07-28;06:00;62;65.88;105.17;80.90;Bueno;199.69;Regular
2025-07-28;07:00;87;66.38;105.17;80.90;Bueno;199.69;Regular
2025-07-28;08:00;134;68.67;105.17;80.90;Bueno;199.69;Regular
2025-07-28;09:00;142;70.83;105.17;80.90;Bueno;199.69;Regular
2025-07-28;10:00;136;73.50;105.17;80.90;Bueno;199.69;Regular
2025-07-28;11:00;109;74.67;105.17;80.90;Bueno;199.69;Regular
2025-07-28;12:00;104;76.00;105.17;80.90;Bueno;199.69;Regular
2025-07-28;13:00;109;77.29;105.17;80.90;Bueno;199.69;Regular
2025-07-28;14:00;90;77.67;105.17;80.90;Bueno;199.69;Regular
2025-07-28;15:00;77;78.25;105.17;80.90;Bueno;199.69;Regular
2025-07-28;16:00;67;78.79;105.17;80.90;Bueno;199.69;Regular
2025-07-28;17:00;140;82.67;105.17;80.90;Bueno;199.69;Regular
2025-07-28;18:00;147;87.12;105.17;80.90;Bueno;199.69;Regular
2025-07-28;19:00;116;89.83;105.17;80.90;Bueno;199.69;Regular
2025-07-28;20:00;168;94.38;105.17;80.90;Bueno;199.69;Regular
2025-07-28;21:00;177;99.04;105.17;80.90;Bueno;199.69;Regular
2025-07-28;22:00;161;103.04;105.17;80.90;Bueno;199.69;Regular
2025-07-28;23:00;114;105.17;105.17;80.90;Bueno;199.69;Regular
2025-07-29;00:00;78;105.96;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;01:00;87;106.79;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;02:00;75;107.46;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;03:00;86;108.46;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;04:00;86;109.00;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;05:00;57;108.71;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;06:00;67;108.92;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;07:00;94;109.21;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;08:00;153;110.00;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;09:00;141;109.96;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;10:00;104;108.62;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;11:00;139;109.88;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;12:00;116;110.38;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;13:00;113;110.54;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;14:00;91;110.58;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;15:00;100;111.54;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;16:00;181;116.29;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;17:00;173;117.67;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;18:00;200;119.88;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;19:00;232;124.71;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;20:00;122;122.79;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;21:00;98;119.50;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;22:00;91;116.58;115.29;88.69;Bueno;216.71;Alerta
2025-07-29;23:00;83;115.29;115.29;88.69;Bueno;216.71;Alerta
2025-07-30;00:00;90;115.79;86.75;66.73;Bueno;168.92;Regular
2025-07-30;01:00;78;115.42;86.75;66.73;Bueno;168.92;Regular
2025-07-30;02:00;81;115.67;86.75;66.73;Bueno;168.92;Regular
2025-07-30;03:00;73;115.12;86.75;66.73;Bueno;168.92;Regular
2025-07-30;04:00;78;114.79;86.75;66.73;Bueno;168.92;Regular
2025-07-30;05:00;90;116.17;86.75;66.73;Bueno;168.92;Regular
2025-07-30;06:00;75;116.50;86.75;66.73;Bueno;168.92;Regular
2025-07-30;07:00;115;117.38;86.75;66.73;Bueno;168.92;Regular
2025-07-30;08:00;100;115.17;86.75;66.73;Bueno;168.92;Regular
2025-07-30;09:00;68;112.12;86.75;66.73;Bueno;168.92;Regular
2025-07-30;10:00;83;111.25;86.75;66.73;Bueno;168.92;Regular
2025-07-30;11:00;122;110.54;86.75;66.73;Bueno;168.92;Regular
2025-07-30;12:00;92;109.54;86.75;66.73;Bueno;168.92;Regular
2025-07-30;13:00;98;108.92;86.75;66.73;Bueno;168.92;Regular
2025-07-30;14:00;126;110.38;86.75;66.73;Bueno;168.92;Regular
2025-07-30;15:00;104;110.54;86.75;66.73;Bueno;168.92;Regular
2025-07-30;16:00;100;107.17;86.75;66.73;Bueno;168.92;Regular
2025-07-30;17:00;143;105.92;86.75;66.73;Bueno;168.92;Regular
2025-07-30;18:00;113;102.29;86.75;66.73;Bueno;168.92;Regular
2025-07-30;19:00;92;96.46;86.75;66.73;Bueno;168.92;Regular
2025-07-30;20:00;76;94.54;86.75;66.73;Bueno;168.92;Regular
2025-07-30;21:00;44;92.29;86.75;66.73;Bueno;168.92;Regular
2025-07-30;22:00;23;89.46;86.75;66.73;Bueno;168.92;Regular
2025-07-30;23:00;18;86.75;86.75;66.73;Bueno;168.92;Regular
2025-07-31;00:00;39;84.62;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;01:00;36;82.88;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;02:00;34;80.92;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;03:00;30;79.12;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;04:00;33;77.25;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;05:00;45;75.38;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;06:00;37;73.79;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;07:00;49;71.04;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;08:00;;69.78;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;09:00;91;70.78;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;10:00;138;73.17;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;11:00;106;72.48;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;12:00;110;73.26;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;13:00;44;70.91;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;14:00;24;66.48;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;15:00;25;63.04;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;16:00;21;59.61;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;17:00;20;54.26;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;18:00;16;50.04;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;19:00;19;46.87;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;20:00;21;44.48;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;21:00;12;43.09;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;22:00;10;42.52;42.04;32.34;Bueno;93.43;Bueno
2025-07-31;23:00;7;42.04;42.04;32.34;Bueno;93.43;Bueno
2025-08-01;00:00;6;40.61;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;01:00;8;39.39;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;02:00;9;38.30;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;03:00;6;37.26;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;04:00;4;36.00;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;05:00;2;34.13;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;06:00;5;32.74;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;07:00;4;30.78;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;08:00;4;29.67;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;09:00;10;26.29;7.96;6.12;Bueno;17.69;Bueno
2025-08-01;10:00;12;21.04;7.96;6.12;Bueno;17.69;Bueno
