Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;63;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;02:00;71;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;03:00;65;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;04:00;71;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;05:00;50;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;06:00;54;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;07:00;58;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;08:00;59;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;09:00;65;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;10:00;52;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;11:00;50;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;12:00;50;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;13:00;48;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;14:00;52;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;15:00;43;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;16:00;29;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;17:00;25;;47.13;94.26;Bueno;170.12;Regular
2025-07-27;18:00;20;51.39;47.13;94.26;Bueno;170.12;Regular
2025-07-27;19:00;28;50.16;47.13;94.26;Bueno;170.12;Regular
2025-07-27;20:00;27;49.00;47.13;94.26;Bueno;170.12;Regular
2025-07-27;21:00;35;48.33;47.13;94.26;Bueno;170.12;Regular
2025-07-27;22:00;34;47.68;47.13;94.26;Bueno;170.12;Regular
2025-07-27;23:00;35;47.13;47.13;94.26;Bueno;170.12;Regular
2025-07-28;00:00;42;46.92;46.83;93.67;Bueno;169.46;Regular
2025-07-28;01:00;39;45.92;46.83;93.67;Bueno;169.46;Regular
2025-07-28;02:00;37;44.50;46.83;93.67;Bueno;169.46;Regular
2025-07-28;03:00;44;43.62;46.83;93.67;Bueno;169.46;Regular
2025-07-28;04:00;44;42.50;46.83;93.67;Bueno;169.46;Regular
2025-07-28;05:00;49;42.46;46.83;93.67;Bueno;169.46;Regular
2025-07-28;06:00;48;42.21;46.83;93.67;Bueno;169.46;Regular
2025-07-28;07:00;50;41.88;46.83;93.67;Bueno;169.46;Regular
2025-07-28;08:00;60;41.92;46.83;93.67;Bueno;169.46;Regular
2025-07-28;09:00;78;42.46;46.83;93.67;Bueno;169.46;Regular
2025-07-28;10:00;69;43.17;46.83;93.67;Bueno;169.46;Regular
2025-07-28;11:00;60;43.58;46.83;93.67;Bueno;169.46;Regular
2025-07-28;12:00;55;43.79;46.83;93.67;Bueno;169.46;Regular
2025-07-28;13:00;47;43.75;46.83;93.67;Bueno;169.46;Regular
2025-07-28;14:00;36;43.08;46.83;93.67;Bueno;169.46;Regular
2025-07-28;15:00;22;42.21;46.83;93.67;Bueno;169.46;Regular
2025-07-28;16:00;25;42.04;46.83;93.67;Bueno;169.46;Regular
2025-07-28;17:00;41;42.71;46.83;93.67;Bueno;169.46;Regular
2025-07-28;18:00;43;43.67;46.83;93.67;Bueno;169.46;Regular
2025-07-28;19:00;39;44.12;46.83;93.67;Bueno;169.46;Regular
2025-07-28;20:00;48;45.00;46.83;93.67;Bueno;169.46;Regular
2025-07-28;21:00;53;45.75;46.83;93.67;Bueno;169.46;Regular
2025-07-28;22:00;53;46.54;46.83;93.67;Bueno;169.46;Regular
2025-07-28;23:00;42;46.83;46.83;93.67;Bueno;169.46;Regular
2025-07-29;00:00;36;46.58;35.50;71.00;Bueno;144.57;Regular
2025-07-29;01:00;42;46.71;35.50;71.00;Bueno;144.57;Regular
2025-07-29;02:00;38;46.75;35.50;71.00;Bueno;144.57;Regular
2025-07-29;03:00;44;46.75;35.50;71.00;Bueno;144.57;Regular
2025-07-29;04:00;36;46.42;35.50;71.00;Bueno;144.57;Regular
2025-07-29;05:00;29;45.58;35.50;71.00;Bueno;144.57;Regular
2025-07-29;06:00;24;44.58;35.50;71.00;Bueno;144.57;Regular
2025-07-29;07:00;35;43.96;35.50;71.00;Bueno;144.57;Regular
2025-07-29;08:00;35;42.92;35.50;71.00;Bueno;144.57;Regular
2025-07-29;09:00;37;41.21;35.50;71.00;Bueno;144.57;Regular
2025-07-29;10:00;33;39.71;35.50;71.00;Bueno;144.57;Regular
2025-07-29;11:00;36;38.71;35.50;71.00;Bueno;144.57;Regular
2025-07-29;12:00;35;37.88;35.50;71.00;Bueno;144.57;Regular
2025-07-29;13:00;37;37.46;35.50;71.00;Bueno;144.57;Regular
2025-07-29;14:00;28;37.12;35.50;71.00;Bueno;144.57;Regular
2025-07-29;15:00;28;37.38;35.50;71.00;Bueno;144.57;Regular
2025-07-29;16:00;39;37.96;35.50;71.00;Bueno;144.57;Regular
2025-07-29;17:00;39;37.88;35.50;71.00;Bueno;144.57;Regular
2025-07-29;18:00;41;37.79;35.50;71.00;Bueno;144.57;Regular
2025-07-29;19:00;53;38.38;35.50;71.00;Bueno;144.57;Regular
2025-07-29;20:00;31;37.67;35.50;71.00;Bueno;144.57;Regular
2025-07-29;21:00;31;36.75;35.50;71.00;Bueno;144.57;Regular
2025-07-29;22:00;31;35.83;35.50;71.00;Bueno;144.57;Regular
2025-07-29;23:00;34;35.50;35.50;71.00;Bueno;144.57;Regular
2025-07-30;00:00;35;35.46;30.58;61.17;Bueno;133.83;Regular
2025-07-30;01:00;29;34.92;30.58;61.17;Bueno;133.83;Regular
2025-07-30;02:00;31;34.62;30.58;61.17;Bueno;133.83;Regular
2025-07-30;03:00;34;34.21;30.58;61.17;Bueno;133.83;Regular
2025-07-30;04:00;39;34.33;30.58;61.17;Bueno;133.83;Regular
2025-07-30;05:00;36;34.62;30.58;61.17;Bueno;133.83;Regular
2025-07-30;06:00;30;34.88;30.58;61.17;Bueno;133.83;Regular
2025-07-30;07:00;42;35.17;30.58;61.17;Bueno;133.83;Regular
2025-07-30;08:00;37;35.25;30.58;61.17;Bueno;133.83;Regular
2025-07-30;09:00;22;34.62;30.58;61.17;Bueno;133.83;Regular
2025-07-30;10:00;27;34.38;30.58;61.17;Bueno;133.83;Regular
2025-07-30;11:00;31;34.17;30.58;61.17;Bueno;133.83;Regular
2025-07-30;12:00;28;33.88;30.58;61.17;Bueno;133.83;Regular
2025-07-30;13:00;31;33.62;30.58;61.17;Bueno;133.83;Regular
2025-07-30;14:00;32;33.79;30.58;61.17;Bueno;133.83;Regular
2025-07-30;15:00;38;34.21;30.58;61.17;Bueno;133.83;Regular
2025-07-30;16:00;31;33.88;30.58;61.17;Bueno;133.83;Regular
2025-07-30;17:00;39;33.88;30.58;61.17;Bueno;133.83;Regular
2025-07-30;18:00;44;34.00;30.58;61.17;Bueno;133.83;Regular
2025-07-30;19:00;34;33.21;30.58;61.17;Bueno;133.83;Regular
2025-07-30;20:00;25;32.96;30.58;61.17;Bueno;133.83;Regular
2025-07-30;21:00;16;32.33;30.58;61.17;Bueno;133.83;Regular
2025-07-30;22:00;9;31.42;30.58;61.17;Bueno;133.83;Regular
2025-07-30;23:00;14;30.58;30.58;61.17;Bueno;133.83;Regular
2025-07-31;00:00;17;29.83;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;01:00;19;29.42;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;02:00;19;28.92;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;03:00;17;28.21;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;04:00;16;27.25;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;05:00;15;26.38;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;06:00;17;25.83;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;07:00;13;24.62;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;08:00;12;23.58;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;09:00;7;22.96;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;10:00;6;22.08;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;11:00;8;21.12;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;12:00;8;20.29;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;13:00;5;19.21;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;14:00;3;18.00;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;15:00;1;16.46;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;16:00;1;15.21;10.46;20.92;Bueno;69.72;Bueno
2025-07-31;17:00;7;13.88;10.46;20.92;Bueno;69.72;Bueno
