Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;30;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;02:00;71;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;03:00;47;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;04:00;45;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;05:00;46;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;06:00;51;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;07:00;46;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;08:00;52;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;09:00;52;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;10:00;47;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;11:00;50;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;12:00;54;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;13:00;44;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;14:00;42;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;15:00;28;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;16:00;19;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;17:00;23;;51.87;39.90;Bueno;111.26;Regular
2025-07-27;18:00;41;43.78;51.87;39.90;Bueno;111.26;Regular
2025-07-27;19:00;79;45.63;51.87;39.90;Bueno;111.26;Regular
2025-07-27;20:00;82;47.45;51.87;39.90;Bueno;111.26;Regular
2025-07-27;21:00;103;50.10;51.87;39.90;Bueno;111.26;Regular
2025-07-27;22:00;79;51.41;51.87;39.90;Bueno;111.26;Regular
2025-07-27;23:00;62;51.87;51.87;39.90;Bueno;111.26;Regular
2025-07-28;00:00;73;52.75;94.54;72.72;Bueno;181.91;Regular
2025-07-28;01:00;69;54.38;94.54;72.72;Bueno;181.91;Regular
2025-07-28;02:00;61;53.96;94.54;72.72;Bueno;181.91;Regular
2025-07-28;03:00;63;54.62;94.54;72.72;Bueno;181.91;Regular
2025-07-28;04:00;69;55.62;94.54;72.72;Bueno;181.91;Regular
2025-07-28;05:00;75;56.83;94.54;72.72;Bueno;181.91;Regular
2025-07-28;06:00;85;58.25;94.54;72.72;Bueno;181.91;Regular
2025-07-28;07:00;90;60.08;94.54;72.72;Bueno;181.91;Regular
2025-07-28;08:00;83;61.38;94.54;72.72;Bueno;181.91;Regular
2025-07-28;09:00;114;63.96;94.54;72.72;Bueno;181.91;Regular
2025-07-28;10:00;108;66.50;94.54;72.72;Bueno;181.91;Regular
2025-07-28;11:00;97;68.46;94.54;72.72;Bueno;181.91;Regular
