Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;26;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;02:00;62;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;03:00;39;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;04:00;40;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;05:00;37;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;06:00;34;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;07:00;31;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;08:00;40;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;09:00;38;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;10:00;45;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;11:00;34;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;12:00;36;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;13:00;32;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;14:00;32;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;15:00;17;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;16:00;14;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;17:00;15;;37.13;74.26;Bueno;148.14;Regular
2025-07-27;18:00;19;32.83;37.13;74.26;Bueno;148.14;Regular
2025-07-27;19:00;45;33.47;37.13;74.26;Bueno;148.14;Regular
2025-07-27;20:00;47;34.15;37.13;74.26;Bueno;148.14;Regular
2025-07-27;21:00;67;35.71;37.13;74.26;Bueno;148.14;Regular
2025-07-27;22:00;57;36.68;37.13;74.26;Bueno;148.14;Regular
2025-07-27;23:00;47;37.13;37.13;74.26;Bueno;148.14;Regular
2025-07-28;00:00;59;38.04;54.62;115.42;Regular;186.68;Regular
2025-07-28;01:00;54;39.21;54.62;115.42;Regular;186.68;Regular
2025-07-28;02:00;41;38.33;54.62;115.42;Regular;186.68;Regular
2025-07-28;03:00;43;38.50;54.62;115.42;Regular;186.68;Regular
2025-07-28;04:00;41;38.54;54.62;115.42;Regular;186.68;Regular
2025-07-28;05:00;46;38.92;54.62;115.42;Regular;186.68;Regular
2025-07-28;06:00;48;39.50;54.62;115.42;Regular;186.68;Regular
2025-07-28;07:00;45;40.08;54.62;115.42;Regular;186.68;Regular
2025-07-28;08:00;46;40.33;54.62;115.42;Regular;186.68;Regular
2025-07-28;09:00;61;41.29;54.62;115.42;Regular;186.68;Regular
2025-07-28;10:00;60;41.92;54.62;115.42;Regular;186.68;Regular
2025-07-28;11:00;61;43.04;54.62;115.42;Regular;186.68;Regular
2025-07-28;12:00;52;43.71;54.62;115.42;Regular;186.68;Regular
2025-07-28;13:00;41;44.08;54.62;115.42;Regular;186.68;Regular
2025-07-28;14:00;44;44.58;54.62;115.42;Regular;186.68;Regular
2025-07-28;15:00;42;45.62;54.62;115.42;Regular;186.68;Regular
2025-07-28;16:00;36;46.54;54.62;115.42;Regular;186.68;Regular
2025-07-28;17:00;39;47.54;54.62;115.42;Regular;186.68;Regular
2025-07-28;18:00;43;48.54;54.62;115.42;Regular;186.68;Regular
2025-07-28;19:00;90;50.42;54.62;115.42;Regular;186.68;Regular
2025-07-28;20:00;105;52.83;54.62;115.42;Regular;186.68;Regular
2025-07-28;21:00;90;53.79;54.62;115.42;Regular;186.68;Regular
2025-07-28;22:00;64;54.08;54.62;115.42;Regular;186.68;Regular
2025-07-28;23:00;60;54.62;54.62;115.42;Regular;186.68;Regular
2025-07-29;00:00;64;54.83;43.96;87.92;Bueno;163.13;Regular
2025-07-29;01:00;63;55.21;43.96;87.92;Bueno;163.13;Regular
2025-07-29;02:00;59;55.96;43.96;87.92;Bueno;163.13;Regular
2025-07-29;03:00;51;56.29;43.96;87.92;Bueno;163.13;Regular
2025-07-29;04:00;55;56.88;43.96;87.92;Bueno;163.13;Regular
2025-07-29;05:00;42;56.71;43.96;87.92;Bueno;163.13;Regular
2025-07-29;06:00;49;56.75;43.96;87.92;Bueno;163.13;Regular
2025-07-29;07:00;47;56.83;43.96;87.92;Bueno;163.13;Regular
2025-07-29;08:00;39;56.54;43.96;87.92;Bueno;163.13;Regular
2025-07-29;09:00;44;55.83;43.96;87.92;Bueno;163.13;Regular
2025-07-29;10:00;40;55.00;43.96;87.92;Bueno;163.13;Regular
2025-07-29;11:00;47;54.42;43.96;87.92;Bueno;163.13;Regular
2025-07-29;12:00;31;53.54;43.96;87.92;Bueno;163.13;Regular
2025-07-29;13:00;29;53.04;43.96;87.92;Bueno;163.13;Regular
2025-07-29;14:00;31;52.50;43.96;87.92;Bueno;163.13;Regular
2025-07-29;15:00;37;52.29;43.96;87.92;Bueno;163.13;Regular
2025-07-29;16:00;40;52.46;43.96;87.92;Bueno;163.13;Regular
2025-07-29;17:00;48;52.83;43.96;87.92;Bueno;163.13;Regular
2025-07-29;18:00;44;52.88;43.96;87.92;Bueno;163.13;Regular
2025-07-29;19:00;40;50.79;43.96;87.92;Bueno;163.13;Regular
2025-07-29;20:00;33;47.79;43.96;87.92;Bueno;163.13;Regular
2025-07-29;21:00;39;45.67;43.96;87.92;Bueno;163.13;Regular
2025-07-29;22:00;37;44.54;43.96;87.92;Bueno;163.13;Regular
2025-07-29;23:00;46;43.96;43.96;87.92;Bueno;163.13;Regular
2025-07-30;00:00;40;42.96;23.88;47.75;Bueno;119.22;Regular
2025-07-30;01:00;43;42.12;23.88;47.75;Bueno;119.22;Regular
2025-07-30;02:00;40;41.33;23.88;47.75;Bueno;119.22;Regular
2025-07-30;03:00;40;40.88;23.88;47.75;Bueno;119.22;Regular
2025-07-30;04:00;24;39.58;23.88;47.75;Bueno;119.22;Regular
2025-07-30;05:00;41;39.54;23.88;47.75;Bueno;119.22;Regular
2025-07-30;06:00;36;39.00;23.88;47.75;Bueno;119.22;Regular
2025-07-30;07:00;25;38.08;23.88;47.75;Bueno;119.22;Regular
2025-07-30;08:00;20;37.29;23.88;47.75;Bueno;119.22;Regular
2025-07-30;09:00;16;36.12;23.88;47.75;Bueno;119.22;Regular
2025-07-30;10:00;16;35.12;23.88;47.75;Bueno;119.22;Regular
