Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;185;;100.04;76.96;Bueno;191.11;Regular;115;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;02:00;221;;100.04;76.96;Bueno;191.11;Regular;141;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;03:00;187;;100.04;76.96;Bueno;191.11;Regular;126;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;04:00;142;;100.04;76.96;Bueno;191.11;Regular;100;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;05:00;98;;100.04;76.96;Bueno;191.11;Regular;73;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;06:00;114;;100.04;76.96;Bueno;191.11;Regular;78;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;07:00;111;;100.04;76.96;Bueno;191.11;Regular;76;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;08:00;103;;100.04;76.96;Bueno;191.11;Regular;73;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;09:00;118;;100.04;76.96;Bueno;191.11;Regular;80;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;10:00;111;;100.04;76.96;Bueno;191.11;Regular;72;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;11:00;92;;100.04;76.96;Bueno;191.11;Regular;65;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;12:00;78;;100.04;76.96;Bueno;191.11;Regular;61;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;13:00;79;;100.04;76.96;Bueno;191.11;Regular;55;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;14:00;55;;100.04;76.96;Bueno;191.11;Regular;40;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;15:00;63;;100.04;76.96;Bueno;191.11;Regular;41;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;16:00;48;;100.04;76.96;Bueno;191.11;Regular;33;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;17:00;53;;100.04;76.96;Bueno;191.11;Regular;34;;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;18:00;45;105.72;100.04;76.96;Bueno;191.11;Regular;26;71.61;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;19:00;63;103.47;100.04;76.96;Bueno;191.11;Regular;27;69.26;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;20:00;79;102.25;100.04;76.96;Bueno;191.11;Regular;33;67.45;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;21:00;67;100.57;100.04;76.96;Bueno;191.11;Regular;31;65.71;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;22:00;88;100.00;100.04;76.96;Bueno;191.11;Regular;40;64.55;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-27;23:00;101;100.04;100.04;76.96;Bueno;191.11;Regular;48;63.83;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-28;00:00;106;100.29;140.88;121.75;Regular;260.03;Alerta;53;63.38;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;01:00;108;97.08;140.88;121.75;Regular;260.03;Alerta;61;61.12;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;02:00;98;91.96;140.88;121.75;Regular;260.03;Alerta;50;57.33;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;03:00;101;88.38;140.88;121.75;Regular;260.03;Alerta;66;54.83;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;04:00;96;86.46;140.88;121.75;Regular;260.03;Alerta;67;53.46;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;05:00;102;86.62;140.88;121.75;Regular;260.03;Alerta;75;53.54;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;06:00;103;86.17;140.88;121.75;Regular;260.03;Alerta;59;52.75;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;07:00;135;87.17;140.88;121.75;Regular;260.03;Alerta;68;52.42;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;08:00;171;90.00;140.88;121.75;Regular;260.03;Alerta;75;52.50;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-28;09:00;135;90.71;140.88;121.75;Regular;260.03;Alerta;66;51.92;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
