Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;100.04;76.96;Bueno;191.11;Regular;63.83;146.09;Regular;207.13;Alerta;Regular;Alerta
2025-07-28;140.88;121.75;Regular;260.03;Alerta;60.04;133.47;Regular;198.71;Regular;Regular;Alerta
2025-07-29;146.91;133.83;Regular;270.32;Alerta;49.79;99.58;Bueno;175.99;Regular;Regular;Alerta
2025-07-30;96.54;74.26;Bueno;185.25;Regular;34.38;68.75;Bueno;142.11;Regular;Bueno;Regular
2025-07-31;56.79;43.69;Bueno;119.35;Regular;15.62;31.25;Bueno;101.35;Regular;Bueno;Regular
2025-08-01;16.17;12.44;Bueno;35.93;Bueno;7.83;15.67;Bueno;52.22;Bueno;Bueno;Bueno
2025-08-02;38.67;29.74;Bueno;85.93;Bueno;18.54;37.08;Bueno;107.66;Regular;Bueno;Regular
2025-08-03;95.75;73.65;Bueno;183.93;Regular;50.54;101.81;Regular;177.65;Regular;Regular;Regular
2025-08-04;124.92;96.09;Bueno;232.96;Alerta;44.25;88.50;Bueno;163.77;Regular;Bueno;Alerta
2025-08-05;106.88;82.21;Bueno;202.56;Alerta;36.17;72.33;Bueno;146.03;Regular;Bueno;Alerta
2025-08-06;87.21;67.08;Bueno;169.68;Regular;30.12;60.25;Bueno;132.83;Regular;Bueno;Regular
2025-08-07;78.92;60.71;Bueno;155.90;Regular;36.25;72.50;Bueno;146.21;Regular;Bueno;Regular
2025-08-08;121.08;93.14;Bueno;226.48;Alerta;51.96;106.53;Regular;180.78;Regular;Regular;Alerta
2025-08-09;33.21;25.54;Bueno;73.80;Bueno;24.08;48.17;Bueno;119.67;Regular;Bueno;Regular
2025-08-10;78.58;60.45;Bueno;155.34;Regular;47.46;94.92;Bueno;170.84;Regular;Bueno;Regular
2025-08-11;125.62;96.63;Bueno;234.16;Alerta;49.83;99.67;Bueno;176.08;Regular;Bueno;Alerta
2025-08-12;106.92;82.24;Bueno;202.63;Alerta;35.58;71.17;Bueno;144.75;Regular;Bueno;Alerta
2025-08-13;120.96;93.04;Bueno;226.27;Alerta;45.96;91.92;Bueno;167.53;Regular;Bueno;Alerta
2025-08-14;91.33;70.26;Bueno;176.55;Regular;33.62;67.25;Bueno;140.47;Regular;Bueno;Regular
2025-08-15;20.58;15.83;Bueno;45.74;Bueno;8.79;17.58;Bueno;58.61;Bueno;Bueno;Bueno
2025-08-16;40.08;30.83;Bueno;89.07;Bueno;17.33;34.67;Bueno;105.04;Regular;Bueno;Regular
2025-08-17;52.58;40.45;Bueno;112.43;Regular;27.38;54.75;Bueno;126.83;Regular;Bueno;Regular
2025-08-18;61.25;47.12;Bueno;126.68;Regular;28.71;57.42;Bueno;129.74;Regular;Bueno;Regular
2025-08-19;47.21;36.31;Bueno;103.62;Regular;16.21;32.42;Bueno;102.61;Regular;Bueno;Regular
2025-08-20;54.83;42.18;Bueno;116.13;Regular;19.58;39.17;Bueno;109.91;Regular;Bueno;Regular
2025-08-21;21.67;16.67;Bueno;48.15;Bueno;6.58;13.17;Bueno;43.89;Bueno;Bueno;Bueno
2025-08-22;13.88;10.67;Bueno;30.83;Bueno;6.00;12.00;Bueno;40.00;Bueno;Bueno;Bueno
2025-08-23;44.83;34.49;Bueno;99.63;Bueno;22.75;45.50;Bueno;116.78;Regular;Bueno;Regular
2025-08-24;66.79;51.38;Bueno;135.82;Regular;33.92;67.83;Bueno;141.10;Regular;Bueno;Regular
2025-08-25;88.38;67.98;Bueno;171.62;Regular;28.79;57.58;Bueno;129.92;Regular;Bueno;Regular
2025-08-26;116.00;89.23;Bueno;217.91;Alerta;37.50;75.00;Bueno;148.95;Regular;Bueno;Alerta
2025-08-27;114.00;87.69;Bueno;214.54;Alerta;41.50;83.00;Bueno;157.72;Regular;Bueno;Alerta
2025-08-28;41.38;31.83;Bueno;91.94;Bueno;26.08;52.17;Bueno;124.02;Regular;Bueno;Regular
2025-08-29;32.67;25.13;Bueno;72.59;Bueno;13.67;27.33;Bueno;91.11;Bueno;Bueno;Bueno
2025-08-30;34.75;26.73;Bueno;77.22;Bueno;18.58;37.17;Bueno;107.75;Regular;Bueno;Regular
