Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;152;;90.61;69.70;Bueno;175.35;Regular;102;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;02:00;143;;90.61;69.70;Bueno;175.35;Regular;97;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;03:00;136;;90.61;69.70;Bueno;175.35;Regular;91;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;04:00;110;;90.61;69.70;Bueno;175.35;Regular;76;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;05:00;89;;90.61;69.70;Bueno;175.35;Regular;57;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;06:00;91;;90.61;69.70;Bueno;175.35;Regular;63;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;07:00;91;;90.61;69.70;Bueno;175.35;Regular;58;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;08:00;100;;90.61;69.70;Bueno;175.35;Regular;63;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;09:00;113;;90.61;69.70;Bueno;175.35;Regular;62;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;10:00;93;;90.61;69.70;Bueno;175.35;Regular;55;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;11:00;87;;90.61;69.70;Bueno;175.35;Regular;51;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;12:00;97;;90.61;69.70;Bueno;175.35;Regular;53;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;13:00;95;;90.61;69.70;Bueno;175.35;Regular;48;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;14:00;64;;90.61;69.70;Bueno;175.35;Regular;29;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;15:00;60;;90.61;69.70;Bueno;175.35;Regular;35;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;16:00;49;;90.61;69.70;Bueno;175.35;Regular;26;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;17:00;38;;90.61;69.70;Bueno;175.35;Regular;20;;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;18:00;50;92.11;90.61;69.70;Bueno;175.35;Regular;26;56.22;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;19:00;66;90.74;90.61;69.70;Bueno;175.35;Regular;27;54.68;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;20:00;79;90.15;90.61;69.70;Bueno;175.35;Regular;38;53.85;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;21:00;86;89.95;90.61;69.70;Bueno;175.35;Regular;34;52.90;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;22:00;104;90.59;90.61;69.70;Bueno;175.35;Regular;60;53.23;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-27;23:00;91;90.61;90.61;69.70;Bueno;175.35;Regular;37;52.52;52.52;108.41;Regular;182.03;Regular;Regular;Regular
2025-07-28;00:00;84;90.33;126.46;97.28;Bueno;235.57;Alerta;70;53.25;53.83;112.78;Regular;184.93;Regular;Regular;Alerta
2025-07-28;01:00;92;87.83;126.46;97.28;Bueno;235.57;Alerta;51;51.12;53.83;112.78;Regular;184.93;Regular;Regular;Alerta
2025-07-28;02:00;85;85.42;126.46;97.28;Bueno;235.57;Alerta;46;49.00;53.83;112.78;Regular;184.93;Regular;Regular;Alerta
2025-07-28;03:00;79;83.04;126.46;97.28;Bueno;235.57;Alerta;45;47.08;53.83;112.78;Regular;184.93;Regular;Regular;Alerta
2025-07-28;04:00;72;81.46;126.46;97.28;Bueno;235.57;Alerta;43;45.71;53.83;112.78;Regular;184.93;Regular;Regular;Alerta
2025-07-28;05:00;78;81.00;126.46;97.28;Bueno;235.57;Alerta;52;45.50;53.83;112.78;Regular;184.93;Regular;Regular;Alerta
2025-07-28;06:00;81;80.58;126.46;97.28;Bueno;235.57;Alerta;42;44.62;53.83;112.78;Regular;184.93;Regular;Regular;Alerta
