Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;92.26;70.97;Bueno;178.10;Regular;63.61;145.36;Regular;206.65;Alerta;Regular;Alerta
2025-07-28;114.70;88.23;Bueno;215.71;Alerta;51.13;103.77;Regular;178.95;Regular;Regular;Alerta
2025-07-29;132.71;105.42;Regular;246.15;Alerta;44.92;89.83;Bueno;165.24;Regular;Regular;Alerta
2025-07-30;80.46;61.89;Bueno;158.46;Regular;27.08;54.17;Bueno;126.20;Regular;Bueno;Regular
2025-07-31;39.71;30.54;Bueno;88.24;Bueno;12.04;24.08;Bueno;80.28;Bueno;Bueno;Bueno
2025-08-01;7.75;5.96;Bueno;17.22;Bueno;5.17;10.33;Bueno;34.44;Bueno;Bueno;Bueno
2025-08-02;30.00;23.08;Bueno;66.67;Bueno;14.75;29.50;Bueno;98.33;Bueno;Bueno;Bueno
2025-08-03;65.74;50.57;Bueno;134.09;Regular;30.67;61.33;Bueno;134.01;Regular;Bueno;Regular
2025-08-04;111.92;86.09;Bueno;211.03;Alerta;26.67;53.33;Bueno;125.29;Regular;Bueno;Alerta
2025-08-05;104.42;80.32;Bueno;198.44;Regular;28.25;56.50;Bueno;128.74;Regular;Bueno;Regular
2025-08-06;80.33;61.79;Bueno;158.25;Regular;24.88;49.75;Bueno;121.39;Regular;Bueno;Regular
2025-08-07;83.00;63.85;Bueno;162.68;Regular;31.04;62.08;Bueno;134.83;Regular;Bueno;Regular
2025-08-08;89.88;69.13;Bueno;174.12;Regular;37.96;75.92;Bueno;149.95;Regular;Bueno;Regular
2025-08-09;45.12;34.71;Bueno;100.20;Regular;30.58;61.17;Bueno;133.83;Regular;Bueno;Regular
2025-08-10;61.38;47.21;Bueno;126.89;Regular;38.25;76.50;Bueno;150.59;Regular;Bueno;Regular
2025-08-11;83.46;64.20;Bueno;163.44;Regular;31.25;62.50;Bueno;135.28;Regular;Bueno;Regular
2025-08-12;108.25;83.27;Bueno;204.87;Alerta;34.08;68.17;Bueno;141.47;Regular;Bueno;Alerta
2025-08-13;;;;;;;;;;;;
2025-08-14;71.25;54.81;Bueno;143.19;Regular;30.62;61.25;Bueno;133.92;Regular;Bueno;Regular
2025-08-15;21.58;16.60;Bueno;47.96;Bueno;12.50;25.00;Bueno;83.33;Bueno;Bueno;Bueno
2025-08-16;50.88;39.13;Bueno;109.63;Regular;24.92;49.83;Bueno;121.49;Regular;Bueno;Regular
2025-08-17;36.67;28.21;Bueno;81.48;Bueno;20.08;40.17;Bueno;111.00;Regular;Bueno;Regular
2025-08-18;44.54;34.26;Bueno;98.98;Bueno;18.50;37.00;Bueno;107.57;Regular;Bueno;Regular
2025-08-19;;;;;;;;;;;;
2025-08-20;;;;;;;;;;;;
2025-08-21;17.62;13.56;Bueno;39.17;Bueno;4.00;8.00;Bueno;26.67;Bueno;Bueno;Bueno
2025-08-22;7.04;5.42;Bueno;15.65;Bueno;5.62;11.25;Bueno;37.50;Bueno;Bueno;Bueno
2025-08-23;30.79;23.69;Bueno;68.43;Bueno;16.25;32.50;Bueno;102.70;Regular;Bueno;Regular
2025-08-24;39.33;30.26;Bueno;87.41;Bueno;18.83;37.67;Bueno;108.29;Regular;Bueno;Regular
2025-08-25;75.33;57.95;Bueno;149.95;Regular;21.75;43.50;Bueno;114.61;Regular;Bueno;Regular
2025-08-26;100.75;77.50;Bueno;192.29;Regular;29.67;59.33;Bueno;131.83;Regular;Bueno;Regular
2025-08-27;87.17;67.05;Bueno;169.61;Regular;32.71;65.42;Bueno;138.46;Regular;Bueno;Regular
2025-08-28;61.04;46.96;Bueno;126.34;Regular;38.54;77.08;Bueno;151.23;Regular;Bueno;Regular
2025-08-29;31.04;23.88;Bueno;68.98;Bueno;19.17;38.33;Bueno;109.01;Regular;Bueno;Regular
2025-08-30;37.25;28.65;Bueno;82.78;Bueno;25.08;50.17;Bueno;121.85;Regular;Bueno;Regular
2025-08-31;50.46;38.81;Bueno;108.94;Regular;35.38;70.75;Bueno;144.29;Regular;Bueno;Regular
2025-09-01;62.33;47.95;Bueno;128.47;Regular;27.50;55.00;Bueno;127.11;Regular;Bueno;Regular
2025-09-02;42.21;32.47;Bueno;93.80;Bueno;20.00;40.00;Bueno;110.82;Regular;Bueno;Regular
2025-09-03;70.21;54.01;Bueno;141.47;Regular;27.88;55.75;Bueno;127.92;Regular;Bueno;Regular
2025-09-04;83.42;64.17;Bueno;163.37;Regular;32.92;65.83;Bueno;138.92;Regular;Bueno;Regular
2025-09-05;93.87;72.21;Bueno;180.79;Regular;36.25;72.50;Bueno;146.21;Regular;Bueno;Regular
2025-09-06;58.54;45.03;Bueno;122.22;Regular;37.75;75.50;Bueno;149.50;Regular;Bueno;Regular
2025-09-07;37.08;28.53;Bueno;82.41;Bueno;24.67;49.33;Bueno;120.94;Regular;Bueno;Regular
2025-09-08;45.96;35.35;Bueno;101.57;Regular;18.38;36.75;Bueno;107.30;Regular;Bueno;Regular
2025-09-09;64.43;49.57;Bueno;131.93;Regular;18.96;37.91;Bueno;108.56;Regular;Bueno;Regular
2025-09-10;48.29;37.15;Bueno;105.39;Regular;11.75;23.50;Bueno;78.33;Bueno;Bueno;Regular
2025-09-11;63.36;48.74;Bueno;130.17;Regular;18.09;36.18;Bueno;106.68;Regular;Bueno;Regular
2025-09-12;64.08;49.29;Bueno;131.35;Regular;19.83;39.67;Bueno;110.45;Regular;Bueno;Regular
2025-09-13;37.71;29.01;Bueno;83.80;Bueno;12.25;24.50;Bueno;81.67;Bueno;Bueno;Bueno
2025-09-14;41.62;32.02;Bueno;92.50;Bueno;17.21;34.42;Bueno;104.77;Regular;Bueno;Regular
2025-09-15;58.04;44.65;Bueno;121.40;Regular;16.50;33.00;Bueno;103.24;Regular;Bueno;Regular
2025-09-16;65.70;50.54;Bueno;134.02;Regular;21.17;42.33;Bueno;113.34;Regular;Bueno;Regular
2025-09-17;54.83;42.18;Bueno;116.13;Regular;27.75;55.50;Bueno;127.65;Regular;Bueno;Regular
2025-09-18;69.92;53.78;Bueno;140.99;Regular;40.58;81.17;Bueno;155.71;Regular;Bueno;Regular
2025-09-19;41.92;32.24;Bueno;93.15;Bueno;18.50;37.00;Bueno;107.57;Regular;Bueno;Regular
2025-09-20;15.88;12.21;Bueno;35.28;Bueno;8.25;16.50;Bueno;55.00;Bueno;Bueno;Bueno
2025-09-21;10.62;8.17;Bueno;23.61;Bueno;4.83;9.67;Bueno;32.22;Bueno;Bueno;Bueno
2025-09-22;46.71;35.93;Bueno;102.80;Regular;12.29;24.58;Bueno;81.94;Bueno;Bueno;Regular
2025-09-23;56.25;43.27;Bueno;118.45;Regular;17.71;35.42;Bueno;105.85;Regular;Bueno;Regular
2025-09-24;62.81;48.32;Bueno;129.25;Regular;18.71;37.43;Bueno;108.03;Regular;Bueno;Regular
2025-09-25;60.75;46.73;Bueno;125.86;Regular;17.62;35.25;Bueno;105.67;Regular;Bueno;Regular
2025-09-26;37.75;29.04;Bueno;83.89;Bueno;13.17;26.33;Bueno;87.78;Bueno;Bueno;Bueno
2025-09-27;46.21;35.54;Bueno;101.98;Regular;19.29;38.58;Bueno;109.28;Regular;Bueno;Regular
2025-09-28;36.04;27.72;Bueno;80.09;Bueno;16.04;32.08;Bueno;102.25;Regular;Bueno;Regular
2025-09-29;40.38;31.06;Bueno;89.72;Bueno;11.96;23.92;Bueno;79.72;Bueno;Bueno;Bueno
2025-09-30;62.79;48.30;Bueno;129.22;Regular;18.50;37.00;Bueno;107.57;Regular;Bueno;Regular
2025-10-01;61.04;46.96;Bueno;126.34;Regular;15.71;31.42;Bueno;101.53;Regular;Bueno;Regular
2025-10-02;79.46;61.12;Bueno;156.80;Regular;21.79;43.58;Bueno;114.70;Regular;Bueno;Regular
2025-10-03;70.12;53.94;Bueno;141.33;Regular;17.96;35.92;Bueno;106.40;Regular;Bueno;Regular
2025-10-04;17.29;13.30;Bueno;38.43;Bueno;7.75;15.50;Bueno;51.67;Bueno;Bueno;Bueno
2025-10-05;9.96;7.66;Bueno;22.13;Bueno;5.71;11.42;Bueno;38.06;Bueno;Bueno;Bueno
2025-10-06;35.54;27.34;Bueno;78.98;Bueno;10.21;20.42;Bueno;68.06;Bueno;Bueno;Bueno
2025-10-07;48.50;37.31;Bueno;105.73;Regular;11.29;22.58;Bueno;75.28;Bueno;Bueno;Regular
