Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;77.43;59.57;Bueno;153.44;Regular;49.91;99.83;Bueno;176.26;Regular;Bueno;Regular
2025-07-28;61.62;47.40;Bueno;127.30;Regular;24.71;49.42;Bueno;121.03;Regular;Bueno;Regular
2025-07-29;78.75;60.58;Bueno;155.62;Regular;25.46;50.92;Bueno;122.66;Regular;Bueno;Regular
2025-07-30;78.04;60.03;Bueno;154.44;Regular;27.33;54.67;Bueno;126.74;Regular;Bueno;Regular
2025-07-31;32.08;24.68;Bueno;71.30;Bueno;8.12;16.25;Bueno;54.17;Bueno;Bueno;Bueno
2025-08-01;9.38;7.21;Bueno;20.83;Bueno;2.46;4.92;Bueno;16.39;Bueno;Bueno;Bueno
2025-08-02;16.83;12.95;Bueno;37.41;Bueno;6.29;12.58;Bueno;41.94;Bueno;Bueno;Bueno
2025-08-03;36.04;27.72;Bueno;80.09;Bueno;16.21;32.42;Bueno;102.61;Regular;Bueno;Regular
2025-08-04;43.08;33.14;Bueno;95.74;Bueno;14.58;29.17;Bueno;97.22;Bueno;Bueno;Bueno
2025-08-05;53.12;40.87;Bueno;113.32;Regular;17.96;35.92;Bueno;106.40;Regular;Bueno;Regular
2025-08-06;49.58;38.14;Bueno;107.51;Regular;18.42;36.83;Bueno;107.39;Regular;Bueno;Regular
2025-08-07;51.71;39.78;Bueno;110.99;Regular;23.62;47.25;Bueno;118.68;Regular;Bueno;Regular
2025-08-08;47.29;36.38;Bueno;103.75;Regular;20.00;40.00;Bueno;110.82;Regular;Bueno;Regular
2025-08-09;45.12;34.71;Bueno;100.20;Regular;26.83;53.67;Bueno;125.65;Regular;Bueno;Regular
2025-08-10;60.46;46.51;Bueno;125.38;Regular;33.75;67.50;Bueno;140.74;Regular;Bueno;Regular
2025-08-11;50.13;38.56;Bueno;108.41;Regular;15.39;30.78;Bueno;100.85;Regular;Bueno;Regular
2025-08-12;64.04;49.26;Bueno;131.29;Regular;21.29;42.58;Bueno;113.62;Regular;Bueno;Regular
2025-08-13;78.83;60.64;Bueno;155.76;Regular;24.42;48.83;Bueno;120.40;Regular;Bueno;Regular
2025-08-14;60.58;46.60;Bueno;125.59;Regular;22.33;44.67;Bueno;115.88;Regular;Bueno;Regular
2025-08-15;21.04;16.19;Bueno;46.76;Bueno;9.88;19.75;Bueno;65.83;Bueno;Bueno;Bueno
2025-08-16;28.12;21.63;Bueno;62.50;Bueno;11.96;23.92;Bueno;79.72;Bueno;Bueno;Bueno
2025-08-17;28.08;21.60;Bueno;62.41;Bueno;14.04;28.08;Bueno;93.61;Bueno;Bueno;Bueno
2025-08-18;31.12;23.94;Bueno;69.17;Bueno;12.96;25.92;Bueno;86.39;Bueno;Bueno;Bueno
2025-08-19;32.75;25.19;Bueno;72.78;Bueno;11.96;23.92;Bueno;79.72;Bueno;Bueno;Bueno
2025-08-20;33.62;25.87;Bueno;74.72;Bueno;11.62;23.25;Bueno;77.50;Bueno;Bueno;Bueno
2025-08-21;11.21;8.62;Bueno;24.91;Bueno;1.75;3.50;Bueno;11.67;Bueno;Bueno;Bueno
2025-08-22;10.04;7.72;Bueno;22.31;Bueno;3.75;7.50;Bueno;25.00;Bueno;Bueno;Bueno
2025-08-23;15.25;11.73;Bueno;33.89;Bueno;4.96;9.92;Bueno;33.06;Bueno;Bueno;Bueno
2025-08-24;25.75;19.81;Bueno;57.22;Bueno;9.04;18.08;Bueno;60.28;Bueno;Bueno;Bueno
2025-08-25;46.08;35.45;Bueno;101.77;Regular;16.12;32.25;Bueno;102.43;Regular;Bueno;Regular
2025-08-26;49.25;37.88;Bueno;106.96;Regular;14.54;29.08;Bueno;96.94;Bueno;Bueno;Regular
2025-08-27;72.92;56.09;Bueno;145.95;Regular;26.17;52.33;Bueno;124.20;Regular;Bueno;Regular
2025-08-28;73.62;56.63;Bueno;147.12;Regular;37.58;75.17;Bueno;149.13;Regular;Bueno;Regular
2025-08-29;29.58;22.76;Bueno;65.74;Bueno;15.00;30.00;Bueno;100.00;Bueno;Bueno;Bueno
2025-08-30;32.75;25.19;Bueno;72.78;Bueno;17.79;35.58;Bueno;106.03;Regular;Bueno;Regular
2025-08-31;33.79;25.99;Bueno;75.09;Bueno;18.29;36.58;Bueno;107.12;Regular;Bueno;Regular
2025-09-01;38.29;29.46;Bueno;85.09;Bueno;15.25;30.50;Bueno;100.54;Regular;Bueno;Regular
2025-09-02;44.25;34.04;Bueno;98.33;Bueno;20.71;41.42;Bueno;112.35;Regular;Bueno;Regular
2025-09-03;53.96;41.51;Bueno;114.69;Regular;25.62;51.25;Bueno;123.03;Regular;Bueno;Regular
2025-09-04;68.50;52.69;Bueno;138.65;Regular;29.25;58.50;Bueno;130.92;Regular;Bueno;Regular
2025-09-05;67.50;51.92;Bueno;136.99;Regular;27.46;54.92;Bueno;127.01;Regular;Bueno;Regular
2025-09-06;60.38;46.44;Bueno;125.24;Regular;33.88;67.75;Bueno;141.01;Regular;Bueno;Regular
2025-09-07;43.58;33.53;Bueno;96.85;Bueno;24.71;49.42;Bueno;121.03;Regular;Bueno;Regular
2025-09-08;42.67;32.82;Bueno;94.81;Bueno;17.46;34.92;Bueno;105.31;Regular;Bueno;Regular
2025-09-09;42.46;32.66;Bueno;94.35;Bueno;13.42;26.83;Bueno;89.44;Bueno;Bueno;Bueno
2025-09-10;35.29;27.15;Bueno;78.43;Bueno;8.04;16.08;Bueno;53.61;Bueno;Bueno;Bueno
2025-09-11;44.96;34.58;Bueno;99.91;Bueno;11.17;22.33;Bueno;74.44;Bueno;Bueno;Bueno
2025-09-12;46.70;35.92;Bueno;102.78;Regular;13.33;26.67;Bueno;88.89;Bueno;Bueno;Regular
2025-09-13;31.21;24.01;Bueno;69.35;Bueno;9.04;18.08;Bueno;60.28;Bueno;Bueno;Bueno
2025-09-14;33.00;25.38;Bueno;73.33;Bueno;11.79;23.58;Bueno;78.61;Bueno;Bueno;Bueno
2025-09-15;46.50;35.77;Bueno;102.46;Regular;13.42;26.83;Bueno;89.44;Bueno;Bueno;Regular
2025-09-16;59.62;45.87;Bueno;124.01;Regular;18.58;37.17;Bueno;107.75;Regular;Bueno;Regular
2025-09-17;67.54;51.96;Bueno;137.06;Regular;29.58;59.17;Bueno;131.64;Regular;Bueno;Regular
2025-09-18;50.88;39.13;Bueno;109.63;Regular;28.25;56.50;Bueno;128.74;Regular;Bueno;Regular
2025-09-19;32.25;24.81;Bueno;71.67;Bueno;15.17;30.33;Bueno;100.36;Regular;Bueno;Regular
2025-09-20;18.08;13.91;Bueno;40.19;Bueno;5.38;10.75;Bueno;35.83;Bueno;Bueno;Bueno
2025-09-21;8.54;6.57;Bueno;18.98;Bueno;2.79;5.58;Bueno;18.61;Bueno;Bueno;Bueno
2025-09-22;25.08;19.29;Bueno;55.74;Bueno;6.58;13.17;Bueno;43.89;Bueno;Bueno;Bueno
2025-09-23;38.79;29.84;Bueno;86.20;Bueno;12.58;25.17;Bueno;83.89;Bueno;Bueno;Bueno
2025-09-24;49.79;38.30;Bueno;107.85;Regular;16.42;32.83;Bueno;103.06;Regular;Bueno;Regular
2025-09-25;43.52;33.48;Bueno;96.72;Bueno;12.33;24.67;Bueno;82.22;Bueno;Bueno;Bueno
2025-09-26;23.79;18.30;Bueno;52.87;Bueno;6.88;13.75;Bueno;45.83;Bueno;Bueno;Bueno
2025-09-27;23.21;17.85;Bueno;51.57;Bueno;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-09-28;30.88;23.75;Bueno;68.61;Bueno;11.00;22.00;Bueno;73.33;Bueno;Bueno;Bueno
2025-09-29;38.25;29.42;Bueno;85.00;Bueno;9.58;19.17;Bueno;63.89;Bueno;Bueno;Bueno
2025-09-30;45.42;34.94;Bueno;100.68;Regular;12.46;24.92;Bueno;83.06;Bueno;Bueno;Regular
2025-10-01;44.88;34.52;Bueno;99.72;Bueno;11.33;22.67;Bueno;75.56;Bueno;Bueno;Bueno
2025-10-02;52.91;40.70;Bueno;112.97;Regular;13.50;27.00;Bueno;90.00;Bueno;Bueno;Regular
2025-10-03;60.00;46.15;Bueno;124.63;Regular;15.79;31.58;Bueno;101.71;Regular;Bueno;Regular
2025-10-04;21.46;16.51;Bueno;47.69;Bueno;5.46;10.92;Bueno;36.39;Bueno;Bueno;Bueno
2025-10-05;10.29;7.92;Bueno;22.87;Bueno;2.04;4.08;Bueno;13.61;Bueno;Bueno;Bueno
2025-10-06;24.79;19.07;Bueno;55.09;Bueno;4.50;9.00;Bueno;30.00;Bueno;Bueno;Bueno
2025-10-07;34.96;26.89;Bueno;77.69;Bueno;8.62;17.25;Bueno;57.50;Bueno;Bueno;Bueno
2025-10-08;45.25;34.81;Bueno;100.41;Regular;11.62;23.25;Bueno;77.50;Bueno;Bueno;Regular
2025-10-09;48.54;37.34;Bueno;105.80;Regular;12.50;25.00;Bueno;83.33;Bueno;Bueno;Regular
2025-10-10;50.42;38.78;Bueno;108.88;Regular;12.00;24.00;Bueno;80.00;Bueno;Bueno;Regular
2025-10-11;29.58;22.76;Bueno;65.74;Bueno;7.38;14.75;Bueno;49.17;Bueno;Bueno;Bueno
2025-10-12;25.62;19.71;Bueno;56.94;Bueno;5.00;10.00;Bueno;33.33;Bueno;Bueno;Bueno
2025-10-13;43.50;33.46;Bueno;96.67;Bueno;10.00;20.00;Bueno;66.67;Bueno;Bueno;Bueno
2025-10-14;55.46;42.66;Bueno;117.15;Regular;12.00;24.00;Bueno;80.00;Bueno;Bueno;Regular
2025-10-15;56.33;43.33;Bueno;118.59;Regular;14.75;29.50;Bueno;98.33;Bueno;Bueno;Regular
2025-10-16;44.75;34.42;Bueno;99.44;Bueno;10.21;20.42;Bueno;68.06;Bueno;Bueno;Bueno
2025-10-17;41.75;32.12;Bueno;92.78;Bueno;8.79;17.58;Bueno;58.61;Bueno;Bueno;Bueno
2025-10-18;41.50;31.92;Bueno;92.22;Bueno;8.33;16.67;Bueno;55.56;Bueno;Bueno;Bueno
2025-10-19;45.33;34.87;Bueno;100.55;Regular;11.46;22.92;Bueno;76.39;Bueno;Bueno;Regular
2025-10-20;47.83;36.79;Bueno;104.63;Regular;11.39;22.78;Bueno;75.94;Bueno;Bueno;Regular
2025-10-21;67.17;51.67;Bueno;136.44;Regular;13.71;27.42;Bueno;91.39;Bueno;Bueno;Regular
2025-10-22;63.62;48.94;Bueno;130.60;Regular;14.62;29.25;Bueno;97.50;Bueno;Bueno;Regular
2025-10-23;50.42;38.78;Bueno;108.88;Regular;11.75;23.50;Bueno;78.33;Bueno;Bueno;Regular
2025-10-24;49.42;38.01;Bueno;107.24;Regular;11.58;23.17;Bueno;77.22;Bueno;Bueno;Regular
2025-10-25;33.58;25.83;Bueno;74.63;Bueno;7.79;15.58;Bueno;51.94;Bueno;Bueno;Bueno
2025-10-26;32.21;24.78;Bueno;71.57;Bueno;8.08;16.17;Bueno;53.89;Bueno;Bueno;Bueno
2025-10-27;41.54;31.96;Bueno;92.31;Bueno;7.92;15.83;Bueno;52.78;Bueno;Bueno;Bueno
2025-10-28;46.12;35.48;Bueno;101.84;Regular;9.38;18.75;Bueno;62.50;Bueno;Bueno;Regular
2025-10-29;53.88;41.44;Bueno;114.55;Regular;9.88;19.75;Bueno;65.83;Bueno;Bueno;Regular
2025-10-30;46.42;35.71;Bueno;102.32;Regular;10.38;20.75;Bueno;69.17;Bueno;Bueno;Regular
2025-10-31;41.67;32.05;Bueno;92.59;Bueno;8.83;17.67;Bueno;58.89;Bueno;Bueno;Bueno
2025-11-01;31.38;24.13;Bueno;69.72;Bueno;8.71;17.42;Bueno;58.06;Bueno;Bueno;Bueno
2025-11-02;33.21;25.54;Bueno;73.80;Bueno;8.42;16.83;Bueno;56.11;Bueno;Bueno;Bueno
2025-11-03;45.12;34.71;Bueno;100.20;Regular;11.50;23.00;Bueno;76.67;Bueno;Bueno;Regular
2025-11-04;38.12;29.33;Bueno;84.72;Bueno;8.12;16.25;Bueno;54.17;Bueno;Bueno;Bueno
2025-11-05;46.88;36.06;Bueno;103.07;Regular;9.46;18.92;Bueno;63.06;Bueno;Bueno;Regular
2025-11-06;27.50;21.15;Bueno;61.11;Bueno;8.62;17.25;Bueno;57.50;Bueno;Bueno;Bueno
2025-11-07;21.62;16.63;Bueno;48.06;Bueno;6.25;12.50;Bueno;41.67;Bueno;Bueno;Bueno
2025-11-08;37.54;28.88;Bueno;83.43;Bueno;11.04;22.08;Bueno;73.61;Bueno;Bueno;Bueno
2025-11-09;35.71;27.47;Bueno;79.35;Bueno;12.00;24.00;Bueno;80.00;Bueno;Bueno;Bueno
2025-11-10;38.04;29.26;Bueno;84.54;Bueno;9.62;19.25;Bueno;64.17;Bueno;Bueno;Bueno
2025-11-11;31.75;24.42;Bueno;70.56;Bueno;6.58;13.17;Bueno;43.89;Bueno;Bueno;Bueno
2025-11-12;40.08;30.83;Bueno;89.07;Bueno;9.71;19.42;Bueno;64.72;Bueno;Bueno;Bueno
2025-11-13;47.00;36.15;Bueno;103.27;Regular;11.71;23.42;Bueno;78.06;Bueno;Bueno;Regular
2025-11-14;53.42;41.09;Bueno;113.80;Regular;14.33;28.67;Bueno;95.56;Bueno;Bueno;Regular
2025-11-15;45.58;35.06;Bueno;100.95;Regular;15.50;31.00;Bueno;101.08;Regular;Bueno;Regular
2025-11-16;32.71;25.16;Bueno;72.69;Bueno;8.96;17.92;Bueno;59.72;Bueno;Bueno;Bueno
2025-11-17;39.62;30.48;Bueno;88.06;Bueno;9.21;18.42;Bueno;61.39;Bueno;Bueno;Bueno
2025-11-18;53.92;41.47;Bueno;114.62;Regular;11.54;23.08;Bueno;76.94;Bueno;Bueno;Regular
2025-11-19;54.62;42.02;Bueno;115.78;Regular;11.46;22.92;Bueno;76.39;Bueno;Bueno;Regular
2025-11-20;61.71;47.47;Bueno;127.44;Regular;13.67;27.33;Bueno;91.11;Bueno;Bueno;Regular
2025-11-21;48.58;37.37;Bueno;105.87;Regular;10.62;21.25;Bueno;70.83;Bueno;Bueno;Regular
2025-11-22;50.25;38.65;Bueno;108.60;Regular;13.29;26.58;Bueno;88.61;Bueno;Bueno;Regular
2025-11-23;49.00;37.69;Bueno;106.55;Regular;14.62;29.25;Bueno;97.50;Bueno;Bueno;Regular
2025-11-24;53.92;41.47;Bueno;114.62;Regular;15.54;31.08;Bueno;101.17;Regular;Bueno;Regular
2025-11-25;56.38;43.37;Bueno;118.66;Regular;15.12;30.25;Bueno;100.27;Regular;Bueno;Regular
2025-11-26;55.33;42.56;Bueno;116.95;Regular;16.08;32.17;Bueno;102.34;Regular;Bueno;Regular
2025-11-27;50.12;38.56;Bueno;108.40;Regular;11.96;23.92;Bueno;79.72;Bueno;Bueno;Regular
2025-11-28;49.00;37.69;Bueno;106.55;Regular;12.46;24.92;Bueno;83.06;Bueno;Bueno;Regular
2025-11-29;38.12;29.33;Bueno;84.72;Bueno;7.71;15.42;Bueno;51.39;Bueno;Bueno;Bueno
2025-11-30;33.12;25.48;Bueno;73.61;Bueno;10.29;20.58;Bueno;68.61;Bueno;Bueno;Bueno
2025-12-01;50.54;38.88;Bueno;109.08;Regular;14.96;29.92;Bueno;99.72;Bueno;Bueno;Regular
2025-12-02;46.92;36.09;Bueno;103.14;Regular;10.38;20.75;Bueno;69.17;Bueno;Bueno;Regular
2025-12-03;54.17;41.67;Bueno;115.03;Regular;12.42;24.83;Bueno;82.78;Bueno;Bueno;Regular
2025-12-04;53.62;41.25;Bueno;114.14;Regular;13.00;26.00;Bueno;86.67;Bueno;Bueno;Regular
2025-12-05;49.29;37.92;Bueno;107.03;Regular;12.42;24.83;Bueno;82.78;Bueno;Bueno;Regular
2025-12-06;47.67;36.67;Bueno;104.37;Regular;12.38;24.75;Bueno;82.50;Bueno;Bueno;Regular
2025-12-07;34.38;26.44;Bueno;76.39;Bueno;11.71;23.42;Bueno;78.06;Bueno;Bueno;Bueno
2025-12-08;29.75;22.88;Bueno;66.11;Bueno;9.29;18.58;Bueno;61.94;Bueno;Bueno;Bueno
