Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;95.87;73.75;Bueno;184.13;Regular;52.57;108.55;Regular;182.12;Regular;Regular;Regular
2025-07-28;136.04;112.08;Regular;251.81;Alerta;49.96;99.92;Bueno;176.36;Regular;Regular;Alerta
2025-07-29;148.29;136.58;Regular;272.68;Alerta;44.38;88.75;Bueno;164.05;Regular;Regular;Alerta
2025-07-30;98.54;75.80;Bueno;188.60;Regular;29.79;59.58;Bueno;132.10;Regular;Bueno;Regular
2025-07-31;43.38;33.37;Bueno;96.39;Bueno;12.50;25.00;Bueno;83.33;Bueno;Bueno;Bueno
2025-08-01;12.62;9.71;Bueno;28.06;Bueno;6.21;12.42;Bueno;41.39;Bueno;Bueno;Bueno
2025-08-02;22.29;17.15;Bueno;49.54;Bueno;9.50;19.00;Bueno;63.33;Bueno;Bueno;Bueno
2025-08-03;72.67;55.90;Bueno;145.54;Regular;35.42;70.83;Bueno;144.39;Regular;Bueno;Regular
2025-08-04;108.21;83.24;Bueno;204.80;Alerta;34.00;68.00;Bueno;141.29;Regular;Bueno;Alerta
2025-08-05;104.08;80.06;Bueno;197.88;Regular;31.08;62.17;Bueno;134.92;Regular;Bueno;Regular
2025-08-06;80.42;61.86;Bueno;158.39;Regular;24.08;48.17;Bueno;119.67;Regular;Bueno;Regular
2025-08-07;72.79;55.99;Bueno;145.74;Regular;28.75;57.50;Bueno;129.83;Regular;Bueno;Regular
2025-08-08;119.04;91.57;Bueno;223.03;Alerta;42.75;85.50;Bueno;160.47;Regular;Bueno;Alerta
2025-08-09;40.42;31.09;Bueno;89.81;Bueno;20.58;41.17;Bueno;112.08;Regular;Bueno;Regular
2025-08-10;80.38;61.83;Bueno;158.32;Regular;38.33;76.67;Bueno;150.77;Regular;Bueno;Regular
2025-08-11;116.92;89.94;Bueno;219.45;Alerta;39.58;79.17;Bueno;153.52;Regular;Bueno;Alerta
2025-08-12;101.70;78.23;Bueno;193.88;Regular;31.12;62.25;Bueno;135.01;Regular;Bueno;Regular
2025-08-13;130.50;101.00;Regular;242.41;Alerta;42.08;84.17;Bueno;159.01;Regular;Regular;Alerta
2025-08-14;87.79;67.53;Bueno;170.65;Regular;30.21;60.42;Bueno;133.01;Regular;Bueno;Regular
2025-08-15;21.29;16.38;Bueno;47.31;Bueno;10.38;20.75;Bueno;69.17;Bueno;Bueno;Bueno
2025-08-16;40.96;31.51;Bueno;91.02;Bueno;15.46;30.92;Bueno;100.99;Regular;Bueno;Regular
2025-08-17;43.46;33.43;Bueno;96.57;Bueno;16.75;33.50;Bueno;103.78;Regular;Bueno;Regular
2025-08-18;52.67;40.51;Bueno;112.57;Regular;22.96;45.92;Bueno;117.23;Regular;Bueno;Regular
2025-08-19;40.67;31.28;Bueno;90.37;Bueno;13.54;27.08;Bueno;90.28;Bueno;Bueno;Bueno
2025-08-20;46.58;35.83;Bueno;102.59;Regular;13.50;27.00;Bueno;90.00;Bueno;Bueno;Regular
2025-08-21;20.58;15.83;Bueno;45.74;Bueno;4.33;8.67;Bueno;28.89;Bueno;Bueno;Bueno
2025-08-22;8.54;6.57;Bueno;18.98;Bueno;4.25;8.50;Bueno;28.33;Bueno;Bueno;Bueno
2025-08-23;39.58;30.45;Bueno;87.96;Bueno;18.71;37.42;Bueno;108.02;Regular;Bueno;Regular
2025-08-24;64.29;49.46;Bueno;131.70;Regular;23.50;47.00;Bueno;118.41;Regular;Bueno;Regular
2025-08-25;89.12;68.56;Bueno;172.87;Regular;26.29;52.58;Bueno;124.48;Regular;Bueno;Regular
2025-08-26;108.79;83.69;Bueno;205.78;Alerta;30.88;61.75;Bueno;134.46;Regular;Bueno;Alerta
