Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;117;;82.30;63.31;Bueno;161.52;Regular;78;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;02:00;124;;82.30;63.31;Bueno;161.52;Regular;82;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;03:00;121;;82.30;63.31;Bueno;161.52;Regular;81;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;04:00;101;;82.30;63.31;Bueno;161.52;Regular;67;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;05:00;87;;82.30;63.31;Bueno;161.52;Regular;64;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;06:00;89;;82.30;63.31;Bueno;161.52;Regular;58;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;07:00;89;;82.30;63.31;Bueno;161.52;Regular;60;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;08:00;92;;82.30;63.31;Bueno;161.52;Regular;58;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;09:00;107;;82.30;63.31;Bueno;161.52;Regular;62;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;10:00;92;;82.30;63.31;Bueno;161.52;Regular;52;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;11:00;84;;82.30;63.31;Bueno;161.52;Regular;51;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;12:00;77;;82.30;63.31;Bueno;161.52;Regular;49;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;13:00;84;;82.30;63.31;Bueno;161.52;Regular;42;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;14:00;60;;82.30;63.31;Bueno;161.52;Regular;33;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;15:00;59;;82.30;63.31;Bueno;161.52;Regular;27;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;16:00;44;;82.30;63.31;Bueno;161.52;Regular;19;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-27;17:00;44;;82.30;63.31;Bueno;161.52;Regular;17;;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
