Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;82.30;63.31;Bueno;161.52;Regular;47.57;95.13;Bueno;171.08;Regular;Bueno;Regular
2025-07-28;109.96;84.58;Bueno;207.74;Alerta;48.83;97.67;Bueno;173.88;Regular;Bueno;Alerta
2025-07-29;111.75;85.96;Bueno;210.75;Alerta;37.25;74.50;Bueno;148.40;Regular;Bueno;Alerta
2025-07-30;74.88;57.60;Bueno;149.19;Regular;26.42;52.83;Bueno;124.75;Regular;Bueno;Regular
2025-07-31;44.67;34.36;Bueno;99.26;Bueno;11.33;22.67;Bueno;75.56;Bueno;Bueno;Bueno
2025-08-01;8.29;6.38;Bueno;18.43;Bueno;4.50;9.00;Bueno;30.00;Bueno;Bueno;Bueno
2025-08-02;26.88;20.67;Bueno;59.72;Bueno;13.92;27.83;Bueno;92.78;Bueno;Bueno;Bueno
2025-08-03;88.88;68.37;Bueno;172.46;Regular;45.54;91.08;Bueno;166.62;Regular;Bueno;Regular
2025-08-04;110.42;84.94;Bueno;208.51;Alerta;35.35;70.70;Bueno;144.24;Regular;Bueno;Alerta
2025-08-05;124.12;95.48;Bueno;231.62;Alerta;47.70;95.39;Bueno;171.36;Regular;Bueno;Alerta
2025-08-06;83.42;64.17;Bueno;163.37;Regular;32.50;65.00;Bueno;138.01;Regular;Bueno;Regular
2025-08-07;67.46;51.89;Bueno;136.93;Regular;28.08;56.17;Bueno;128.38;Regular;Bueno;Regular
2025-08-08;108.83;83.72;Bueno;205.85;Alerta;45.29;90.58;Bueno;166.07;Regular;Bueno;Alerta
2025-08-09;38.04;29.26;Bueno;84.54;Bueno;20.75;41.50;Bueno;112.44;Regular;Bueno;Regular
2025-08-10;73.21;56.31;Bueno;146.43;Regular;41.25;82.50;Bueno;157.18;Regular;Bueno;Regular
2025-08-11;121.46;93.43;Bueno;227.11;Alerta;49.38;98.75;Bueno;175.07;Regular;Bueno;Alerta
2025-08-12;117.29;90.22;Bueno;220.08;Alerta;44.67;89.33;Bueno;164.69;Regular;Bueno;Alerta
2025-08-13;111.46;85.74;Bueno;210.26;Alerta;42.46;84.92;Bueno;159.83;Regular;Bueno;Alerta
2025-08-14;82.46;63.43;Bueno;161.78;Regular;34.12;68.25;Bueno;141.56;Regular;Bueno;Regular
2025-08-15;20.67;15.90;Bueno;45.93;Bueno;8.35;16.70;Bueno;55.65;Bueno;Bueno;Bueno
2025-08-16;37.12;28.56;Bueno;82.50;Bueno;16.88;33.75;Bueno;104.05;Regular;Bueno;Regular
2025-08-17;47.88;36.83;Bueno;104.71;Regular;23.21;46.42;Bueno;117.77;Regular;Bueno;Regular
2025-08-18;52.58;40.45;Bueno;112.43;Regular;23.00;46.00;Bueno;117.32;Regular;Bueno;Regular
2025-08-19;39.12;30.10;Bueno;86.94;Bueno;12.67;25.33;Bueno;84.44;Bueno;Bueno;Bueno
2025-08-20;45.17;34.75;Bueno;100.28;Regular;13.70;27.39;Bueno;91.30;Bueno;Bueno;Regular
