Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;131;;101.52;78.09;Bueno;193.58;Regular;72;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;02:00;101;;101.52;78.09;Bueno;193.58;Regular;59;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;03:00;101;;101.52;78.09;Bueno;193.58;Regular;54;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;04:00;93;;101.52;78.09;Bueno;193.58;Regular;51;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;05:00;114;;101.52;78.09;Bueno;193.58;Regular;74;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;06:00;116;;101.52;78.09;Bueno;193.58;Regular;62;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;07:00;117;;101.52;78.09;Bueno;193.58;Regular;64;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;08:00;115;;101.52;78.09;Bueno;193.58;Regular;65;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;09:00;82;;101.52;78.09;Bueno;193.58;Regular;52;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;10:00;77;;101.52;78.09;Bueno;193.58;Regular;40;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;11:00;101;;101.52;78.09;Bueno;193.58;Regular;56;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;12:00;95;;101.52;78.09;Bueno;193.58;Regular;56;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;13:00;105;;101.52;78.09;Bueno;193.58;Regular;54;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;14:00;112;;101.52;78.09;Bueno;193.58;Regular;55;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;15:00;95;;101.52;78.09;Bueno;193.58;Regular;52;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;16:00;96;;101.52;78.09;Bueno;193.58;Regular;48;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;17:00;86;;101.52;78.09;Bueno;193.58;Regular;44;;53.35;111.16;Regular;183.86;Regular;Regular;Regular
2025-07-27;18:00;79;100.89;101.52;78.09;Bueno;193.58;Regular;36;55.22;53.35;111.16;Regular;183.86;Regular;Regular;Regular
