Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;93;;71.91;55.32;Bueno;144.29;Regular;63;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;02:00;94;;71.91;55.32;Bueno;144.29;Regular;71;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;03:00;97;;71.91;55.32;Bueno;144.29;Regular;65;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;04:00;93;;71.91;55.32;Bueno;144.29;Regular;71;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;05:00;72;;71.91;55.32;Bueno;144.29;Regular;50;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;06:00;70;;71.91;55.32;Bueno;144.29;Regular;54;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;07:00;75;;71.91;55.32;Bueno;144.29;Regular;58;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;08:00;79;;71.91;55.32;Bueno;144.29;Regular;59;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;09:00;90;;71.91;55.32;Bueno;144.29;Regular;65;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;10:00;72;;71.91;55.32;Bueno;144.29;Regular;52;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;11:00;81;;71.91;55.32;Bueno;144.29;Regular;50;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;12:00;72;;71.91;55.32;Bueno;144.29;Regular;50;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;13:00;78;;71.91;55.32;Bueno;144.29;Regular;48;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;14:00;81;;71.91;55.32;Bueno;144.29;Regular;52;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;15:00;63;;71.91;55.32;Bueno;144.29;Regular;43;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;16:00;54;;71.91;55.32;Bueno;144.29;Regular;29;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;17:00;47;;71.91;55.32;Bueno;144.29;Regular;25;;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;18:00;40;75.06;71.91;55.32;Bueno;144.29;Regular;20;51.39;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;19:00;51;73.79;71.91;55.32;Bueno;144.29;Regular;28;50.16;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;20:00;59;73.05;71.91;55.32;Bueno;144.29;Regular;27;49.00;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;21:00;65;72.67;71.91;55.32;Bueno;144.29;Regular;35;48.33;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;22:00;65;72.32;71.91;55.32;Bueno;144.29;Regular;34;47.68;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-27;23:00;63;71.91;71.91;55.32;Bueno;144.29;Regular;35;47.13;47.13;94.26;Bueno;170.12;Regular;Bueno;Regular
2025-07-28;00:00;59;71.38;105.17;80.90;Bueno;199.69;Regular;42;46.92;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;01:00;67;70.29;105.17;80.90;Bueno;199.69;Regular;39;45.92;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;02:00;59;68.83;105.17;80.90;Bueno;199.69;Regular;37;44.50;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;03:00;62;67.38;105.17;80.90;Bueno;199.69;Regular;44;43.62;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;04:00;73;66.54;105.17;80.90;Bueno;199.69;Regular;44;42.50;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;05:00;64;66.21;105.17;80.90;Bueno;199.69;Regular;49;42.46;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;06:00;62;65.88;105.17;80.90;Bueno;199.69;Regular;48;42.21;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;07:00;87;66.38;105.17;80.90;Bueno;199.69;Regular;50;41.88;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;08:00;134;68.67;105.17;80.90;Bueno;199.69;Regular;60;41.92;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;09:00;142;70.83;105.17;80.90;Bueno;199.69;Regular;78;42.46;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;10:00;136;73.50;105.17;80.90;Bueno;199.69;Regular;69;43.17;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;11:00;109;74.67;105.17;80.90;Bueno;199.69;Regular;60;43.58;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;12:00;104;76.00;105.17;80.90;Bueno;199.69;Regular;55;43.79;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;13:00;109;77.29;105.17;80.90;Bueno;199.69;Regular;47;43.75;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;14:00;90;77.67;105.17;80.90;Bueno;199.69;Regular;36;43.08;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;15:00;77;78.25;105.17;80.90;Bueno;199.69;Regular;22;42.21;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;16:00;67;78.79;105.17;80.90;Bueno;199.69;Regular;25;42.04;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;17:00;140;82.67;105.17;80.90;Bueno;199.69;Regular;41;42.71;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;18:00;147;87.12;105.17;80.90;Bueno;199.69;Regular;43;43.67;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;19:00;116;89.83;105.17;80.90;Bueno;199.69;Regular;39;44.12;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;20:00;168;94.38;105.17;80.90;Bueno;199.69;Regular;48;45.00;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;21:00;177;99.04;105.17;80.90;Bueno;199.69;Regular;53;45.75;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;22:00;161;103.04;105.17;80.90;Bueno;199.69;Regular;53;46.54;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-28;23:00;114;105.17;105.17;80.90;Bueno;199.69;Regular;42;46.83;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-07-29;00:00;78;105.96;115.29;88.69;Bueno;216.71;Alerta;36;46.58;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;01:00;87;106.79;115.29;88.69;Bueno;216.71;Alerta;42;46.71;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;02:00;75;107.46;115.29;88.69;Bueno;216.71;Alerta;38;46.75;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;03:00;86;108.46;115.29;88.69;Bueno;216.71;Alerta;44;46.75;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;04:00;86;109.00;115.29;88.69;Bueno;216.71;Alerta;36;46.42;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;05:00;57;108.71;115.29;88.69;Bueno;216.71;Alerta;29;45.58;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;06:00;67;108.92;115.29;88.69;Bueno;216.71;Alerta;24;44.58;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;07:00;94;109.21;115.29;88.69;Bueno;216.71;Alerta;35;43.96;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;08:00;153;110.00;115.29;88.69;Bueno;216.71;Alerta;35;42.92;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;09:00;141;109.96;115.29;88.69;Bueno;216.71;Alerta;37;41.21;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;10:00;104;108.62;115.29;88.69;Bueno;216.71;Alerta;33;39.71;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;11:00;139;109.88;115.29;88.69;Bueno;216.71;Alerta;36;38.71;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;12:00;116;110.38;115.29;88.69;Bueno;216.71;Alerta;35;37.88;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;13:00;113;110.54;115.29;88.69;Bueno;216.71;Alerta;37;37.46;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;14:00;91;110.58;115.29;88.69;Bueno;216.71;Alerta;28;37.12;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;15:00;100;111.54;115.29;88.69;Bueno;216.71;Alerta;28;37.38;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;16:00;181;116.29;115.29;88.69;Bueno;216.71;Alerta;39;37.96;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;17:00;173;117.67;115.29;88.69;Bueno;216.71;Alerta;39;37.88;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;18:00;200;119.88;115.29;88.69;Bueno;216.71;Alerta;41;37.79;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;19:00;232;124.71;115.29;88.69;Bueno;216.71;Alerta;53;38.38;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;20:00;122;122.79;115.29;88.69;Bueno;216.71;Alerta;31;37.67;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;21:00;98;119.50;115.29;88.69;Bueno;216.71;Alerta;31;36.75;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;22:00;91;116.58;115.29;88.69;Bueno;216.71;Alerta;31;35.83;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
2025-07-29;23:00;83;115.29;115.29;88.69;Bueno;216.71;Alerta;34;35.50;35.50;71.00;Bueno;144.57;Regular;Bueno;Alerta
