Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;30;;51.87;39.90;Bueno;111.26;Regular;26;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;02:00;71;;51.87;39.90;Bueno;111.26;Regular;62;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;03:00;47;;51.87;39.90;Bueno;111.26;Regular;39;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;04:00;45;;51.87;39.90;Bueno;111.26;Regular;40;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;05:00;46;;51.87;39.90;Bueno;111.26;Regular;37;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;06:00;51;;51.87;39.90;Bueno;111.26;Regular;34;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;07:00;46;;51.87;39.90;Bueno;111.26;Regular;31;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;08:00;52;;51.87;39.90;Bueno;111.26;Regular;40;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;09:00;52;;51.87;39.90;Bueno;111.26;Regular;38;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;10:00;47;;51.87;39.90;Bueno;111.26;Regular;45;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-27;11:00;50;;51.87;39.90;Bueno;111.26;Regular;34;;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
