Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;51.87;39.90;Bueno;111.26;Regular;37.13;74.26;Bueno;148.14;Regular;Bueno;Regular
2025-07-28;94.54;72.72;Bueno;181.91;Regular;54.62;115.42;Regular;186.68;Regular;Regular;Regular
2025-07-29;93.71;72.08;Bueno;180.52;Regular;43.96;87.92;Bueno;163.13;Regular;Bueno;Regular
2025-07-30;47.38;36.44;Bueno;103.89;Regular;23.88;47.75;Bueno;119.22;Regular;Bueno;Regular
2025-07-31;23.96;18.43;Bueno;53.24;Bueno;14.21;28.42;Bueno;94.72;Bueno;Bueno;Bueno
2025-08-01;16.71;12.85;Bueno;37.13;Bueno;12.96;25.92;Bueno;86.39;Bueno;Bueno;Bueno
2025-08-02;28.92;22.24;Bueno;64.26;Bueno;20.00;40.00;Bueno;110.82;Regular;Bueno;Regular
2025-08-03;59.29;45.61;Bueno;123.46;Regular;41.88;83.75;Bueno;158.55;Regular;Bueno;Regular
2025-08-04;70.42;54.17;Bueno;141.82;Regular;38.96;77.92;Bueno;152.15;Regular;Bueno;Regular
2025-08-05;84.62;65.10;Bueno;165.38;Regular;40.79;81.58;Bueno;156.17;Regular;Bueno;Regular
2025-08-06;58.38;44.90;Bueno;121.95;Regular;30.50;61.00;Bueno;133.64;Regular;Bueno;Regular
2025-08-07;50.96;39.20;Bueno;109.76;Regular;28.83;57.67;Bueno;130.01;Regular;Bueno;Regular
2025-08-08;55.71;42.85;Bueno;117.56;Regular;33.62;67.25;Bueno;140.47;Regular;Bueno;Regular
2025-08-09;30.08;23.14;Bueno;66.85;Bueno;20.62;41.25;Bueno;112.17;Regular;Bueno;Regular
2025-08-10;68.79;52.92;Bueno;139.13;Regular;47.62;95.25;Bueno;171.21;Regular;Bueno;Regular
2025-08-11;83.25;64.04;Bueno;163.09;Regular;46.25;92.50;Bueno;168.18;Regular;Bueno;Regular
2025-08-12;96.17;73.97;Bueno;184.62;Regular;39.79;79.58;Bueno;153.97;Regular;Bueno;Regular
2025-08-13;92.52;71.17;Bueno;178.54;Regular;42.22;84.43;Bueno;159.30;Regular;Bueno;Regular
2025-08-14;54.50;41.92;Bueno;115.58;Regular;27.00;54.00;Bueno;126.02;Regular;Bueno;Regular
2025-08-15;13.75;10.58;Bueno;30.56;Bueno;9.08;18.17;Bueno;60.56;Bueno;Bueno;Bueno
2025-08-16;27.25;20.96;Bueno;60.56;Bueno;16.71;33.42;Bueno;103.69;Regular;Bueno;Regular
