Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;11;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;02:00;17;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;03:00;8;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;04:00;13;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;05:00;8;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;06:00;2;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;07:00;2;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;08:00;4;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;09:00;5;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;10:00;2;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;11:00;14;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;12:00;7;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;13:00;4;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;14:00;3;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;15:00;1;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;16:00;7;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;17:00;10;;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;18:00;11;7.17;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;19:00;9;7.26;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;20:00;11;7.45;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;21:00;7;7.43;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;22:00;9;7.50;7.61;15.22;Bueno;50.72;Bueno
2025-07-27;23:00;10;7.61;7.61;15.22;Bueno;50.72;Bueno
2025-07-28;00:00;16;7.96;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;01:00;17;8.21;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;02:00;15;8.12;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;03:00;13;8.33;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;04:00;13;8.33;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;05:00;17;8.71;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;06:00;13;9.17;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;07:00;16;9.75;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;08:00;18;10.33;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;09:00;13;10.67;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;10:00;9;10.96;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;11:00;22;11.29;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;12:00;13;11.54;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;13:00;14;11.96;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;14:00;13;12.38;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;15:00;9;12.71;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;16:00;9;12.79;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;17:00;9;12.75;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;18:00;5;12.50;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;19:00;4;12.29;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;20:00;1;11.88;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;21:00;1;11.62;11.12;22.25;Bueno;74.17;Bueno
2025-07-28;22:00;2;11.33;11.12;22.25;Bueno;74.17;Bueno
