FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250728;0100;39;;;
250728;0200;43;;;
250728;0300;37;;;
250728;0400;31;;;
250728;0500;29;;;
250728;0600;43;;;
250728;0700;50;;;
250728;0800;73;;;
250728;0900;85;;;
250728;1000;80;;;
250728;1100;45;;;
250728;1200;32;;;
250728;1300;34;;;
250728;1400;45;;;
250728;1500;52;;;
250728;1600;57;;;
250728;1700;61;;;
250728;1800;63;;;
250728;1900;94;;;
250728;2000;63;;;
250728;2100;62;;;
250728;2200;47;;;
250728;2300;41;;;
250729;0000;53;;;
250729;0100;58;;;
250729;0200;46;;;
250729;0300;52;;;
250729;0400;53;;;
250729;0500;42;;;
250729;0600;49;;;
250729;0700;58;;;
250729;0800;86;;;
250729;0900;81;;;
250729;1000;88;;;
250729;1100;47;;;
250729;1200;57;;;
250729;1300;60;;;
250729;1400;64;;;
250729;1500;67;;;
250729;1600;63;;;
250729;1700;55;;;
250729;1800;44;;;
250729;1900;24;;;
250729;2000;48;;;
250729;2100;53;;;
250729;2200;40;;;
250729;2300;31;;;
250730;0000;32;;;
250730;0100;37;;;
250730;0200;33;;;
250730;0300;28;;;
250730;0400;38;;;
250730;0500;45;;;
250730;0600;36;;;
250730;0700;17;;;
250730;0800;28;;;
250730;0900;36;;;
250730;1000;40;;;
250730;1100;20;;;
250730;1200;22;;;
250730;1300;25;;;
250730;1400;20;;;
250730;1500;14;;;
250730;1600;19;;;
250730;1700;14;;;
250730;1800;22;;;
250730;1900;20;;;
250730;2000;24;;;
250730;2100;18;;;
250730;2200;20;;;
250730;2300;15;;;
250731;0000;25;;;
250731;0100;16;;;
250731;0200;10;;;
250731;0300;13;;;
250731;0400;12;;;
250731;0500;18;;;
250731;0600;20;;;
250731;0700;14;;;
250731;0800;15;;;
250731;0900;11;;;
250731;1000;14;;;
250731;1100;19;;;
250731;1200;12;;;
250731;1300;12;;;
250731;1400;12;;;
250731;1500;10;;;
250731;1600;7;;;
250731;1700;8;;;
250731;1800;10;;;
250731;1900;15;;;
250731;2000;10;;;
250731;2100;8;;;
250731;2200;13;;;
250731;2300;9;;;
250801;0000;16;;;
250801;0100;8;;;
