FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250728;0100;7;;;
250728;0200;10;;;
250728;0300;9;;;
250728;0400;10;;;
250728;0500;9;;;
250728;0600;5;;;
250728;0700;7;;;
250728;0800;14;;;
250728;0900;16;;;
250728;1000;22;;;
250728;1100;20;;;
250728;1200;15;;;
250728;1300;12;;;
250728;1400;10;;;
250728;1500;25;;;
250728;1600;22;;;
250728;1700;23;;;
250728;1800;32;;;
250728;1900;27;;;
250728;2000;19;;;
250728;2100;26;;;
250728;2200;20;;;
250728;2300;21;;;
250729;0000;13;;;
250729;0100;12;;;
250729;0200;19;;;
250729;0300;14;;;
250729;0400;12;;;
250729;0500;12;;;
250729;0600;17;;;
250729;0700;21;;;
250729;0800;13;;;
250729;0900;23;;;
250729;1000;20;;;
250729;1100;24;;;
250729;1200;13;;;
250729;1300;20;;;
250729;1400;21;;;
250729;1500;18;;;
250729;1600;24;;;
250729;1700;21;;;
250729;1800;7;;;
250729;1900;5;;;
250729;2000;9;;;
250729;2100;12;;;
250729;2200;16;;;
250729;2300;16;;;
250730;0000;13;;;
250730;0100;8;;;
250730;0200;12;;;
250730;0300;11;;;
250730;0400;8;;;
250730;0500;15;;;
250730;0600;20;;;
250730;0700;10;;;
250730;0800;6;;;
250730;0900;7;;;
250730;1000;7;;;
250730;1100;8;;;
250730;1200;7;;;
250730;1300;5;;;
250730;1400;2;;;
250730;1500;4;;;
250730;1600;5;;;
250730;1700;6;;;
250730;1800;7;;;
250730;1900;8;;;
250730;2000;8;;;
250730;2100;8;;;
250730;2200;6;;;
250730;2300;8;;;
250731;0000;5;;;
250731;0100;5;;;
250731;0200;5;;;
250731;0300;10;;;
250731;0400;9;;;
250731;0500;7;;;
250731;0600;6;;;
250731;0700;4;;;
250731;0800;3;;;
250731;0900;12;;;
250731;1000;8;;;
250731;1100;11;;;
250731;1200;8;;;
250731;1300;5;;;
250731;1400;5;;;
250731;1500;5;;;
250731;1600;7;;;
250731;1700;6;;;
250731;1800;6;;;
250731;1900;4;;;
250731;2000;4;;;
250731;2100;4;;;
250731;2200;8;;;
250731;2300;3;;;
250801;0000;1;;;
250801;0100;2;;;
250801;0200;3;;;
250801;0300;1;;;
250801;0400;3;;;
250801;0500;4;;;
250801;0600;5;;;
250801;0700;4;;;
250801;0800;4;;;
250801;0900;5;;;
250801;1000;2;;;
250801;1100;1;;;
250801;1200;2;;;
250801;1300;3;;;
250801;1400;2;;;
250801;1500;3;;;
250801;1600;4;;;
250801;1700;4;;;
250801;1800;5;;;
250801;1900;3;;;
250801;2000;4;;;
250801;2100;7;;;
250801;2200;6;;;
250801;2300;6;;;
250802;0000;6;;;
250802;0100;4;;;
250802;0200;1;;;
250802;0300;2;;;
250802;0400;4;;;
250802;0500;4;;;
250802;0600;4;;;
250802;0700;3;;;
250802;0800;8;;;
250802;0900;10;;;
250802;1000;5;;;
250802;1100;1;;;
250802;1200;1;;;
250802;1300;1;;;
250802;1400;5;;;
250802;1500;7;;;
250802;1600;6;;;
250802;1700;7;;;
250802;1800;6;;;
250802;1900;7;;;
250802;2000;8;;;
250802;2100;26;;;
250802;2200;20;;;
250802;2300;20;;;
250803;0000;14;;;
250803;0100;12;;;
250803;0200;11;;;
250803;0300;10;;;
250803;0400;9;;;
250803;0500;9;;;
250803;0600;8;;;
250803;0700;5;;;
250803;0800;17;;;
250803;0900;11;;;
250803;1000;13;;;
250803;1100;16;;;
250803;1200;17;;;
250803;1300;12;;;
250803;1400;12;;;
250803;1500;12;;;
250803;1600;12;;;
250803;1700;14;;;
250803;1800;14;;;
250803;1900;15;;;
250803;2000;19;;;
250803;2100;17;;;
250803;2200;14;;;
250803;2300;20;;;
250804;0000;4;;;
250804;0100;7;;;
250804;0200;7;;;
250804;0300;5;;;
250804;0400;3;;;
250804;0500;8;;;
250804;0600;6;;;
250804;0700;11;;;
250804;0800;17;;;
250804;0900;21;;;
250804;1000;22;;;
250804;1100;23;;;
250804;1200;14;;;
250804;1300;20;;;
250804;1400;21;;;
250804;1500;17;;;
250804;1600;19;;;
250804;1700;15;;;
250804;1800;28;;;
250804;1900;31;;;
250804;2000;24;;;
250804;2100;22;;;
250804;2200;16;;;
250804;2300;21;;;
250805;0000;16;;;
250805;0100;20;;;
250805;0200;19;;;
250805;0300;15;;;
250805;0400;10;;;
