Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;39;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;02:00;43;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;03:00;37;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;04:00;31;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;05:00;29;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;06:00;43;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;07:00;50;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;08:00;73;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;09:00;85;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;10:00;80;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;11:00;45;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;12:00;32;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;13:00;34;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;14:00;45;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;15:00;52;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;16:00;57;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;17:00;61;;52.43;40.33;Bueno;112.19;Regular
2025-07-28;18:00;63;49.94;52.43;40.33;Bueno;112.19;Regular
2025-07-28;19:00;94;52.26;52.43;40.33;Bueno;112.19;Regular
2025-07-28;20:00;63;52.80;52.43;40.33;Bueno;112.19;Regular
2025-07-28;21:00;62;53.24;52.43;40.33;Bueno;112.19;Regular
2025-07-28;22:00;47;52.95;52.43;40.33;Bueno;112.19;Regular
2025-07-28;23:00;41;52.43;52.43;40.33;Bueno;112.19;Regular
2025-07-29;00:00;53;52.46;54.96;42.28;Bueno;116.33;Regular
2025-07-29;01:00;58;53.25;54.96;42.28;Bueno;116.33;Regular
2025-07-29;02:00;46;53.38;54.96;42.28;Bueno;116.33;Regular
2025-07-29;03:00;52;54.00;54.96;42.28;Bueno;116.33;Regular
2025-07-29;04:00;53;54.92;54.96;42.28;Bueno;116.33;Regular
2025-07-29;05:00;42;55.46;54.96;42.28;Bueno;116.33;Regular
2025-07-29;06:00;49;55.71;54.96;42.28;Bueno;116.33;Regular
2025-07-29;07:00;58;56.04;54.96;42.28;Bueno;116.33;Regular
2025-07-29;08:00;86;56.58;54.96;42.28;Bueno;116.33;Regular
2025-07-29;09:00;81;56.42;54.96;42.28;Bueno;116.33;Regular
2025-07-29;10:00;88;56.75;54.96;42.28;Bueno;116.33;Regular
2025-07-29;11:00;47;56.83;54.96;42.28;Bueno;116.33;Regular
2025-07-29;12:00;57;57.88;54.96;42.28;Bueno;116.33;Regular
2025-07-29;13:00;60;58.96;54.96;42.28;Bueno;116.33;Regular
2025-07-29;14:00;64;59.75;54.96;42.28;Bueno;116.33;Regular
2025-07-29;15:00;67;60.38;54.96;42.28;Bueno;116.33;Regular
2025-07-29;16:00;63;60.62;54.96;42.28;Bueno;116.33;Regular
2025-07-29;17:00;55;60.38;54.96;42.28;Bueno;116.33;Regular
2025-07-29;18:00;44;59.58;54.96;42.28;Bueno;116.33;Regular
2025-07-29;19:00;24;56.67;54.96;42.28;Bueno;116.33;Regular
2025-07-29;20:00;48;56.04;54.96;42.28;Bueno;116.33;Regular
2025-07-29;21:00;53;55.67;54.96;42.28;Bueno;116.33;Regular
2025-07-29;22:00;40;55.38;54.96;42.28;Bueno;116.33;Regular
2025-07-29;23:00;31;54.96;54.96;42.28;Bueno;116.33;Regular
2025-07-30;00:00;32;54.08;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;01:00;37;53.21;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;02:00;33;52.67;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;03:00;28;51.67;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;04:00;38;51.04;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;05:00;45;51.17;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;06:00;36;50.62;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;07:00;17;48.92;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;08:00;28;46.50;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;09:00;36;44.62;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;10:00;40;42.62;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;11:00;20;41.50;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;12:00;22;40.04;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;13:00;25;38.58;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;14:00;20;36.75;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;15:00;14;34.54;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;16:00;19;32.71;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;17:00;14;31.00;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;18:00;22;30.08;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;19:00;20;29.92;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;20:00;24;28.92;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;21:00;18;27.46;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;22:00;20;26.62;25.96;19.97;Bueno;57.69;Bueno
2025-07-30;23:00;15;25.96;25.96;19.97;Bueno;57.69;Bueno
2025-07-31;00:00;25;25.67;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;01:00;16;24.79;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;02:00;10;23.83;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;03:00;13;23.21;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;04:00;12;22.12;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;05:00;18;21.00;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;06:00;20;20.33;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;07:00;14;20.21;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;08:00;15;19.67;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;09:00;11;18.62;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;10:00;14;17.54;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;11:00;19;17.50;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;12:00;12;17.08;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;13:00;12;16.54;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;14:00;12;16.21;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;15:00;10;16.04;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;16:00;7;15.54;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;17:00;8;15.29;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;18:00;10;14.79;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;19:00;15;14.58;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;20:00;10;14.00;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;21:00;8;13.58;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;22:00;13;13.29;13.04;10.03;Bueno;28.98;Bueno
2025-07-31;23:00;9;13.04;13.04;10.03;Bueno;28.98;Bueno
2025-08-01;00:00;16;12.67;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;01:00;8;12.33;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;02:00;3;12.04;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;03:00;2;11.58;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;04:00;5;11.29;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;05:00;4;10.71;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;06:00;3;10.00;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;07:00;6;9.67;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;08:00;8;9.38;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;09:00;8;9.25;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;10:00;6;8.92;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;11:00;5;8.33;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;12:00;8;8.17;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;13:00;7;7.96;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;14:00;11;7.92;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;15:00;14;8.08;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;16:00;15;8.42;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;17:00;13;8.62;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;18:00;40;9.88;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;19:00;32;10.58;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;20:00;32;11.50;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;21:00;30;12.42;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;22:00;22;12.79;12.96;9.97;Bueno;28.80;Bueno
2025-08-01;23:00;13;12.96;12.96;9.97;Bueno;28.80;Bueno
2025-08-02;00:00;9;12.67;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;01:00;7;12.62;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;02:00;5;12.71;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;03:00;8;12.96;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;04:00;7;13.04;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;05:00;7;13.17;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;06:00;6;13.29;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;07:00;5;13.25;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;08:00;9;13.29;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;09:00;8;13.29;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;10:00;7;13.33;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;11:00;5;13.33;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;12:00;7;13.29;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;13:00;7;13.29;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;14:00;13;13.38;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;15:00;20;13.62;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;16:00;32;14.33;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;17:00;37;15.33;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;18:00;23;14.62;27.38;21.06;Bueno;60.83;Bueno
2025-08-02;19:00;102;17.54;27.38;21.06;Bueno;60.83;Bueno
