Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;;;;;;;;;;;;
2025-07-29;;;;;;;;;;;;
2025-07-30;;;;;;;;;;;;
2025-07-31;;;;;;;;;;;;
2025-08-01;;;;;;;;;;;;
2025-08-02;;;;;;;;;;;;
2025-08-03;;;;;;;;;;;;
2025-08-04;;;;;;;;;;;;
2025-08-05;;;;;;;;;;;;
2025-08-06;;;;;;;;;;;;
2025-08-07;;;;;;;;;;;;
2025-08-08;;;;;;;;;;;;
2025-08-09;;;;;;;;;;;;
2025-08-10;;;;;;;;;;;;
2025-08-11;;;;;;;;;;;;
2025-08-12;;;;;;;;;;;;
2025-08-13;;;;;;;;;;;;
2025-08-14;;;;;;;;;;;;
2025-08-15;;;;;;;;;;;;
2025-08-16;;;;;;;;;;;;
2025-08-17;;;;;;;;;;;;
2025-08-18;;;;;;;;;;;;
2025-08-19;;;;;;;;;;;;
2025-08-20;;;;;;;;;;;;
2025-08-21;;;;;;;;;;;;
2025-08-22;;;;;;;;;;;;
2025-08-23;;;;;;;;;;;;
2025-08-24;;;;;;;;;;;;
2025-08-25;;;;;;;;;;;;
2025-08-26;;;;;;;;;;;;
2025-08-27;;;;;;;;;;;;
2025-08-28;;;;;;;;;;;;
2025-08-29;;;;;;;;;;;;
2025-08-30;;;;;;;;;;;;
2025-08-31;;;;;;;;;;;;
2025-09-01;;;;;;;;;;;;
2025-09-02;;;;;;;;;;;;
2025-09-03;;;;;;;;;;;;
2025-09-04;;;;;;;;;;;;
2025-09-05;;;;;;;;;;;;
2025-09-06;;;;;;;;;;;;
2025-09-07;;;;;;;;;;;;
2025-09-08;;;;;;;;;;;;
2025-09-09;;;;;;;;;;;;
2025-09-10;;;;;;;;;;;;
2025-09-11;;;;;;;;;;;;
2025-09-12;;;;;;;;;;;;
2025-09-13;;;;;;;;;;;;
2025-09-14;;;;;;;;;;;;
2025-09-15;;;;;;;;;;;;
2025-09-16;;;;;;;;;;;;
2025-09-17;;;;;;;;;;;;
2025-09-18;;;;;;;;;;;;
2025-09-19;;;;;;;;;;;;
2025-09-20;;;;;;;;;;;;
2025-09-21;;;;;;;;;;;;
2025-09-22;;;;;;;;;;;;
2025-09-23;;;;;;;;;;;;
2025-09-24;;;;;;;;;;;;
2025-09-25;;;;;;;;;;;;
2025-09-26;;;;;;;;;;;;
2025-09-27;;;;;;;;;;;;
2025-09-28;;;;;;;;;;;;
2025-09-29;;;;;;;;;;;;
2025-09-30;;;;;;;;;;;;
2025-10-01;;;;;;;;;;;;
2025-10-02;;;;;;;;;;;;
2025-10-03;;;;;;;;;;;;
2025-10-04;;;;;;;;;;;;
2025-10-05;;;;;;;;;;;;
2025-10-06;;;;;;;;;;;;
2025-10-07;;;;;;;;;;;;
2025-10-08;;;;;;;;;;;;
2025-10-09;;;;;;;;;;;;
2025-10-10;;;;;;;;;;;;
2025-10-11;;;;;;;;;;;;
2025-10-12;;;;;;;;;;;;
2025-10-13;;;;;;;;;;;;
2025-10-14;;;;;;;;;;;;
2025-10-15;;;;;;;;;;;;
2025-10-16;;;;;;;;;;;;
2025-10-17;;;;;;;;;;;;
2025-10-18;;;;;;;;;;;;
2025-10-19;;;;;;;;;;;;
2025-10-20;;;;;;;;;;;;
2025-10-21;;;;;;;;;;;;
2025-10-22;;;;;;;;;;;;
2025-10-23;;;;;;;;;;;;
2025-10-24;;;;;;;;;;;;
2025-10-25;;;;;;;;;;;;
2025-10-26;;;;;;;;;;;;
2025-10-27;;;;;;;;;;;;
2025-10-28;;;;;;;;;;;;
2025-10-29;;;;;;;;;;;;
2025-10-30;;;;;;;;;;;;
2025-10-31;;;;;;;;;;;;
2025-11-01;;;;;;;;;;;;
2025-11-02;;;;;;;;;;;;
2025-11-03;;;;;;;;;;;;
2025-11-04;;;;;;;;;;;;
2025-11-05;;;;;;;;;;;;
2025-11-06;;;;;;;;;;;;
2025-11-07;;;;;;;;;;;;
2025-11-08;;;;;;;;;;;;
2025-11-09;;;;;;;;;;;;
2025-11-10;;;;;;;;;;;;
2025-11-11;;;;;;;;;;;;
2025-11-12;;;;;;;;;;;;
2025-11-13;;;;;;;;;;;;
2025-11-14;;;;;;;;;;;;
2025-11-15;;;;;;;;;;;;
2025-11-16;;;;;;;;;;;;
2025-11-17;;;;;;;;;;;;
2025-11-18;;;;;;;;;;;;
2025-11-19;;;;;;;;;;;;
2025-11-20;;;;;;;;;;;;
2025-11-21;;;;;;;;;;;;
2025-11-22;;;;;;;;;;;;
2025-11-23;;;;;;;;;;;;
2025-11-24;;;;;;;;;;;;
2025-11-25;;;;;;5.21;10.42;Bueno;34.72;Bueno;Bueno;Bueno
2025-11-26;;;;;;4.25;8.50;Bueno;28.33;Bueno;Bueno;Bueno
2025-11-27;;;;;;4.67;9.33;Bueno;31.11;Bueno;Bueno;Bueno
