Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;52.43;40.33;Bueno;112.19;Regular;21.48;42.96;Bueno;114.02;Regular;Bueno;Regular
2025-07-29;54.96;42.28;Bueno;116.33;Regular;22.46;44.92;Bueno;116.15;Regular;Bueno;Regular
2025-07-30;25.96;19.97;Bueno;57.69;Bueno;13.79;27.58;Bueno;91.94;Bueno;Bueno;Bueno
2025-07-31;13.04;10.03;Bueno;28.98;Bueno;6.79;13.58;Bueno;45.28;Bueno;Bueno;Bueno
2025-08-01;12.96;9.97;Bueno;28.80;Bueno;7.79;15.58;Bueno;51.94;Bueno;Bueno;Bueno
2025-08-02;27.38;21.06;Bueno;60.83;Bueno;14.88;29.75;Bueno;99.17;Bueno;Bueno;Bueno
2025-08-03;63.54;48.88;Bueno;130.46;Regular;34.88;69.75;Bueno;143.20;Regular;Bueno;Regular
2025-08-04;107.14;82.41;Bueno;203.00;Alerta;45.05;90.09;Bueno;165.52;Regular;Bueno;Alerta
2025-08-05;87.62;67.40;Bueno;170.37;Regular;38.62;77.25;Bueno;151.41;Regular;Bueno;Regular
2025-08-06;46.04;35.42;Bueno;101.71;Regular;19.62;39.25;Bueno;110.00;Regular;Bueno;Regular
2025-08-07;34.92;26.86;Bueno;77.59;Bueno;16.75;33.50;Bueno;103.78;Regular;Bueno;Regular
2025-08-08;35.12;27.02;Bueno;78.06;Bueno;25.25;50.50;Bueno;122.21;Regular;Bueno;Regular
2025-08-09;33.54;25.80;Bueno;74.54;Bueno;21.71;43.42;Bueno;114.52;Regular;Bueno;Regular
2025-08-10;38.17;29.36;Bueno;84.81;Bueno;24.00;48.00;Bueno;119.49;Regular;Bueno;Regular
2025-08-11;60.28;46.37;Bueno;125.08;Regular;28.22;56.44;Bueno;128.68;Regular;Bueno;Regular
2025-08-12;52.64;40.49;Bueno;112.52;Regular;22.78;45.57;Bueno;116.85;Regular;Bueno;Regular
2025-08-13;59.42;45.71;Bueno;123.66;Regular;22.38;44.75;Bueno;115.97;Regular;Bueno;Regular
2025-08-14;21.88;16.83;Bueno;48.61;Bueno;13.79;27.58;Bueno;91.94;Bueno;Bueno;Bueno
