Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;Quilpue_Gimnasio;52.43;40.33;112.19;21.48;42.96;114.02;Bueno;Regular
2025-07-29;Quilpue_Gimnasio;54.96;42.28;116.33;22.46;44.92;116.15;Bueno;Regular
2025-07-30;Quilpue_Gimnasio;25.96;19.97;57.69;13.79;27.58;91.94;Bueno;Bueno
2025-07-31;Vina_del_Mar;20.71;15.93;46.02;2.79;5.58;18.61;Bueno;Bueno
2025-08-01;Vina_del_Mar;15.75;12.12;35.0;2.0;4.0;13.33;Bueno;Bueno
2025-08-02;Quilpue_Gimnasio;27.38;21.06;60.83;14.88;29.75;99.17;Bueno;Bueno
2025-08-03;Quilpue_Gimnasio;63.54;48.88;130.46;34.88;69.75;143.2;Bueno;Regular
2025-08-04;Quilpue_Gimnasio;107.14;82.41;203.0;45.05;90.09;165.52;Bueno;Alerta
2025-08-05;Quilpue_Gimnasio;87.62;67.4;170.37;38.62;77.25;151.41;Bueno;Regular
2025-08-06;Quilpue_Gimnasio;46.04;35.42;101.71;19.62;39.25;110.0;Bueno;Regular
2025-08-07;Quilpue_Gimnasio;34.92;26.86;77.59;16.75;33.5;103.78;Bueno;Regular
2025-08-08;Quilpue_Gimnasio;35.12;27.02;78.06;25.25;50.5;122.21;Bueno;Regular
2025-08-09;Quilpue_Gimnasio;33.54;25.8;74.54;21.71;43.42;114.52;Bueno;Regular
2025-08-10;Quilpue_Gimnasio;38.17;29.36;84.81;24.0;48.0;119.49;Bueno;Regular
2025-08-11;Quilpue_Gimnasio;60.28;46.37;125.08;28.22;56.44;128.68;Bueno;Regular
2025-08-12;Quilpue_Gimnasio;52.64;40.49;112.52;22.78;45.57;116.85;Bueno;Regular
2025-08-13;Quilpue_Gimnasio;59.42;45.71;123.66;22.38;44.75;115.97;Bueno;Regular
2025-08-14;Quilpue_Gimnasio;21.88;16.83;48.61;13.79;27.58;91.94;Bueno;Bueno
2025-08-15;Quilpue_Gimnasio;18.21;14.01;40.46;10.29;20.58;68.61;Bueno;Bueno
2025-08-16;Quilpue_Gimnasio;27.17;20.9;60.37;13.08;26.17;87.22;Bueno;Bueno
2025-08-17;Quilpue_Gimnasio;29.29;22.53;65.09;16.96;33.92;104.23;Bueno;Regular
2025-08-18;Quilpue_Gimnasio;33.75;25.96;75.0;15.12;30.25;100.27;Bueno;Regular
