Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;;;;;;16.57;33.13;Bueno;103.38;Regular;Bueno;Regular
2025-07-29;;;;;;15.92;31.83;Bueno;101.98;Regular;Bueno;Regular
2025-07-30;;;;;;8.29;16.58;Bueno;55.28;Bueno;Bueno;Bueno
2025-07-31;;;;;;6.25;12.50;Bueno;41.67;Bueno;Bueno;Bueno
2025-08-01;;;;;;3.50;7.00;Bueno;23.33;Bueno;Bueno;Bueno
2025-08-02;;;;;;6.92;13.83;Bueno;46.11;Bueno;Bueno;Bueno
2025-08-03;;;;;;13.04;26.08;Bueno;86.94;Bueno;Bueno;Bueno
2025-08-04;;;;;;15.92;31.83;Bueno;101.98;Regular;Bueno;Regular
2025-08-05;;;;;;21.75;43.50;Bueno;114.61;Regular;Bueno;Regular
2025-08-06;;;;;;15.21;30.42;Bueno;100.45;Regular;Bueno;Regular
2025-08-07;;;;;;13.67;27.33;Bueno;91.11;Bueno;Bueno;Bueno
2025-08-08;;;;;;22.50;45.00;Bueno;116.24;Regular;Bueno;Regular
2025-08-09;;;;;;10.62;21.25;Bueno;70.83;Bueno;Bueno;Bueno
2025-08-10;;;;;;16.38;32.75;Bueno;102.97;Regular;Bueno;Regular
2025-08-11;;;;;;19.22;38.43;Bueno;109.12;Regular;Bueno;Regular
2025-08-12;;;;;;21.25;42.50;Bueno;113.53;Regular;Bueno;Regular
2025-08-13;;;;;;22.71;45.42;Bueno;116.69;Regular;Bueno;Regular
2025-08-14;;;;;;13.91;27.83;Bueno;92.75;Bueno;Bueno;Bueno
2025-08-15;;;;;;5.83;11.67;Bueno;38.89;Bueno;Bueno;Bueno
2025-08-16;;;;;;8.08;16.17;Bueno;53.89;Bueno;Bueno;Bueno
2025-08-17;;;;;;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-08-18;;;;;;6.75;13.50;Bueno;45.00;Bueno;Bueno;Bueno
2025-08-19;;;;;;7.54;15.08;Bueno;50.28;Bueno;Bueno;Bueno
2025-08-20;;;;;;8.71;17.42;Bueno;58.06;Bueno;Bueno;Bueno
2025-08-21;;;;;;5.46;10.92;Bueno;36.39;Bueno;Bueno;Bueno
2025-08-22;;;;;;3.88;7.75;Bueno;25.83;Bueno;Bueno;Bueno
2025-08-23;;;;;;5.71;11.42;Bueno;38.06;Bueno;Bueno;Bueno
2025-08-24;;;;;;6.62;13.25;Bueno;44.17;Bueno;Bueno;Bueno
2025-08-25;;;;;;9.41;18.82;Bueno;62.73;Bueno;Bueno;Bueno
2025-08-26;;;;;;15.54;31.08;Bueno;101.17;Regular;Bueno;Regular
2025-08-27;;;;;;15.58;31.17;Bueno;101.26;Regular;Bueno;Regular
2025-08-28;;;;;;17.75;35.50;Bueno;105.94;Regular;Bueno;Regular
2025-08-29;;;;;;8.96;17.92;Bueno;59.72;Bueno;Bueno;Bueno
2025-08-30;;;;;;6.62;13.25;Bueno;44.17;Bueno;Bueno;Bueno
2025-08-31;;;;;;8.38;16.75;Bueno;55.83;Bueno;Bueno;Bueno
2025-09-01;;;;;;11.00;22.00;Bueno;73.33;Bueno;Bueno;Bueno
2025-09-02;;;;;;3.50;7.00;Bueno;23.33;Bueno;Bueno;Bueno
2025-09-03;;;;;;6.21;12.42;Bueno;41.39;Bueno;Bueno;Bueno
2025-09-04;;;;;;13.33;26.67;Bueno;88.89;Bueno;Bueno;Bueno
2025-09-05;;;;;;11.12;22.25;Bueno;74.17;Bueno;Bueno;Bueno
2025-09-06;;;;;;9.42;18.83;Bueno;62.78;Bueno;Bueno;Bueno
2025-09-07;;;;;;5.25;10.50;Bueno;35.00;Bueno;Bueno;Bueno
