Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;20;;32.35;24.88;Bueno;71.88;Bueno;1.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;02:00;18;;32.35;24.88;Bueno;71.88;Bueno;1.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;03:00;12;;32.35;24.88;Bueno;71.88;Bueno;1.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;04:00;14;;32.35;24.88;Bueno;71.88;Bueno;1.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;05:00;15;;32.35;24.88;Bueno;71.88;Bueno;1.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;06:00;17;;32.35;24.88;Bueno;71.88;Bueno;1.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;07:00;22;;32.35;24.88;Bueno;71.88;Bueno;4.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;08:00;25;;32.35;24.88;Bueno;71.88;Bueno;4.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;09:00;33;;32.35;24.88;Bueno;71.88;Bueno;6.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;10:00;33;;32.35;24.88;Bueno;71.88;Bueno;5.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;11:00;38;;32.35;24.88;Bueno;71.88;Bueno;4.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;12:00;27;;32.35;24.88;Bueno;71.88;Bueno;4.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;13:00;28;;32.35;24.88;Bueno;71.88;Bueno;5.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;14:00;31;;32.35;24.88;Bueno;71.88;Bueno;7.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;15:00;34;;32.35;24.88;Bueno;71.88;Bueno;7.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;16:00;40;;32.35;24.88;Bueno;71.88;Bueno;8.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;17:00;47;;32.35;24.88;Bueno;71.88;Bueno;7.00;;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;18:00;55;28.28;32.35;24.88;Bueno;71.88;Bueno;12.00;4.39;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;19:00;53;29.58;32.35;24.88;Bueno;71.88;Bueno;18.00;5.11;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;20:00;37;29.95;32.35;24.88;Bueno;71.88;Bueno;8.00;5.25;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;21:00;43;30.57;32.35;24.88;Bueno;71.88;Bueno;9.00;5.43;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;22:00;55;31.68;32.35;24.88;Bueno;71.88;Bueno;17.00;5.95;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-28;23:00;47;32.35;32.35;24.88;Bueno;71.88;Bueno;13.00;6.26;6.26;12.52;Bueno;41.74;Bueno;Bueno;Bueno
2025-07-29;00:00;32;32.33;32.58;25.06;Bueno;72.41;Bueno;9.00;6.38;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;01:00;24;32.50;32.58;25.06;Bueno;72.41;Bueno;4.00;6.50;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;02:00;27;32.88;32.58;25.06;Bueno;72.41;Bueno;9.00;6.83;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;03:00;29;33.58;32.58;25.06;Bueno;72.41;Bueno;6.00;7.04;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;04:00;26;34.08;32.58;25.06;Bueno;72.41;Bueno;5.00;7.21;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;05:00;27;34.58;32.58;25.06;Bueno;72.41;Bueno;5.00;7.38;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;06:00;34;35.29;32.58;25.06;Bueno;72.41;Bueno;5.00;7.54;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;07:00;42;36.12;32.58;25.06;Bueno;72.41;Bueno;8.00;7.71;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;08:00;42;36.83;32.58;25.06;Bueno;72.41;Bueno;11.00;8.00;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;09:00;50;37.54;32.58;25.06;Bueno;72.41;Bueno;12.00;8.25;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;10:00;52;38.33;32.58;25.06;Bueno;72.41;Bueno;15.00;8.67;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;11:00;48;38.75;32.58;25.06;Bueno;72.41;Bueno;12.00;9.00;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;12:00;43;39.42;32.58;25.06;Bueno;72.41;Bueno;7.00;9.12;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;13:00;34;39.67;32.58;25.06;Bueno;72.41;Bueno;9.00;9.29;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;14:00;41;40.08;32.58;25.06;Bueno;72.41;Bueno;8.00;9.33;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;15:00;38;40.25;32.58;25.06;Bueno;72.41;Bueno;7.00;9.33;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;16:00;35;40.04;32.58;25.06;Bueno;72.41;Bueno;8.00;9.33;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;17:00;21;38.96;32.58;25.06;Bueno;72.41;Bueno;6.00;9.29;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;18:00;13;37.21;32.58;25.06;Bueno;72.41;Bueno;4.00;8.96;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;19:00;20;35.83;32.58;25.06;Bueno;72.41;Bueno;2.00;8.29;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;20:00;21;35.17;32.58;25.06;Bueno;72.41;Bueno;1.00;8.00;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;21:00;32;34.71;32.58;25.06;Bueno;72.41;Bueno;1.00;7.67;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;22:00;30;33.67;32.58;25.06;Bueno;72.41;Bueno;9.00;7.33;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-29;23:00;21;32.58;32.58;25.06;Bueno;72.41;Bueno;5.00;7.00;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-07-30;00:00;;32.61;;;;;;3.00;6.75;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;01:00;;33.00;;;;;;3.00;6.71;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;02:00;;33.29;;;;;;1.00;6.38;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;03:00;;33.50;;;;;;2.00;6.21;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;04:00;;33.89;;;;;;2.00;6.08;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;05:00;;34.28;;;;;;8.00;6.21;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;06:00;;;;;;;;7.00;6.29;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;07:00;;;;;;;;3.00;6.08;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;08:00;;;;;;;;1.00;5.67;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-30;09:00;;;;;;;;1.00;5.21;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
